,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0410391166806221,0.086839735507965
1,10,64,16,2,0.002,0.041467435657978,0.0855948403477668
2,10,64,16,4,0.002,0.0424001514911651,0.0840633139014244
3,10,64,16,8,0.002,0.0431859046220779,0.0831148847937583
4,10,64,32,1,0.002,0.040651261806488,0.0875261574983596
5,10,64,32,2,0.002,0.0422508642077446,0.0847149938344955
6,10,64,32,4,0.002,0.0428151041269302,0.0828047096729278
7,10,64,32,8,0.002,0.0417452938854694,0.0832377895712852
8,10,64,64,1,0.002,0.0414067469537258,0.0874236598610878
9,10,64,64,2,0.002,0.0411914363503456,0.0838585868477821
10,10,64,64,4,0.002,0.0431581288576126,0.0819047093391418
11,10,64,64,8,0.002,0.0425527952611446,0.0829373225569725
12,10,128,16,1,0.002,0.0404023863375186,0.0979118719696998
13,10,128,16,2,0.002,0.0422524213790893,0.095501072704792
14,10,128,16,4,0.002,0.0434484630823135,0.0874130278825759
15,10,128,16,8,0.002,0.0414506122469902,0.0868441611528396
16,10,128,32,1,0.002,0.0424480140209198,0.0938362255692482
17,10,128,32,2,0.002,0.0435765944421291,0.0911689922213554
18,10,128,32,4,0.002,0.0429381914436817,0.0857786014676094
19,10,128,32,8,0.002,0.0441257394850254,0.0853092893958091
20,10,128,64,1,0.002,0.041111797094345,0.090116448700428
21,10,128,64,2,0.002,0.0413325540721416,0.0868663564324379
22,10,128,64,4,0.002,0.042053785175085,0.0851929634809494
23,10,128,64,8,0.002,0.0418751761317253,0.0843869000673294
24,10,256,16,1,0.002,0.0316264703869819,0.1201974377036094
25,10,256,16,2,0.002,0.0358758717775344,0.1071890816092491
26,10,256,16,4,0.002,0.0371971279382705,0.1084028854966163
27,10,256,16,8,0.002,0.0365450493991375,0.1044787168502807
28,10,256,32,1,0.002,0.0426540970802307,0.0954638049006462
29,10,256,32,2,0.002,0.0373817943036556,0.1029159426689148
30,10,256,32,4,0.002,0.0403839983046054,0.1004832535982132
31,10,256,32,8,0.002,0.044662170112133,0.0936703756451606
32,10,256,64,1,0.002,0.0408726893365383,0.0935168489813804
33,10,256,64,2,0.002,0.0409721098840236,0.1017264947295188
34,10,256,64,4,0.002,0.0402346290647983,0.0890638977289199
35,10,256,64,8,0.002,0.0437539517879486,0.0896448940038681
36,25,64,16,1,0.002,0.0441860593855381,0.0846298411488533
37,25,64,16,2,0.002,0.0432238541543483,0.0821836814284324
38,25,64,16,4,0.002,0.0434979349374771,0.0819845199584961
39,25,64,16,8,0.002,0.0434701442718505,0.0829278826713562
40,25,64,32,1,0.002,0.0459054000675678,0.0867955461144447
41,25,64,32,2,0.002,0.0448024943470954,0.0816421136260032
42,25,64,32,4,0.002,0.0446684770286083,0.082345999777317
43,25,64,32,8,0.002,0.0421713814139366,0.083329327404499
44,25,64,64,1,0.002,0.045911531895399,0.0830980241298675
45,25,64,64,2,0.002,0.04388964548707,0.0822688043117523
46,25,64,64,4,0.002,0.0435694530606269,0.0824670121073722
47,25,64,64,8,0.002,0.0432674773037433,0.0823970958590507
48,25,128,16,1,0.002,0.0431436300277709,0.0859189555048942
49,25,128,16,2,0.002,0.0420886687934398,0.0841183066368103
50,25,128,16,4,0.002,0.0428121387958526,0.0830029770731926
51,25,128,16,8,0.002,0.042857926338911,0.0826652124524116
52,25,128,32,1,0.002,0.0430981963872909,0.0868339538574218
53,25,128,32,2,0.002,0.0424600951373577,0.0835981145501136
54,25,128,32,4,0.002,0.0424632504582405,0.0827609449625015
55,25,128,32,8,0.002,0.0431238897144794,0.0823867246508598
56,25,128,64,1,0.002,0.0434250682592392,0.0862658843398094
57,25,128,64,2,0.002,0.0438837818801403,0.0824801325798034
58,25,128,64,4,0.002,0.0415638573467731,0.0842071399092674
59,25,128,64,8,0.002,0.0455030240118503,0.0818120315670967
60,25,256,16,1,0.002,0.0436514355242252,0.0894526615738868
61,25,256,16,2,0.002,0.0413429662585258,0.0846682786941528
62,25,256,16,4,0.002,0.0418322272598743,0.0864396542310714
63,25,256,16,8,0.002,0.041893683373928,0.0842363163828849
64,25,256,32,1,0.002,0.0449601449072361,0.0895701646804809
65,25,256,32,2,0.002,0.0426501706242561,0.0851680487394332
66,25,256,32,4,0.002,0.0418636240065097,0.082965649664402
67,25,256,32,8,0.002,0.0422953702509403,0.0828515142202377
68,25,256,64,1,0.002,0.0429016500711441,0.0874853134155273
69,25,256,64,2,0.002,0.0400531291961669,0.0874004811048507
70,25,256,64,4,0.002,0.0399474464356899,0.0861793383955955
