,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0403739884495735,0.090441808104515
1,10,64,16,2,0.002,0.0402180589735507,0.0932341292500495
2,10,64,16,4,0.002,0.0386872887611389,0.0941404402256012
3,10,64,16,8,0.002,0.0380898229777812,0.0982648357748985
4,10,64,32,1,0.002,0.0400462858378887,0.0914232730865478
5,10,64,32,2,0.002,0.0405587591230869,0.089570939540863
6,10,64,32,4,0.002,0.0400826819241046,0.0915707722306251
7,10,64,32,8,0.002,0.0392597466707229,0.0918539464473724
8,10,64,64,1,0.002,0.040928766131401,0.0902033671736717
9,10,64,64,2,0.002,0.0409428738057613,0.0863045454025268
10,10,64,64,4,0.002,0.0423624403774738,0.0854456648230552
11,10,64,64,8,0.002,0.0424271114170551,0.091116577386856
12,10,128,16,1,0.002,0.040732130408287,0.0967103764414787
13,10,128,16,2,0.002,0.0404687188565731,0.0992534384131431
14,10,128,16,4,0.002,0.039028413593769,0.1053467094898223
15,10,128,16,8,0.002,0.0257397294044494,0.1604367941617965
16,10,128,32,1,0.002,0.0411707945168018,0.0952367782592773
17,10,128,32,2,0.002,0.0396282970905303,0.0934070274233818
18,10,128,32,4,0.002,0.0417700111865997,0.0950567573308944
19,10,128,32,8,0.002,0.0365174636244773,0.1204641386866569
20,10,128,64,1,0.002,0.0411018766462802,0.0919752120971679
21,10,128,64,2,0.002,0.0401256121695041,0.0916805639863014
22,10,128,64,4,0.002,0.0421439707279205,0.0906630307435989
23,10,128,64,8,0.002,0.0292520094662904,0.1453036069869995
24,10,256,16,1,0.002,0.0305935386568307,0.1316632032394409
25,10,256,16,2,0.002,0.0319733470678329,0.1221474483609199
26,10,256,16,4,0.002,0.0319923795759677,0.1297231912612915
27,10,256,16,8,0.002,0.0256457515060901,0.1599579453468322
28,10,256,32,1,0.002,0.0364580675959587,0.1047913953661918
29,10,256,32,2,0.002,0.0378134846687316,0.1078474298119545
30,10,256,32,4,0.002,0.0382704734802246,0.1048826873302459
31,10,256,32,8,0.002,0.0256146229803562,0.1600397229194641
32,10,256,64,1,0.002,0.0432331599295139,0.1037947684526443
33,10,256,64,2,0.002,0.0400352030992507,0.0961017608642578
34,10,256,64,4,0.002,0.0371752902865409,0.1056670695543289
35,10,256,64,8,0.002,0.0279110111296176,0.1447637975215912
36,25,64,16,1,0.002,0.042613711208105,0.0860403776168823
37,25,64,16,2,0.002,0.0431050881743431,0.0843180194497108
38,25,64,16,4,0.002,0.0419433340430259,0.0845139995217323
39,25,64,16,8,0.002,0.0418994463980197,0.0835036039352417
40,25,64,32,1,0.002,0.0432337708771228,0.084984578192234
41,25,64,32,2,0.002,0.0429944992065429,0.0836003944277763
42,25,64,32,4,0.002,0.0434196963906288,0.0814877822995185
43,25,64,32,8,0.002,0.0434047132730484,0.0828075185418129
44,25,64,64,1,0.002,0.0450446791946888,0.086372397840023
45,25,64,64,2,0.002,0.0421149879693985,0.0824159160256385
46,25,64,64,4,0.002,0.0428979657590389,0.0819349512457847
47,25,64,64,8,0.002,0.0433142147958278,0.0807735174894332
48,25,128,16,1,0.002,0.0417080372571945,0.0884655937552452
49,25,128,16,2,0.002,0.0404092408716678,0.0879643559455871
50,25,128,16,4,0.002,0.0402228124439716,0.087706372141838
51,25,128,16,8,0.002,0.0410826429724693,0.0955948233604431
52,25,128,32,1,0.002,0.0426686219871044,0.0870848968625068
53,25,128,32,2,0.002,0.0412180349230766,0.0867106541991233
54,25,128,32,4,0.002,0.0424329489469528,0.0861967578530311
55,25,128,32,8,0.002,0.0399495884776115,0.0901589691638946
56,25,128,64,1,0.002,0.0407580584287643,0.0882577002048492
57,25,128,64,2,0.002,0.0426700562238693,0.0853705108165741
58,25,128,64,4,0.002,0.0435167215764522,0.0844257250428199
59,25,128,64,8,0.002,0.0443346537649631,0.0862759426236152
60,25,256,16,1,0.002,0.0391270369291305,0.0930636301636695
61,25,256,16,2,0.002,0.0410557575523853,0.0933946669101715
62,25,256,16,4,0.002,0.0403504744172096,0.0939035415649414
63,25,256,16,8,0.002,0.0386371575295925,0.1046212390065193
64,25,256,32,1,0.002,0.0411440581083297,0.0917622148990631
65,25,256,32,2,0.002,0.04042324796319,0.0904495120048523
66,25,256,32,4,0.002,0.041365198791027,0.0901176854968071
67,25,256,32,8,0.002,0.0397217869758605,0.1057928353548049
68,25,256,64,1,0.002,0.041823860257864,0.0893812924623489
69,25,256,64,2,0.002,0.040834117680788,0.0880942866206169
70,25,256,64,4,0.002,0.0416721068322658,0.0871456488966941
71,25,256,64,8,0.002,0.0430607944726944,0.0917581617832183
72,50,64,16,1,0.002,0.0430642217397689,0.0844871550798416
73,50,64,16,2,0.002,0.042223010212183,0.084303006529808
74,50,64,16,4,0.002,0.0405614227056503,0.0831337198615074
75,50,64,16,8,0.002,0.0415886305272579,0.0836692824959755
76,50,64,32,1,0.002,0.0436019599437713,0.0837772563099861
77,50,64,32,2,0.002,0.0428139194846153,0.0828486084938049
78,50,64,32,4,0.002,0.0424359515309333,0.0825139433145523
79,50,64,32,8,0.002,0.0418911501765251,0.0819271579384803
80,50,64,64,1,0.002,0.0430906601250171,0.0828127935528755
81,50,64,64,2,0.002,0.0430166237056255,0.0808346420526504
82,50,64,64,4,0.002,0.0432800240814685,0.0812208205461502
83,50,64,64,8,0.002,0.0429045483469963,0.0843406841158866
84,50,128,16,1,0.002,0.0426506362855434,0.0866407677531242
85,50,128,16,2,0.002,0.0429819971323013,0.0839329436421394
86,50,128,16,4,0.002,0.0421775057911872,0.0880443379282951
87,50,128,16,8,0.002,0.0409846939146518,0.0851553380489349
88,50,128,32,1,0.002,0.0417193323373794,0.0853944718837738
