,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0442703701555728,0.087386630475521
1,10,64,16,2,0.002,0.0414613746106624,0.0879373475909233
2,10,64,16,4,0.002,0.0450729541480541,0.0846924781799316
3,10,64,16,8,0.002,0.0417920798063278,0.0863044038414955
4,10,64,32,1,0.002,0.044964101165533,0.088542103767395
5,10,64,32,2,0.002,0.0427400767803192,0.0841391906142234
6,10,64,32,4,0.002,0.0444345064461231,0.0836991444230079
7,10,64,32,8,0.002,0.0432530865073204,0.082960158586502
8,10,64,64,1,0.002,0.0408222712576389,0.0870056897401809
9,10,64,64,2,0.002,0.0436963103711605,0.0828219577670097
10,10,64,64,4,0.002,0.0454718396067619,0.0834540575742721
11,10,64,64,8,0.002,0.0392087548971176,0.0856488496065139
12,10,128,16,1,0.002,0.0411827303469181,0.0908068269491195
13,10,128,16,2,0.002,0.0404566414654254,0.0968506261706352
14,10,128,16,4,0.002,0.0405807644128799,0.0867592990398407
15,10,128,16,8,0.002,0.039709061384201,0.0899759903550148
16,10,128,32,1,0.002,0.0408263728022575,0.0909822061657905
17,10,128,32,2,0.002,0.0399017110466957,0.0931472703814506
18,10,128,32,4,0.002,0.0436963476240634,0.0842902660369873
19,10,128,32,8,0.002,0.0386700220406055,0.0904286205768585
20,10,128,64,1,0.002,0.0401418805122375,0.088821455836296
21,10,128,64,2,0.002,0.0479164458811283,0.0891623049974441
22,10,128,64,4,0.002,0.041890449821949,0.0848705917596817
23,10,128,64,8,0.002,0.0415929667651653,0.0860221534967422
24,10,256,16,1,0.002,0.0362654738128185,0.1176039800047874
25,10,256,16,2,0.002,0.0364374592900276,0.1124340742826461
26,10,256,16,4,0.002,0.0361846014857292,0.1132379919290542
27,10,256,16,8,0.002,0.0396578311920166,0.0974884033203125
28,10,256,32,1,0.002,0.0384803414344787,0.1081631332635879
29,10,256,32,2,0.002,0.0397942475974559,0.1042466387152671
30,10,256,32,4,0.002,0.0401032269001007,0.092459850013256
31,10,256,32,8,0.002,0.0437347032129764,0.0968355759978294
32,10,256,64,1,0.002,0.0399452820420265,0.1036523655056953
33,10,256,64,2,0.002,0.0401361063122749,0.1016304269433021
34,10,256,64,4,0.002,0.0377694033086299,0.0931157618761062
35,10,256,64,8,0.002,0.0410886332392692,0.0927620306611061
36,25,64,16,1,0.002,0.0438967235386371,0.0867010354995727
37,25,64,16,2,0.002,0.044367741793394,0.0825183391571044
38,25,64,16,4,0.002,0.0446470417082309,0.0829794406890869
39,25,64,16,8,0.002,0.0442803725600242,0.0852194055914878
40,25,64,32,1,0.002,0.0431277304887771,0.0858038812875747
41,25,64,32,2,0.002,0.0442549735307693,0.0844413340091705
42,25,64,32,4,0.002,0.0459713079035282,0.0847117975354194
43,25,64,32,8,0.002,0.0427343361079692,0.086661048233509
44,25,64,64,1,0.002,0.0432704947888851,0.0833835825324058
45,25,64,64,2,0.002,0.0449786409735679,0.0835006684064865
46,25,64,64,4,0.002,0.042925626039505,0.0862184688448906
47,25,64,64,8,0.002,0.043147537857294,0.0831991136074066
48,25,128,16,1,0.002,0.042701706290245,0.0872048586606979
49,25,128,16,2,0.002,0.0423138625919818,0.0836146846413612
50,25,128,16,4,0.002,0.0432467311620712,0.0820778086781501
51,25,128,16,8,0.002,0.0431380309164524,0.0822606682777404
52,25,128,32,1,0.002,0.0435109846293926,0.085111103951931
53,25,128,32,2,0.002,0.0446268618106842,0.0844191312789917
54,25,128,32,4,0.002,0.0445169396698474,0.0825845673680305
55,25,128,32,8,0.002,0.0471861958503723,0.0830678418278694
56,25,128,64,1,0.002,0.0439132079482078,0.0854787230491638
57,25,128,64,2,0.002,0.0449982322752475,0.0832888111472129
58,25,128,64,4,0.002,0.0460384562611579,0.0826461315155029
59,25,128,64,8,0.002,0.0456539243459701,0.0818769261240959
60,25,256,16,1,0.002,0.0429044105112552,0.0894069895148277
61,25,256,16,2,0.002,0.0407677851617336,0.0949627831578254
62,25,256,16,4,0.002,0.041567575186491,0.0850115567445755
63,25,256,16,8,0.002,0.0429046563804149,0.0844297334551811
64,25,256,32,1,0.002,0.0432124882936477,0.087128646671772
65,25,256,32,2,0.002,0.0432271286845207,0.0848942995071411
66,25,256,32,4,0.002,0.0425296761095523,0.0837651789188385
67,25,256,32,8,0.002,0.043465606868267,0.0838351920247078
68,25,256,64,1,0.002,0.0425688736140728,0.0873218923807144
69,25,256,64,2,0.002,0.0449302233755588,0.0847777426242828
70,25,256,64,4,0.002,0.0441696010529994,0.0830486118793487
71,25,256,64,8,0.002,0.045754712074995,0.0841269567608833
72,50,64,16,1,0.002,0.0431549362838268,0.0851607769727706
73,50,64,16,2,0.002,0.0442441403865814,0.0833606719970703
74,50,64,16,4,0.002,0.046678327023983,0.0854772329330444
75,50,64,16,8,0.002,0.0447757244110107,0.0851521119475364
76,50,64,32,1,0.002,0.043605837970972,0.0847218930721283
77,50,64,32,2,0.002,0.0453858338296413,0.0852437689900398
78,50,64,32,4,0.002,0.0456087701022625,0.0890722870826721
79,50,64,32,8,0.002,0.0436659753322601,0.089093767106533
80,50,64,64,1,0.002,0.0441224165260791,0.0843537002801895
81,50,64,64,2,0.002,0.0460302382707595,0.0852338597178459
82,50,64,64,4,0.002,0.046472430229187,0.0910367146134376
83,50,64,64,8,0.002,0.0422771275043487,0.0955571234226226
84,50,128,16,1,0.002,0.0419389642775058,0.0868966802954673
85,50,128,16,2,0.002,0.0436752140522003,0.0828652530908584
86,50,128,16,4,0.002,0.0430426970124244,0.0831840559840202
87,50,128,16,8,0.002,0.0449284985661506,0.0838659778237342
88,50,128,32,1,0.002,0.0445241145789623,0.0840464159846305
89,50,128,32,2,0.002,0.0453277304768562,0.0839381292462349
90,50,128,32,4,0.002,0.0447645597159862,0.0826295092701911
91,50,128,32,8,0.002,0.0455052554607391,0.0845064148306846
92,50,128,64,1,0.002,0.0451267175376415,0.0848683267831802
93,50,128,64,2,0.002,0.0453153327107429,0.0847741812467575
