,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.03387023136019707,0.1840386688709259
1,10,64,16,2,0.002,0.03433999419212341,0.1853105276823044
2,10,64,16,4,0.002,0.033551175147295,0.18316979706287384
3,10,64,16,8,0.002,0.03321559727191925,0.1822514683008194
4,10,64,32,1,0.002,0.034047342836856835,0.1845192164182663
5,10,64,32,2,0.002,0.03410185128450394,0.18466687202453613
6,10,64,32,4,0.002,0.031830817461013794,0.17841193079948425
7,10,64,32,8,0.002,0.035199504345655434,0.187615305185318
8,10,64,64,1,0.002,0.034083977341651917,0.18461845815181727
9,10,64,64,2,0.002,0.033284001052379615,0.1824390292167664
10,10,64,64,4,0.002,0.03460036963224411,0.1860117614269257
11,10,64,64,8,0.002,0.03554477915167808,0.1885332316160202
12,10,128,16,1,0.002,0.03289058804512024,0.18135762214660645
13,10,128,16,2,0.002,0.03394746407866478,0.18424837291240687
14,10,128,16,4,0.002,0.0338178388774395,0.1838962584733963
15,10,128,16,8,0.002,0.032804813235998154,0.18112097680568692
16,10,128,32,1,0.002,0.03353385627269745,0.18312251567840576
17,10,128,32,2,0.002,0.03420741483569145,0.1849524825811386
18,10,128,32,4,0.002,0.034823276102542884,0.18660995364189148
19,10,128,32,8,0.002,0.03291039913892746,0.1814122200012207
20,10,128,64,1,0.002,0.033943723887205124,0.1842382252216339
21,10,128,64,2,0.002,0.03401758149266243,0.1844385415315628
22,10,128,64,4,0.002,0.03282736986875534,0.18118323385715485
23,10,128,64,8,0.002,0.031799811869859695,0.17832501232624054
24,10,256,16,1,0.002,0.026561504229903218,0.16297699511051178
25,10,256,16,2,0.002,0.031549379229545586,0.17762145400047302
26,10,256,16,4,0.002,0.0313730388879776,0.17712436616420746
27,10,256,16,8,0.002,0.03234691172838211,0.17985248565673828
28,10,256,32,1,0.002,0.03257589042186737,0.18048791587352755
29,10,256,32,2,0.002,0.033813662827014916,0.18388491868972776
30,10,256,32,4,0.002,0.03386155888438225,0.18401511013507846
31,10,256,32,8,0.002,0.03504519164562225,0.1872036159038544
32,10,256,64,1,0.002,0.03300326317548752,0.1816679984331131
33,10,256,64,2,0.002,0.03369656577706337,0.18356622755527496
34,10,256,64,4,0.002,0.034004904329776764,0.1844041794538498
35,10,256,64,8,0.002,0.03351522982120514,0.1830716580152512
36,25,64,16,1,0.002,0.033971168100833886,0.1843126863241196
