,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.03317922726273537,0.1821516454219818
1,10,64,16,2,0.002,0.033312007784843445,0.18251577019691467
2,10,64,16,4,0.002,0.033182621002197266,0.18216098845005035
3,10,64,16,8,0.002,0.03602954372763634,0.189814493060112
4,10,64,32,1,0.002,0.033585306257009506,0.18326295912265775
5,10,64,32,2,0.002,0.03339966386556625,0.1827557533979416
6,10,64,32,4,0.002,0.033418502658605576,0.18280728161334991
7,10,64,32,8,0.002,0.0342353992164135,0.1850280910730362
8,10,64,64,1,0.002,0.03259502351284027,0.18054090440273285
9,10,64,64,2,0.002,0.032421503216028214,0.18005971610546112
10,10,64,64,4,0.002,0.03432627767324448,0.18527351319789886
11,10,64,64,8,0.002,0.03609886392951012,0.18999700248241425
12,10,128,16,1,0.002,0.03141116350889206,0.17723195254802704
13,10,128,16,2,0.002,0.032531920820474625,0.18036606907844546
14,10,128,16,4,0.002,0.03252554684877396,0.18034841120243075
15,10,128,16,8,0.002,0.02635144256055355,0.16233129799365995
16,10,128,32,1,0.002,0.032536648213863366,0.180379182100296
17,10,128,32,2,0.002,0.033067457377910614,0.1818445920944214
18,10,128,32,4,0.002,0.03309151530265808,0.18191073834896088
19,10,128,32,8,0.002,0.03214607015252113,0.17929324507713318
20,10,128,64,1,0.002,0.032969824969768524,0.1815759539604187
21,10,128,64,2,0.002,0.03423939645290375,0.18503890931606293
22,10,128,64,4,0.002,0.034458361566066735,0.18562963604927066
23,10,128,64,8,0.002,0.03315453976392746,0.1820838749408722
24,10,256,16,1,0.002,0.027408022433519363,0.16555367410182953
25,10,256,16,2,0.002,0.03082674369215965,0.17557546496391296
26,10,256,16,4,0.002,0.03048641793429852,0.17460359632968905
27,10,256,16,8,0.002,0.02677210420370102,0.16362185776233673
28,10,256,32,1,0.002,0.03140854462981224,0.1772245615720749
29,10,256,32,2,0.002,0.031963199377059937,0.17878255248069766
30,10,256,32,4,0.002,0.03136768192052841,0.1771092265844345
31,10,256,32,8,0.002,0.029251532629132267,0.17103078961372375
32,10,256,64,1,0.002,0.0314239114522934,0.1772679090499878
33,10,256,64,2,0.002,0.03146301209926605,0.17737814784049988
34,10,256,64,4,0.002,0.03246153146028519,0.18017083406448364
35,10,256,64,8,0.002,0.031013023108243942,0.17610514163970947
36,25,64,16,1,0.002,0.03464847058057785,0.1861409842967987
37,25,64,16,2,0.002,0.03554333373904228,0.18852940201759336
38,25,64,16,4,0.002,0.0365864597260952,0.19127587974071505
39,25,64,16,8,0.002,0.036950599402189255,0.1922254115343094
40,25,64,32,1,0.002,0.035026341676712036,0.1871532499790192
41,25,64,32,2,0.002,0.03576647862792015,0.18912026286125186
42,25,64,32,4,0.002,0.03708578646183014,0.19257670640945435
43,25,64,32,8,0.002,0.036940161138772964,0.192198246717453
44,25,64,64,1,0.002,0.03562753647565842,0.18875257670879364
45,25,64,64,2,0.002,0.0363800972700119,0.19073568284511566
46,25,64,64,4,0.002,0.03715835884213448,0.1927650421857834
47,25,64,64,8,0.002,0.03654702752828598,0.1911727637052536
48,25,128,16,1,0.002,0.034203127026557915,0.1849408596754074
49,25,128,16,2,0.002,0.03464840352535248,0.1861408203840256
50,25,128,16,4,0.002,0.03531419858336449,0.1879207342863083
51,25,128,16,8,0.002,0.036902882158756256,0.19210122525691986
52,25,128,32,1,0.002,0.03469925746321678,0.18627737462520602
53,25,128,32,2,0.002,0.035811908543109894,0.18924033641815186
54,25,128,32,4,0.002,0.03648871555924416,0.1910201907157898
55,25,128,32,8,0.002,0.03568236157298088,0.1888977438211441
56,25,128,64,1,0.002,0.03566199541091919,0.18884386122226715
57,25,128,64,2,0.002,0.03560831397771835,0.18870162963867188
58,25,128,64,4,0.002,0.037047989666461945,0.19247853755950928
59,25,128,64,8,0.002,0.035551872104406364,0.18855203688144684
60,25,256,16,1,0.002,0.031729016453027725,0.17812639474868774
61,25,256,16,2,0.002,0.03400808200240135,0.18441279232501984
62,25,256,16,4,0.002,0.033671438694000244,0.1834977865219116
63,25,256,16,8,0.002,0.033107731491327286,0.18195530772209167
64,25,256,32,1,0.002,0.03342413529753685,0.1828226745128632
65,25,256,32,2,0.002,0.033805087208747864,0.1838615983724594
66,25,256,32,4,0.002,0.03515282645821572,0.18749086558818814
67,25,256,32,8,0.002,0.035509586334228516,0.18843987584114075
68,25,256,64,1,0.002,0.0333995558321476,0.18275544047355646
69,25,256,64,2,0.002,0.034675855189561844,0.18621453642845154
70,25,256,64,4,0.002,0.035356048494577415,0.18803204596042636
71,25,256,64,8,0.002,0.0379025973379612,0.1946859061717987
72,50,64,16,1,0.002,0.035713646560907364,0.18898054957389832
73,50,64,16,2,0.002,0.03638814017176628,0.19075675308704376
74,50,64,16,4,0.002,0.03750840947031975,0.1936708688735962
75,50,64,16,8,0.002,0.037776000797748566,0.19436049461364746
76,50,64,32,1,0.002,0.03565148264169693,0.18881601095199585
77,50,64,32,2,0.002,0.036986347287893295,0.1923183649778366
78,50,64,32,4,0.002,0.03831138834357262,0.1957329511642456
79,50,64,32,8,0.002,0.03741598129272461,0.1934321075677872
80,50,64,64,1,0.002,0.03618411719799042,0.19022123515605927
81,50,64,64,2,0.002,0.03761694207787514,0.19395087659358975
82,50,64,64,4,0.002,0.03785819560289383,0.1945718079805374
83,50,64,64,8,0.002,0.037865474820137024,0.1945905238389969
84,50,128,16,1,0.002,0.034580446779727936,0.18595819175243375
85,50,128,16,2,0.002,0.035079628229141235,0.1872955709695816
86,50,128,16,4,0.002,0.03812875971198082,0.19526588916778564
87,50,128,16,8,0.002,0.038205202668905265,0.19546151161193848
88,50,128,32,1,0.002,0.03458213433623314,0.1859627217054367
89,50,128,32,2,0.002,0.03565523773431778,0.18882595002651212
90,50,128,32,4,0.002,0.03842683136463165,0.19602763652801514
91,50,128,32,8,0.002,0.038556091487407684,0.19635705649852755
92,50,128,64,1,0.002,0.035973787307739265,0.18966756761074066
93,50,128,64,2,0.002,0.0373680479824543,0.19330817461013794
94,50,128,64,4,0.002,0.03848167508840561,0.1961674988269806
95,50,128,64,8,0.002,0.03879809007048607,0.1969723105430603
96,50,256,16,1,0.002,0.033727455884218216,0.18365035951137546
97,50,256,16,2,0.002,0.0344126895070076,0.18550658226013186
98,50,256,16,4,0.002,0.035187680274248116,0.1875837743282318
99,50,256,16,8,0.002,0.03626477718353272,0.19043314456939694
100,50,256,32,1,0.002,0.0344604030251503,0.1856351345777512
101,50,256,32,2,0.002,0.03532450273633003,0.18794815242290494
102,50,256,32,4,0.002,0.03540627658367157,0.1881655305624008
103,50,256,32,8,0.002,0.036954116076231,0.1922345459461212
104,50,256,64,1,0.002,0.035221058875322335,0.18767273426055908
105,50,256,64,2,0.002,0.035356305539608,0.18803273141384125
106,50,256,64,4,0.002,0.035858981311321265,0.18936467170715326
107,50,256,64,8,0.002,0.038124185055494315,0.19525417685508728
108,75,64,16,1,0.002,0.03478248417377472,0.1865006387233734
109,75,64,16,2,0.002,0.035848431289196014,0.1893368363380432
110,75,64,16,4,0.002,0.037409044802188866,0.19341421127319336
111,75,64,16,8,0.002,0.036958061158657074,0.19224479794502256
112,75,64,32,1,0.002,0.035200830549001694,0.18761885166168213
113,75,64,32,2,0.002,0.0373399630188942,0.19323551654815674
114,75,64,32,4,0.002,0.03786139190196991,0.1945800334215164
115,75,64,32,8,0.002,0.036366056650877,0.19069886207580566
116,75,64,64,1,0.002,0.036595575511455536,0.1912997215986252
117,75,64,64,2,0.002,0.037371333688497536,0.19331666827201846
118,75,64,64,4,0.002,0.037730343639850616,0.194242998957634
119,75,64,64,8,0.002,0.03752538189291954,0.1937146782875061
120,75,128,16,1,0.002,0.03519682213664055,0.1876081675291061
121,75,128,16,2,0.002,0.03560331463813782,0.18868841230869293
122,75,128,16,4,0.002,0.036163151264190674,0.19016610085964206
123,75,128,16,8,0.002,0.03636281564831734,0.1906903684139252
124,75,128,32,1,0.002,0.0350484736263752,0.18721237778663635
125,75,128,32,2,0.002,0.034921050071716316,0.1868717521429062
126,75,128,32,4,0.002,0.03653770685195923,0.19114838540554047
127,75,128,32,8,0.002,0.036575429141521454,0.19124703109264374
128,75,128,64,1,0.002,0.034649219363927834,0.18614299595355988
129,75,128,64,2,0.002,0.035544466227293015,0.18853239715099332
130,75,128,64,4,0.002,0.036552086472511285,0.19118599593639374
131,75,128,64,8,0.002,0.0382256992161274,0.19551393389701846
132,75,256,16,1,0.002,0.03461362421512604,0.18604737520217896
133,75,256,16,2,0.002,0.035576120018959045,0.1886163353919983
134,75,256,16,4,0.002,0.0358223058283329,0.1892678290605545
135,75,256,16,8,0.002,0.036868855357170105,0.19201265275478366
136,75,256,32,1,0.002,0.034744448959827416,0.18639862537384036
137,75,256,32,2,0.002,0.0353892557322979,0.1881203055381775
