,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.037974197417497635,0.19486968219280246
1,10,64,16,2,0.002,0.03967582806944847,0.19918793439865112
2,10,64,16,4,0.002,0.04005496948957443,0.20013736188411715
3,10,64,16,8,0.002,0.04083279147744179,0.20207124948501587
4,10,64,32,1,0.002,0.0390833355486393,0.1976950615644455
5,10,64,32,2,0.002,0.04045730084180832,0.20114001631736755
6,10,64,32,4,0.002,0.04197530820965767,0.2048787772655487
7,10,64,32,8,0.002,0.044123370200395584,0.2100556492805481
8,10,64,64,1,0.002,0.03923795372247696,0.1980857104063034
9,10,64,64,2,0.002,0.04089995101094246,0.20223736763000488
10,10,64,64,4,0.002,0.04292331263422966,0.2071794271469116
11,10,64,64,8,0.002,0.044245906174182885,0.21034711599349976
12,10,128,16,1,0.002,0.035744793713092804,0.1890629529953003
13,10,128,16,2,0.002,0.036439336836338036,0.1908908933401108
14,10,128,16,4,0.002,0.03626374527812004,0.1904304474592209
15,10,128,16,8,0.002,0.03709806129336357,0.1926085650920868
16,10,128,32,1,0.002,0.03620193153619766,0.19026805460453036
17,10,128,32,2,0.002,0.03736662864685058,0.19330449402332306
18,10,128,32,4,0.002,0.039188269525766366,0.1979602873325348
19,10,128,32,8,0.002,0.036426428705453866,0.19085712730884552
20,10,128,64,1,0.002,0.0368596576154232,0.19198867678642276
21,10,128,64,2,0.002,0.04020126536488533,0.2005025297403336
22,10,128,64,4,0.002,0.042545121163129807,0.2062646746635437
23,10,128,64,8,0.002,0.04275806248188019,0.20678023993968964
24,10,256,16,1,0.002,0.028241256251931187,0.1680513471364975
25,10,256,16,2,0.002,0.02750080078840256,0.16583363711833954
26,10,256,16,4,0.002,0.03573846071958542,0.1890461891889572
27,10,256,16,8,0.002,0.02751188166439533,0.1658671498298645
28,10,256,32,1,0.002,0.03272686153650284,0.18090568482875824
29,10,256,32,2,0.002,0.037561118602752686,0.193806916475296
30,10,256,32,4,0.002,0.03512534126639366,0.18741756677627566
31,10,256,32,8,0.002,0.026147950440645214,0.16170328855514526
32,10,256,64,1,0.002,0.03585468605160713,0.1893533319234848
33,10,256,64,2,0.002,0.03698020055890083,0.1923023611307144
34,10,256,64,4,0.002,0.03678634762763977,0.1917976588010788
35,10,256,64,8,0.002,0.030263490974903107,0.17396405339241028
36,25,64,16,1,0.002,0.04055656120181084,0.20138660073280332
