,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0397880859673023,0.0997914522886276
1,10,64,16,2,0.002,0.0408732146024704,0.0888423174619674
2,10,64,16,4,0.002,0.0408140681684017,0.0880985856056213
3,10,64,16,8,0.002,0.0419093035161495,0.0874661579728126
4,10,64,32,1,0.002,0.0402311533689498,0.0883299857378006
5,10,64,32,2,0.002,0.0407759472727775,0.0857432335615158
6,10,64,32,4,0.002,0.0415587462484836,0.0867844596505165
7,10,64,32,8,0.002,0.0445154756307601,0.0856185555458068
8,10,64,64,1,0.002,0.0405697710812091,0.0881654694676399
9,10,64,64,2,0.002,0.0424182787537574,0.0857213512063026
10,10,64,64,4,0.002,0.044702336192131,0.0853156074881553
11,10,64,64,8,0.002,0.0385209135711193,0.0874662026762962
12,10,128,16,1,0.002,0.0364377275109291,0.1070682629942894
13,10,128,16,2,0.002,0.0400398671627044,0.1005050539970398
14,10,128,16,4,0.002,0.0390596725046634,0.0956740751862526
15,10,128,16,8,0.002,0.0383276790380477,0.0920227244496345
16,10,128,32,1,0.002,0.0399062633514404,0.0942602008581161
17,10,128,32,2,0.002,0.0407861173152923,0.0998660251498222
18,10,128,32,4,0.002,0.0370557755231857,0.0908256992697715
19,10,128,32,8,0.002,0.0386438928544521,0.0917706936597824
20,10,128,64,1,0.002,0.038043487817049,0.095079205930233
21,10,128,64,2,0.002,0.0426447838544845,0.0883452594280242
22,10,128,64,4,0.002,0.0366805121302604,0.0909507349133491
23,10,128,64,8,0.002,0.0404114089906215,0.0904240235686302
24,10,256,16,1,0.002,0.0309866331517696,0.1179703176021575
25,10,256,16,2,0.002,0.0362616702914238,0.107171393930912
26,10,256,16,4,0.002,0.0374640822410583,0.1110291182994842
27,10,256,16,8,0.002,0.0335979834198951,0.1230171024799346
28,10,256,32,1,0.002,0.0362713858485221,0.1110366061329841
29,10,256,32,2,0.002,0.0373560301959514,0.1063116118311882
30,10,256,32,4,0.002,0.0378533639013767,0.1048397198319435
31,10,256,32,8,0.002,0.0418066009879112,0.1121677830815315
32,10,256,64,1,0.002,0.0361574627459049,0.1069563552737236
33,10,256,64,2,0.002,0.0387913808226585,0.101507231593132
34,10,256,64,4,0.002,0.0395542308688163,0.095309667289257
35,10,256,64,8,0.002,0.0381751134991645,0.093157559633255
36,25,64,16,1,0.002,0.0417394302785396,0.0877422839403152
37,25,64,16,2,0.002,0.0415940396487712,0.0856739282608032
38,25,64,16,4,0.002,0.0425421595573425,0.0839101672172546
39,25,64,16,8,0.002,0.0412353314459323,0.0860113203525543
40,25,64,32,1,0.002,0.0410807728767395,0.0869404375553131
41,25,64,32,2,0.002,0.0422743186354637,0.0846878662705421
42,25,64,32,4,0.002,0.0411635152995586,0.0850709825754165
43,25,64,32,8,0.002,0.0408610142767429,0.0866530314087867
44,25,64,64,1,0.002,0.0405799448490142,0.0867688432335853
45,25,64,64,2,0.002,0.0410205125808715,0.0847430676221847
46,25,64,64,4,0.002,0.0394479520618915,0.0880700349807739
47,25,64,64,8,0.002,0.0381648950278759,0.0882458761334419
48,25,128,16,1,0.002,0.0404210947453975,0.0895894393324852
49,25,128,16,2,0.002,0.0404412113130092,0.0865019410848617
50,25,128,16,4,0.002,0.0415971204638481,0.0866362079977989
51,25,128,16,8,0.002,0.0408650934696197,0.085017092525959
52,25,128,32,1,0.002,0.0403966084122657,0.0877647548913955
53,25,128,32,2,0.002,0.0409174859523773,0.0867927297949791
54,25,128,32,4,0.002,0.0407309457659721,0.0866690576076507
55,25,128,32,8,0.002,0.0411086082458496,0.0860947147011756
56,25,128,64,1,0.002,0.0416538901627063,0.0875474512577056
57,25,128,64,2,0.002,0.0407731309533119,0.0862282589077949
58,25,128,64,4,0.002,0.0411417856812477,0.0857174769043922
59,25,128,64,8,0.002,0.0420276783406734,0.0866494998335838
