,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0395866855978965,0.0971324816346168
1,10,64,16,2,0.002,0.039150346070528,0.0934027731418609
2,10,64,16,4,0.002,0.0411391444504261,0.0878261029720306
3,10,64,16,8,0.002,0.04164519906044,0.0868582278490066
4,10,64,32,1,0.002,0.0409111566841602,0.0886405259370803
5,10,64,32,2,0.002,0.0417657643556594,0.0859349370002746
6,10,64,32,4,0.002,0.0412331968545913,0.0869739651679992
7,10,64,32,8,0.002,0.0440984293818473,0.0864300057291984
8,10,64,64,1,0.002,0.0409532971680164,0.088636115193367
9,10,64,64,2,0.002,0.0415349192917346,0.0863454416394233
10,10,64,64,4,0.002,0.0443457551300525,0.085777923464775
11,10,64,64,8,0.002,0.0377604961395263,0.0874764546751976
12,10,128,16,1,0.002,0.0367169305682182,0.1069792360067367
13,10,128,16,2,0.002,0.0403673946857452,0.1024219989776611
14,10,128,16,4,0.002,0.039811685681343,0.0978138968348503
15,10,128,16,8,0.002,0.0383648686110973,0.0910535305738449
16,10,128,32,1,0.002,0.039242748171091,0.1008793264627456
17,10,128,32,2,0.002,0.0399066023528575,0.0904756411910057
18,10,128,32,4,0.002,0.0389465615153312,0.089660570025444
19,10,128,32,8,0.002,0.0402438156306743,0.091587021946907
20,10,128,64,1,0.002,0.0395649001002311,0.0919670611619949
21,10,128,64,2,0.002,0.042840976268053,0.0881839245557785
22,10,128,64,4,0.002,0.0374202243983745,0.0907252803444862
23,10,128,64,8,0.002,0.0385190397500991,0.0902382284402847
24,10,256,16,1,0.002,0.0310172103345394,0.1173174753785133
25,10,256,16,2,0.002,0.0348611660301685,0.1111292168498039
26,10,256,16,4,0.002,0.0369535684585571,0.1103412434458732
27,10,256,16,8,0.002,0.0351904109120368,0.1277848780155182
28,10,256,32,1,0.002,0.0366468988358974,0.1110518351197242
29,10,256,32,2,0.002,0.0370738022029399,0.105183869600296
30,10,256,32,4,0.002,0.0377312898635864,0.1052719205617904
31,10,256,32,8,0.002,0.0387920886278152,0.1081896275281906
32,10,256,64,1,0.002,0.0369039513170719,0.106440931558609
33,10,256,64,2,0.002,0.0391119755804538,0.1019934341311454
34,10,256,64,4,0.002,0.0406067781150341,0.0948082730174064
35,10,256,64,8,0.002,0.0384468510746955,0.0952842384576797
36,25,64,16,1,0.002,0.0412270165979862,0.0869349986314773
37,25,64,16,2,0.002,0.0413660034537315,0.0863154754042625
38,25,64,16,4,0.002,0.0413973182439804,0.0851495340466499
39,25,64,16,8,0.002,0.0405096895992755,0.0858329311013221
40,25,64,32,1,0.002,0.0407694242894649,0.0874199420213699
41,25,64,32,2,0.002,0.0421693623065948,0.0850469321012497
42,25,64,32,4,0.002,0.0408361367881298,0.0861888751387596
43,25,64,32,8,0.002,0.0395396798849105,0.0879299938678741
44,25,64,64,1,0.002,0.040795661509037,0.0872827991843223
45,25,64,64,2,0.002,0.0411773100495338,0.0847937539219856
46,25,64,64,4,0.002,0.040291890501976,0.0866840407252311
47,25,64,64,8,0.002,0.0390852689743042,0.0902929902076721
48,25,128,16,1,0.002,0.0401443317532539,0.088540643453598
49,25,128,16,2,0.002,0.0417375713586807,0.085856907069683
50,25,128,16,4,0.002,0.0407422930002212,0.0874677523970604
51,25,128,16,8,0.002,0.0407981947064399,0.0858334302902221
52,25,128,32,1,0.002,0.0409560538828372,0.0869443118572235
53,25,128,32,2,0.002,0.0415638387203216,0.0864129364490509
54,25,128,32,4,0.002,0.0408923216164112,0.0859799534082412
55,25,128,32,8,0.002,0.0419016666710376,0.0849261283874511
56,25,128,64,1,0.002,0.0418708100914955,0.0875955373048782
57,25,128,64,2,0.002,0.0407189652323722,0.0858121439814567
58,25,128,64,4,0.002,0.0413626804947853,0.0860586017370224
59,25,128,64,8,0.002,0.043031059205532,0.0856226831674575
60,25,256,16,1,0.002,0.0408094525337219,0.0948376506567001
61,25,256,16,2,0.002,0.0389251820743083,0.0974265933036804
62,25,256,16,4,0.002,0.0415111184120178,0.0883522257208824
63,25,256,16,8,0.002,0.0408916808664798,0.0887287557125091
64,25,256,32,1,0.002,0.0408806167542934,0.0898201912641525
65,25,256,32,2,0.002,0.038888968527317,0.0875154361128807
66,25,256,32,4,0.002,0.0413176640868186,0.0864995270967483
67,25,256,32,8,0.002,0.0395752750337123,0.0885777547955513
68,25,256,64,1,0.002,0.0405137352645397,0.0896506682038307
69,25,256,64,2,0.002,0.0408359840512275,0.0874249041080474
70,25,256,64,4,0.002,0.04175690934062,0.0875104367733001
71,25,256,64,8,0.002,0.040627121925354,0.0869266018271446
72,50,64,16,1,0.002,0.0417200401425361,0.0861620008945465
73,50,64,16,2,0.002,0.0417279712855815,0.0859041064977645
74,50,64,16,4,0.002,0.0439722053706646,0.0847100019454956
75,50,64,16,8,0.002,0.0425395183265209,0.0840264335274696
76,50,64,32,1,0.002,0.0435351282358169,0.0845980048179626
77,50,64,32,2,0.002,0.043220866471529,0.0842253565788269
78,50,64,32,4,0.002,0.0420885719358921,0.0875000581145286
79,50,64,32,8,0.002,0.0429522134363651,0.0867699533700943
80,50,64,64,1,0.002,0.0441584326326847,0.0838471949100494
81,50,64,64,2,0.002,0.0425217524170875,0.0866816788911819
82,50,64,64,4,0.002,0.0415335558354854,0.0892001911997795
83,50,64,64,8,0.002,0.0443941801786422,0.0915688872337341
84,50,128,16,1,0.002,0.0422023870050907,0.0872415751218795
85,50,128,16,2,0.002,0.0420735850930213,0.0861912667751312
86,50,128,16,4,0.002,0.0423784479498863,0.0843202918767929
87,50,128,16,8,0.002,0.0425078198313713,0.0837063789367675
88,50,128,32,1,0.002,0.0412364602088928,0.0864313691854476
89,50,128,32,2,0.002,0.0420507788658142,0.0840745046734809
90,50,128,32,4,0.002,0.0413450524210929,0.0846957042813301
91,50,128,32,8,0.002,0.0424045249819755,0.0845818445086479
92,50,128,64,1,0.002,0.0415001176297664,0.0858306214213371
93,50,128,64,2,0.002,0.0422442033886909,0.0834433659911155
94,50,128,64,4,0.002,0.0414303541183471,0.0870180875062942
95,50,128,64,8,0.002,0.0452060736715793,0.0855050981044769
96,50,256,16,1,0.002,0.041062407195568,0.0878456160426139
97,50,256,16,2,0.002,0.0404631122946739,0.0867204591631889
98,50,256,16,4,0.002,0.0414375700056552,0.0852555707097053
99,50,256,16,8,0.002,0.0402957089245319,0.0847032889723777
100,50,256,32,1,0.002,0.0423617176711559,0.0884364917874336
101,50,256,32,2,0.002,0.0407315529882907,0.0861041769385337
102,50,256,32,4,0.002,0.0424447171390056,0.0845221355557441
103,50,256,32,8,0.002,0.0425635986030101,0.0839374735951423
104,50,256,64,1,0.002,0.0415863171219825,0.0872353315353393
105,50,256,64,2,0.002,0.0432813689112663,0.0853667259216308
106,50,256,64,4,0.002,0.0429090037941932,0.0849666967988014
