,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.026963671669363976,0.16420616209506989
1,1,10,64,16,2,0.002,0.02711246162652969,0.16465863585472107
2,2,10,64,16,4,0.002,0.026708809658885,0.16342830657958984
3,3,10,64,16,8,0.002,0.026091594249010086,0.16152891516685486
4,4,10,64,32,1,0.002,0.027163473889231682,0.16481345891952515
5,5,10,64,32,2,0.002,0.02689762786030769,0.16400498151779175
6,6,10,64,32,4,0.002,0.026551583781838417,0.16294656693935394
7,7,10,64,32,8,0.002,0.026501089334487915,0.16279157996177673
8,8,10,64,64,1,0.002,0.026716748252511024,0.16345258057117462
9,9,10,64,64,2,0.002,0.027225371450185776,0.16500110924243927
10,10,10,64,64,4,0.002,0.026925798505544662,0.1640908420085907
11,11,10,64,64,8,0.002,0.026358019560575485,0.16235153377056122
12,12,10,128,16,1,0.002,0.026282478123903275,0.16211871802806854
13,13,10,128,16,2,0.002,0.026358813047409058,0.16235397756099698
14,14,10,128,16,4,0.002,0.026313088834285736,0.16221310198307035
15,15,10,128,16,8,0.002,0.026087595149874687,0.16151657700538635
16,16,10,128,32,1,0.002,0.02628021501004696,0.16211174428462982
17,17,10,128,32,2,0.002,0.027090827003121376,0.1645929366350174
18,18,10,128,32,4,0.002,0.02687140740454197,0.16392500698566434
19,19,10,128,32,8,0.002,0.02678586915135384,0.16366387903690338
20,20,10,128,64,1,0.002,0.026475610211491585,0.16271327435970304
21,21,10,128,64,2,0.002,0.02713125944137573,0.1647157073020935
22,22,10,128,64,4,0.002,0.0267712976783514,0.16361938416957855
23,23,10,128,64,8,0.002,0.026227934285998344,0.16195042431354525
24,24,10,256,16,1,0.002,0.027445737272500992,0.1656675487756729
25,25,10,256,16,2,0.002,0.02668376825749874,0.16335168480873108
26,26,10,256,16,4,0.002,0.026573991402983662,0.16301532089710236
27,27,10,256,16,8,0.002,0.02663135528564453,0.16319118440151215
28,28,10,256,32,1,0.002,0.026514559984207157,0.16283291578292847
29,29,10,256,32,2,0.002,0.026588521897792816,0.16305987536907196
30,30,10,256,32,4,0.002,0.02706780657172203,0.16452299058437347
31,31,10,256,32,8,0.002,0.026367122307419773,0.16237959265708926
32,32,10,256,64,1,0.002,0.026172546669840813,0.16177929937839508
33,33,10,256,64,2,0.002,0.02672107703983784,0.16346582770347595
34,34,10,256,64,4,0.002,0.027010466903448105,0.16434861719608307
35,35,10,256,64,8,0.002,0.026465121656656262,0.16268102824687958
36,36,25,64,16,1,0.002,0.02682420611381531,0.16378095746040344
37,37,25,64,16,2,0.002,0.027008851990103718,0.1643436998128891
38,38,25,64,16,4,0.002,0.026867548003792763,0.16391322016716006
39,39,25,64,16,8,0.002,0.026858098804950714,0.16388440132141113
40,40,25,64,32,1,0.002,0.027307583019137386,0.16525006294250488
41,41,25,64,32,2,0.002,0.031417418271303184,0.17724958062171936
42,42,25,64,32,4,0.002,0.03427225723862648,0.18512767553329468
43,43,25,64,32,8,0.002,0.03373485058546066,0.1836705058813095
44,44,25,64,64,1,0.002,0.03085867315530777,0.17566636204719546
45,45,25,64,64,2,0.002,0.030446326360106468,0.17448875308036804
46,46,25,64,64,4,0.002,0.047470714896917336,0.21787774562835693
47,47,25,64,64,8,0.002,0.02977968007326126,0.17256790399551392
48,48,25,128,16,1,0.002,0.026280265301465988,0.16211189329624176
49,49,25,128,16,2,0.002,0.02659600414335728,0.16308283805847168
50,50,25,128,16,4,0.002,0.027299506589770317,0.16522565484046936
51,51,25,128,16,8,0.002,0.02673669904470444,0.16351361572742462
52,52,25,128,32,1,0.002,0.026874573901295662,0.16393467783927915
53,53,25,128,32,2,0.002,0.027123477309942245,0.16469207406044006
54,54,25,128,32,4,0.002,0.028953041881322864,0.17015594244003296
55,55,25,128,32,8,0.002,0.02643048763275146,0.16257454454898834
56,56,25,128,64,1,0.002,0.028973801061511036,0.170216903090477
57,57,25,128,64,2,0.002,0.03051765263080597,0.17469298839569092
58,58,25,128,64,4,0.002,0.0289408415555954,0.17012007534503934
