,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.040007334202528,0.094420351088047
1,1,10,64,16,2,0.002,0.0411412976682186,0.088252492249012
2,2,10,64,16,4,0.002,0.0402086339890956,0.0904066264629364
3,3,10,64,16,8,0.002,0.0374653749167919,0.0989178121089935
4,4,10,64,32,1,0.002,0.0409013479948043,0.0896969139575958
5,5,10,64,32,2,0.002,0.0396461933851242,0.0906951129436492
6,6,10,64,32,4,0.002,0.040928728878498,0.0884804651141166
7,7,10,64,32,8,0.002,0.0394649058580398,0.0965936705470085
8,8,10,64,64,1,0.002,0.0397060476243495,0.089955449104309
9,9,10,64,64,2,0.002,0.0404696203768253,0.0869306102395057
10,10,10,64,64,4,0.002,0.0414251461625099,0.0864744782447815
11,11,10,64,64,8,0.002,0.0264314524829387,0.1614820957183838
12,12,10,128,16,1,0.002,0.0420747734606266,0.0949017480015754
13,13,10,128,16,2,0.002,0.0409517921507358,0.0969660431146621
14,14,10,128,16,4,0.002,0.0394022278487682,0.1013179272413253
15,15,10,128,16,8,0.002,0.0257191844284534,0.1603632867336273
16,16,10,128,32,1,0.002,0.0410266146063804,0.0949288234114646
17,17,10,128,32,2,0.002,0.0418999195098876,0.0942504778504371
18,18,10,128,32,4,0.002,0.0422017090022563,0.0999423637986183
19,19,10,128,32,8,0.002,0.0352880768477916,0.1110674515366554
20,20,10,128,64,1,0.002,0.0400965921580791,0.0926719605922699
21,21,10,128,64,2,0.002,0.042474627494812,0.0921232849359512
22,22,10,128,64,4,0.002,0.0408682040870189,0.0923353508114814
23,23,10,128,64,8,0.002,0.0258994661271572,0.1549688279628753
24,24,10,256,16,1,0.002,0.033076886087656,0.1144037321209907
25,25,10,256,16,2,0.002,0.0371228121221065,0.1014449819922447
26,26,10,256,16,4,0.002,0.0292499996721744,0.134872630238533
27,27,10,256,16,8,0.002,0.0260752160102128,0.1567776501178741
28,28,10,256,32,1,0.002,0.0415730215609073,0.0986477807164192
29,29,10,256,32,2,0.002,0.0378005355596542,0.1093465462327003
30,30,10,256,32,4,0.002,0.0380517058074474,0.1143162623047828
31,31,10,256,32,8,0.002,0.0287995487451553,0.1503784209489822
32,32,10,256,64,1,0.002,0.0437796972692012,0.1018782183527946
33,33,10,256,64,2,0.002,0.0399084016680717,0.0972302332520484
34,34,10,256,64,4,0.002,0.0369358174502849,0.1058358177542686
35,35,10,256,64,8,0.002,0.0265744216740131,0.160553440451622
36,36,25,64,16,1,0.002,0.042469035834074,0.0866650342941284
37,37,25,64,16,2,0.002,0.0433777906000614,0.0841914489865303
38,38,25,64,16,4,0.002,0.041373249143362,0.0854383707046508
39,39,25,64,16,8,0.002,0.0421986579895019,0.0838543698191642
40,40,25,64,32,1,0.002,0.0430783107876777,0.084671638906002
41,41,25,64,32,2,0.002,0.0429354906082153,0.0829412639141082
42,42,25,64,32,4,0.002,0.0421067625284194,0.0822693929076194
43,43,25,64,32,8,0.002,0.0421443320810794,0.0855321660637855
44,44,25,64,64,1,0.002,0.0426559932529926,0.0843502581119537
45,45,25,64,64,2,0.002,0.0430599488317966,0.0825982615351677
46,46,25,64,64,4,0.002,0.0436819046735763,0.0823698192834854
47,47,25,64,64,8,0.002,0.0435644350945949,0.0819342210888862
48,48,25,128,16,1,0.002,0.0407565124332904,0.0907922759652137
49,49,25,128,16,2,0.002,0.0401080697774887,0.0886038839817047
50,50,25,128,16,4,0.002,0.0406266376376152,0.0881906002759933
51,51,25,128,16,8,0.002,0.0395882502198219,0.0914257317781448
52,52,25,128,32,1,0.002,0.0413942001760005,0.0877017974853515
53,53,25,128,32,2,0.002,0.0398861952126026,0.0876169130206108
54,54,25,128,32,4,0.002,0.0425245575606823,0.083452433347702
55,55,25,128,32,8,0.002,0.0406965911388397,0.0886921808123588
56,56,25,128,64,1,0.002,0.042753130197525,0.0876690298318862
57,57,25,128,64,2,0.002,0.0427071116864681,0.0848357230424881
58,58,25,128,64,4,0.002,0.0443746261298656,0.0831383243203163
59,59,25,128,64,8,0.002,0.0419682748615741,0.0882771909236908
60,60,25,256,16,1,0.002,0.0411229133605957,0.091169461607933
61,61,25,256,16,2,0.002,0.0408453270792961,0.0922405794262886
62,62,25,256,16,4,0.002,0.0399244986474514,0.0923863649368286
63,63,25,256,16,8,0.002,0.0331617258489131,0.1269948631525039
64,64,25,256,32,1,0.002,0.0412422940135002,0.0915231108665466
65,65,25,256,32,2,0.002,0.0413290299475193,0.0900575667619705
66,66,25,256,32,4,0.002,0.0412449389696121,0.0895734876394271
67,67,25,256,32,8,0.002,0.0390860810875892,0.1037265062332153
68,68,25,256,64,1,0.002,0.0421202667057514,0.0890413522720336
69,69,25,256,64,2,0.002,0.0401262380182743,0.0890886113047599
70,70,25,256,64,4,0.002,0.0419849194586277,0.0871308073401451
71,71,25,256,64,8,0.002,0.0348711013793945,0.1047151759266853
72,72,50,64,16,1,0.002,0.0438187085092067,0.0845189467072486
73,73,50,64,16,2,0.002,0.0425314232707023,0.0818864926695823
74,74,50,64,16,4,0.002,0.0418676249682903,0.0815721079707145
75,75,50,64,16,8,0.002,0.0424118526279926,0.0816197022795677
76,76,50,64,32,1,0.002,0.0435310006141662,0.0837898626923561
77,77,50,64,32,2,0.002,0.041799996048212,0.0814749896526336
78,78,50,64,32,4,0.002,0.0415045209228992,0.0817511528730392
79,79,50,64,32,8,0.002,0.0427362434566021,0.0843411013484001
80,80,50,64,64,1,0.002,0.0430672653019428,0.0827305540442466
81,81,50,64,64,2,0.002,0.0413528680801391,0.0838664174079895
82,82,50,64,64,4,0.002,0.0436333082616329,0.0823263376951217
83,83,50,64,64,8,0.002,0.0441537126898765,0.087344117462635
84,84,50,128,16,1,0.002,0.0401514805853366,0.0872786119580268
85,85,50,128,16,2,0.002,0.0417514108121395,0.0852467343211174
86,86,50,128,16,4,0.002,0.0437958799302578,0.0845655649900436
87,87,50,128,16,8,0.002,0.041831687092781,0.0844840630888938
