,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.0403466485440731,0.0894222408533096
1,1,10,64,16,2,0.002,0.0407632738351821,0.091250866651535
2,2,10,64,16,4,0.002,0.039808664470911,0.0901946723461151
3,3,10,64,16,8,0.002,0.0260860994458198,0.1599286496639251
4,4,10,64,32,1,0.002,0.0409602336585521,0.0902378931641578
5,5,10,64,32,2,0.002,0.040706817060709,0.08877894282341
6,6,10,64,32,4,0.002,0.0405730083584785,0.0890922769904136
7,7,10,64,32,8,0.002,0.0396979488432407,0.0927905887365341
8,8,10,64,64,1,0.002,0.040016796439886,0.0895445495843887
9,9,10,64,64,2,0.002,0.0410998538136482,0.0871302336454391
10,10,10,64,64,4,0.002,0.0408421345055103,0.0871105790138244
11,11,10,64,64,8,0.002,0.0403443723917007,0.0935669913887977
12,12,10,128,16,1,0.002,0.0409250110387802,0.0959666892886161
13,13,10,128,16,2,0.002,0.0396244563162326,0.0998348444700241
14,14,10,128,16,4,0.002,0.0402229242026805,0.1029810905456543
15,15,10,128,16,8,0.002,0.0261874347925186,0.1555457562208175
16,16,10,128,32,1,0.002,0.0413588099181652,0.0932246148586273
17,17,10,128,32,2,0.002,0.0417659096419811,0.0945938006043434
18,18,10,128,32,4,0.002,0.0403391532599926,0.0955501198768615
19,19,10,128,32,8,0.002,0.0380111634731292,0.1122363209724426
20,20,10,128,64,1,0.002,0.0406450740993022,0.0924076810479164
21,21,10,128,64,2,0.002,0.0403994359076023,0.0918208956718444
22,22,10,128,64,4,0.002,0.0408695787191391,0.0927604213356971
23,23,10,128,64,8,0.002,0.0273355636745691,0.1583410054445266
24,24,10,256,16,1,0.002,0.029449850320816,0.1281591653823852
25,25,10,256,16,2,0.002,0.0379531048238277,0.1082738190889358
26,26,10,256,16,4,0.002,0.0397951938211917,0.1055792942643165
27,27,10,256,16,8,0.002,0.0256022289395332,0.1598699986934662
28,28,10,256,32,1,0.002,0.0385931767523288,0.1002066656947135
29,29,10,256,32,2,0.002,0.038932166993618,0.1049678102135658
30,30,10,256,32,4,0.002,0.0370031222701072,0.1107057631015777
31,31,10,256,32,8,0.002,0.02568019926548,0.1602400243282318
32,32,10,256,64,1,0.002,0.0400841645896434,0.1069982498884201
33,33,10,256,64,2,0.002,0.0393379479646682,0.1003169044852256
34,34,10,256,64,4,0.002,0.0395953170955181,0.1029737740755081
35,35,10,256,64,8,0.002,0.0257673095911741,0.1557554751634597
36,36,25,64,16,1,0.002,0.0398817583918571,0.087096132338047
37,37,25,64,16,2,0.002,0.0403875634074211,0.0869346410036087
38,38,25,64,16,4,0.002,0.0435934662818908,0.0843167826533317
39,39,25,64,16,8,0.002,0.0416444465517997,0.0846839547157287
40,40,25,64,32,1,0.002,0.0420370548963546,0.0844459384679794
41,41,25,64,32,2,0.002,0.0423562452197074,0.0831005647778511
42,42,25,64,32,4,0.002,0.0416260324418544,0.0822904333472251
43,43,25,64,32,8,0.002,0.0415119640529155,0.0836570784449577
44,44,25,64,64,1,0.002,0.0450179129838943,0.0857558101415634
45,45,25,64,64,2,0.002,0.0427965819835662,0.0817393958568573
46,46,25,64,64,4,0.002,0.0439269319176673,0.0824847370386123
47,47,25,64,64,8,0.002,0.0441151335835456,0.0830197855830192
48,48,25,128,16,1,0.002,0.0418785363435745,0.0879544466733932
49,49,25,128,16,2,0.002,0.0411652512848377,0.0886204466223716
50,50,25,128,16,4,0.002,0.0408785045146942,0.0880690515041351
51,51,25,128,16,8,0.002,0.0396428890526294,0.0906437709927558
52,52,25,128,32,1,0.002,0.0390927270054817,0.0893598496913909
53,53,25,128,32,2,0.002,0.0392713882029056,0.0892218202352523
54,54,25,128,32,4,0.002,0.0433201715350151,0.084146648645401
55,55,25,128,32,8,0.002,0.0421890616416931,0.0862126871943473
56,56,25,128,64,1,0.002,0.0435982346534729,0.0871539264917373
57,57,25,128,64,2,0.002,0.04433598741889,0.084990344941616
58,58,25,128,64,4,0.002,0.0432625971734523,0.0823684483766555
