,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.0429902151226997,0.088695004582405
1,1,10,64,16,2,0.002,0.0423312224447727,0.0910436734557151
2,2,10,64,16,4,0.002,0.0432281568646431,0.0914896056056022
3,3,10,64,16,8,0.002,0.0315285287797451,0.1387438923120498
4,4,10,64,32,1,0.002,0.0408909730613231,0.0884733721613884
5,5,10,64,32,2,0.002,0.042252343147993,0.0881893038749694
6,6,10,64,32,4,0.002,0.0426499173045158,0.087305448949337
7,7,10,64,32,8,0.002,0.0287419576197862,0.1515847444534301
8,8,10,64,64,1,0.002,0.0427414514124393,0.090354710817337
9,9,10,64,64,2,0.002,0.0433662198483943,0.0870338752865791
10,10,10,64,64,4,0.002,0.0400627441704273,0.0884812623262405
11,11,10,64,64,8,0.002,0.0447055101394653,0.096354179084301
12,12,10,128,16,1,0.002,0.0409357622265815,0.0906775072216987
13,13,10,128,16,2,0.002,0.0390458442270755,0.0966438800096511
14,14,10,128,16,4,0.002,0.039139524102211,0.10389344394207
15,15,10,128,16,8,0.002,0.0256913024932146,0.1602272540330886
16,16,10,128,32,1,0.002,0.0407533049583435,0.0932517126202583
17,17,10,128,32,2,0.002,0.0416061654686927,0.0910790190100669
18,18,10,128,32,4,0.002,0.0435475371778011,0.098061628639698
19,19,10,128,32,8,0.002,0.0289679393172264,0.1503649801015854
20,20,10,128,64,1,0.002,0.044484656304121,0.0933069735765457
21,21,10,128,64,2,0.002,0.0419692657887935,0.089281179010868
22,22,10,128,64,4,0.002,0.0414809249341487,0.0956130176782608
23,23,10,128,64,8,0.002,0.0375065803527832,0.1104862615466117
24,24,10,256,16,1,0.002,0.0313480161130428,0.12331173568964
25,25,10,256,16,2,0.002,0.039451103657484,0.1066828742623329
26,26,10,256,16,4,0.002,0.0389150716364383,0.1125583127140998
27,27,10,256,16,8,0.002,0.025758508592844,0.160463348031044
28,28,10,256,32,1,0.002,0.0400458760559558,0.1014681681990623
29,29,10,256,32,2,0.002,0.0378960892558097,0.0986451730132103
30,30,10,256,32,4,0.002,0.0376753434538841,0.106818787753582
31,31,10,256,32,8,0.002,0.0319645516574382,0.1336823403835296
32,32,10,256,64,1,0.002,0.0367842391133308,0.0967299044132232
33,33,10,256,64,2,0.002,0.0422816053032875,0.0982368066906929
34,34,10,256,64,4,0.002,0.039132609963417,0.1009541451930999
35,35,10,256,64,8,0.002,0.0257963966578245,0.1589231491088867
36,36,25,64,16,1,0.002,0.0422977693378925,0.0853125005960464
37,37,25,64,16,2,0.002,0.0421389564871788,0.0846410989761352
38,38,25,64,16,4,0.002,0.0438534654676914,0.0858685821294784
39,39,25,64,16,8,0.002,0.0407770611345768,0.0846813097596168
40,40,25,64,32,1,0.002,0.0416868329048156,0.084780640900135
41,41,25,64,32,2,0.002,0.0423517636954784,0.0849176868796348
42,42,25,64,32,4,0.002,0.0447607785463333,0.0841339528560638
43,43,25,64,32,8,0.002,0.0434463210403919,0.0834392756223678
44,44,25,64,64,1,0.002,0.0408981405198574,0.0855157002806663
45,45,25,64,64,2,0.002,0.0438918583095073,0.0844916701316833
46,46,25,64,64,4,0.002,0.0458524785935878,0.082377403974533
47,47,25,64,64,8,0.002,0.0435707382857799,0.0816098898649215
48,48,25,128,16,1,0.002,0.0413504466414451,0.0890982300043106
