,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0425890162587165,0.0751263350248336
1,10,64,16,2,0.002,0.0437096990644931,0.0733867511153221
2,10,64,16,4,0.002,0.0425946898758411,0.0698728114366531
3,10,64,16,8,0.002,0.0436472669243812,0.0718501582741737
4,10,64,32,1,0.002,0.0433977581560611,0.0722692757844924
5,10,64,32,2,0.002,0.0434200465679168,0.0699272155761718
6,10,64,32,4,0.002,0.0426024682819843,0.0687809884548187
7,10,64,32,8,0.002,0.04543062672019,0.0703208222985267
8,10,64,64,1,0.002,0.0434276089072227,0.0716915726661682
9,10,64,64,2,0.002,0.0425578393042087,0.0689093321561813
10,10,64,64,4,0.002,0.0444971546530723,0.0676499530673027
11,10,64,64,8,0.002,0.0462280362844467,0.0689164772629737
12,10,128,16,1,0.002,0.0421085506677627,0.0800978764891624
13,10,128,16,2,0.002,0.0424374304711818,0.0756823197007179
14,10,128,16,4,0.002,0.0412869825959205,0.0802309960126876
15,10,128,16,8,0.002,0.0407816059887409,0.0868251696228981
16,10,128,32,1,0.002,0.0424156785011291,0.0775049850344657
17,10,128,32,2,0.002,0.0428688824176788,0.0749846324324607
18,10,128,32,4,0.002,0.042770866304636,0.0769226923584938
19,10,128,32,8,0.002,0.0397497117519378,0.0846467912197113
20,10,128,64,1,0.002,0.0421204343438148,0.076456606388092
21,10,128,64,2,0.002,0.0437788292765617,0.0754175707697868
22,10,128,64,4,0.002,0.0436565913259983,0.0726811215281486
23,10,128,64,8,0.002,0.0393618606030941,0.0770822390913963
24,10,256,16,1,0.002,0.0289110708981752,0.1077335327863693
25,10,256,16,2,0.002,0.0431731343269348,0.079826571047306
26,10,256,16,4,0.002,0.0415947549045085,0.0824649184942245
27,10,256,16,8,0.002,0.0387253686785697,0.0935670658946037
28,10,256,32,1,0.002,0.0406032651662826,0.0812103971838951
29,10,256,32,2,0.002,0.0424870438873767,0.0792575255036354
30,10,256,32,4,0.002,0.0424945466220378,0.0830801874399185
31,10,256,32,8,0.002,0.0358830541372299,0.093311607837677
32,10,256,64,1,0.002,0.0418057963252067,0.0793049708008766
33,10,256,64,2,0.002,0.0423434898257255,0.0769063383340835
34,10,256,64,4,0.002,0.0397030636668205,0.0820452123880386
35,10,256,64,8,0.002,0.044608611613512,0.0869931951165199
36,25,64,16,1,0.002,0.0435634702444076,0.0700521320104599
37,25,64,16,2,0.002,0.0430855937302112,0.0692019686102867
38,25,64,16,4,0.002,0.0432710945606231,0.0678664743900299
39,25,64,16,8,0.002,0.0418009087443351,0.0691172108054161
40,25,64,32,1,0.002,0.0423977710306644,0.0691443458199501
41,25,64,32,2,0.002,0.0421909689903259,0.0685558393597602
42,25,64,32,4,0.002,0.0421483442187309,0.0688332021236419
43,25,64,32,8,0.002,0.0427072905004024,0.0681960061192512
44,25,64,64,1,0.002,0.0422996543347835,0.0684178993105888
45,25,64,64,2,0.002,0.0421257987618446,0.0685625597834587
46,25,64,64,4,0.002,0.0420195944607257,0.0690318644046783
47,25,64,64,8,0.002,0.0428224951028823,0.0680820494890213
48,25,128,16,1,0.002,0.0425463877618312,0.0728460699319839
49,25,128,16,2,0.002,0.0434550195932388,0.0702656880021095
50,25,128,16,4,0.002,0.044054701924324,0.0693848058581352
51,25,128,16,8,0.002,0.0430746041238307,0.0705920085310936
52,25,128,32,1,0.002,0.0435377694666385,0.0717087760567665
53,25,128,32,2,0.002,0.0441436432301998,0.0694381818175315
54,25,128,32,4,0.002,0.0437780208885669,0.0688809230923652
55,25,128,32,8,0.002,0.0416341125965118,0.0697942450642585
56,25,128,64,1,0.002,0.0435862392187118,0.0709447339177131
57,25,128,64,2,0.002,0.0439035892486572,0.0687870606780052
58,25,128,64,4,0.002,0.0431617349386215,0.0685433447360992
59,25,128,64,8,0.002,0.0434263311326503,0.0689786225557327
60,25,256,16,1,0.002,0.0417330563068389,0.0757393166422844
61,25,256,16,2,0.002,0.042181558907032,0.0754881054162979
62,25,256,16,4,0.002,0.0411657243967056,0.0781890302896499
63,25,256,16,8,0.002,0.0394684746861457,0.0830953195691108
64,25,256,32,1,0.002,0.0415579266846179,0.0751849859952926
65,25,256,32,2,0.002,0.0420136153697967,0.0745018795132637
66,25,256,32,4,0.002,0.0419696867465972,0.0719959437847137
67,25,256,32,8,0.002,0.0391328074038028,0.0793710350990295
68,25,256,64,1,0.002,0.0414116084575653,0.0744344964623451
69,25,256,64,2,0.002,0.0419586785137653,0.0708186030387878
70,25,256,64,4,0.002,0.0428657755255699,0.0699102357029914
71,25,256,64,8,0.002,0.0428687520325183,0.0707977935671806
72,50,64,16,1,0.002,0.0425751730799675,0.069412387907505
73,50,64,16,2,0.002,0.0427761077880859,0.0698125958442688
74,50,64,16,4,0.002,0.0419987104833126,0.0693330466747284
75,50,64,16,8,0.002,0.0408205799758434,0.0693287104368209
76,50,64,32,1,0.002,0.0420847050845623,0.0697443038225174
77,50,64,32,2,0.002,0.0426000244915485,0.0689410716295242
78,50,64,32,4,0.002,0.0412121675908565,0.0694071054458618
79,50,64,32,8,0.002,0.0418992713093757,0.0685249492526054
80,50,64,64,1,0.002,0.0424388535320758,0.0693704485893249
81,50,64,64,2,0.002,0.0420191213488578,0.0692928507924079
82,50,64,64,4,0.002,0.0414924472570419,0.069761648774147
83,50,64,64,8,0.002,0.0416115373373031,0.0694876909255981
84,50,128,16,1,0.002,0.0428954996168613,0.0710307359695434
85,50,128,16,2,0.002,0.0420875027775764,0.0703630149364471
86,50,128,16,4,0.002,0.0421266071498394,0.0702327713370323
87,50,128,16,8,0.002,0.041861642152071,0.0713938474655151
88,50,128,32,1,0.002,0.042203564196825,0.0713448598980903
89,50,128,32,2,0.002,0.042414117604494,0.0693758949637413
90,50,128,32,4,0.002,0.0425328873097896,0.0697068870067596
91,50,128,32,8,0.002,0.0426549538969993,0.0706080272793769
92,50,128,64,1,0.002,0.0419931858777999,0.0700893402099609
93,50,128,64,2,0.002,0.0428730957210063,0.0692971870303154
94,50,128,64,4,0.002,0.0430056080222129,0.0696382299065589
95,50,128,64,8,0.002,0.041481576859951,0.0723377913236618
96,50,256,16,1,0.002,0.0422964431345462,0.0735489204525947
97,50,256,16,2,0.002,0.0434202961623668,0.0705579444766044
98,50,256,16,4,0.002,0.0433327220380306,0.0701663494110107
99,50,256,16,8,0.002,0.0410682968795299,0.0729996040463447
100,50,256,32,1,0.002,0.0429597832262516,0.0723579153418541
101,50,256,32,2,0.002,0.0440580584108829,0.0696074292063713
102,50,256,32,4,0.002,0.0427240245044231,0.069587729871273
103,50,256,32,8,0.002,0.0409992039203643,0.0720374286174774
104,50,256,64,1,0.002,0.0437652356922626,0.0717823356389999
105,50,256,64,2,0.002,0.0436393320560455,0.068841241300106
106,50,256,64,4,0.002,0.0419571734964847,0.0700256004929542
107,50,256,64,8,0.002,0.0396431125700473,0.0730244666337966
108,75,64,16,1,0.002,0.0432209968566894,0.0681968107819557
109,75,64,16,2,0.002,0.0439020097255706,0.0682450905442237
110,75,64,16,4,0.002,0.0451950952410697,0.0689961388707161
111,75,64,16,8,0.002,0.0452760383486747,0.0707291886210441
112,75,64,32,1,0.002,0.0426295399665832,0.068768985569477
113,75,64,32,2,0.002,0.0445476882159709,0.0685691982507705
114,75,64,32,4,0.002,0.0445396266877651,0.0705194100737571
115,75,64,32,8,0.002,0.0447178408503532,0.0721315741539001
116,75,64,64,1,0.002,0.0437104143202304,0.0681322365999221
117,75,64,64,2,0.002,0.0447073057293891,0.069875068962574
118,75,64,64,4,0.002,0.0444947890937328,0.0716261863708496
119,75,64,64,8,0.002,0.0449227057397365,0.0718149840831756
120,75,128,16,1,0.002,0.043587252497673,0.0688495934009552
121,75,128,16,2,0.002,0.0437498539686203,0.0685142055153846
122,75,128,16,4,0.002,0.0442585423588752,0.0677123218774795
123,75,128,16,8,0.002,0.0446515753865242,0.0675226673483848
124,75,128,32,1,0.002,0.0438929200172424,0.0682886987924575
125,75,128,32,2,0.002,0.043851587921381,0.0676094964146614
126,75,128,32,4,0.002,0.0449787229299545,0.0673726946115493
127,75,128,32,8,0.002,0.0430011600255966,0.0673796758055687
128,75,128,64,1,0.002,0.0433626174926757,0.0680533722043037
129,75,128,64,2,0.002,0.0441959649324417,0.0676028653979301
130,75,128,64,4,0.002,0.0445992648601532,0.0670280382037162
131,75,128,64,8,0.002,0.0427926033735275,0.0672509521245956
132,75,256,16,1,0.002,0.0433248057961463,0.0731754153966903
133,75,256,16,2,0.002,0.0435796864330768,0.0709723904728889
134,75,256,16,4,0.002,0.0422290675342083,0.0703036561608314
135,75,256,16,8,0.002,0.04189033806324,0.0721175819635391
