,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.03208083659410477,0.17911122739315033
1,10,64,16,2,0.002,0.03284863010048866,0.18124185502529144
2,10,64,16,4,0.002,0.03532172366976738,0.1879407614469528
3,10,64,16,8,0.002,0.03374210745096207,0.1836902946233749
4,10,64,32,1,0.002,0.03245305269956589,0.18014733493328092
5,10,64,32,2,0.002,0.0351051427423954,0.1873636394739151
6,10,64,32,4,0.002,0.038364127278327935,0.19586755335330966
7,10,64,32,8,0.002,0.036158829927444465,0.19015474617481232
8,10,64,64,1,0.002,0.03248307853937149,0.1802304983139038
9,10,64,64,2,0.002,0.03760753571987152,0.19392667710781095
10,10,64,64,4,0.002,0.03883931413292885,0.1970769166946411
11,10,64,64,8,0.002,0.036867480725049966,0.1920090615749359
12,10,128,16,1,0.002,0.030407318845391273,0.17437699437141418
13,10,128,16,2,0.002,0.031038168817758564,0.1761765331029892
14,10,128,16,4,0.002,0.031736239790916436,0.17814664542675018
15,10,128,16,8,0.002,0.03161367774009705,0.17780233919620514
16,10,128,32,1,0.002,0.03125753998756409,0.17679797112941742
17,10,128,32,2,0.002,0.03252565115690231,0.1803487241268158
18,10,128,32,4,0.002,0.034753844141960144,0.18642383813858032
19,10,128,32,8,0.002,0.03761753067374229,0.19395244121551514
20,10,128,64,1,0.002,0.031423989683389664,0.1772681474685669
21,10,128,64,2,0.002,0.034114710986614234,0.18470166623592374
22,10,128,64,4,0.002,0.04100461676716805,0.2024959623813629
23,10,128,64,8,0.002,0.040194176137447364,0.20048490166664126
24,10,256,16,1,0.002,0.02785769104957581,0.1669061928987503
25,10,256,16,2,0.002,0.029902676120400432,0.1729239523410797
26,10,256,16,4,0.002,0.031675972044467926,0.17797738313674927
27,10,256,16,8,0.002,0.02991078794002533,0.17294731736183167
28,10,256,32,1,0.002,0.028878660872578617,0.16993723809719086
29,10,256,32,2,0.002,0.03061188571155072,0.17496249079704285
30,10,256,32,4,0.002,0.03178635984659195,0.17828728258609772
31,10,256,32,8,0.002,0.03104796260595322,0.17620430886745453
32,10,256,64,1,0.002,0.029626647010445595,0.17212393879890442
33,10,256,64,2,0.002,0.031988661736249924,0.17885378003120422
34,10,256,64,4,0.002,0.03352251648902893,0.18309153616428372
35,10,256,64,8,0.002,0.03544028475880623,0.18825587630271912
36,25,64,16,1,0.002,0.03484391421079636,0.18666519224643707
37,25,64,16,2,0.002,0.037765730172395706,0.1943340748548508
38,25,64,16,4,0.002,0.037412755191326134,0.193423792719841
39,25,64,16,8,0.002,0.03440787643194198,0.1854936182498932
40,25,64,32,1,0.002,0.03663226217031479,0.1913955807685852
41,25,64,32,2,0.002,0.03884604573249817,0.19709405303001404
42,25,64,32,4,0.002,0.03812979906797409,0.19526855647563932
43,25,64,32,8,0.002,0.03480551391839981,0.18656231462955475
44,25,64,64,1,0.002,0.0382448248565197,0.19556280970573425
45,25,64,64,2,0.002,0.04268040135502815,0.2065924853086472
46,25,64,64,4,0.002,0.036167711019515984,0.19017817080020905
47,25,64,64,8,0.002,0.03474830463528633,0.18640896677970886
48,25,128,16,1,0.002,0.032270219177007675,0.17963910102844238
49,25,128,16,2,0.002,0.03436904773116112,0.1853889226913452
50,25,128,16,4,0.002,0.03658309206366539,0.19126707315444946
51,25,128,16,8,0.002,0.03414735943078995,0.18479010462760925
52,25,128,32,1,0.002,0.032354243099689484,0.1798728108406067
53,25,128,32,2,0.002,0.03620245307683945,0.19026942551136014
54,25,128,32,4,0.002,0.04127101600170136,0.20315271615982056
55,25,128,32,8,0.002,0.037349656224250787,0.1932605654001236
56,25,128,64,1,0.002,0.03479500859975815,0.18653424084186554
57,25,128,64,2,0.002,0.04012894257903099,0.20032209157943728
58,25,128,64,4,0.002,0.04224845394492149,0.20554423332214355
59,25,128,64,8,0.002,0.039396241307258606,0.19848494231700894
60,25,256,16,1,0.002,0.030605221167206764,0.17494340240955353
61,25,256,16,2,0.002,0.032077498733997345,0.17910197377204895
62,25,256,16,4,0.002,0.03368406370282173,0.18353217840194705
63,25,256,16,8,0.002,0.02962687611579895,0.17212462425231936
64,25,256,32,1,0.002,0.031500689685344696,0.17748436331748962
65,25,256,32,2,0.002,0.0322154238820076,0.17948658764362335
66,25,256,32,4,0.002,0.03444300591945648,0.18558822572231293
67,25,256,32,8,0.002,0.03206249326467514,0.17906008660793304
68,25,256,64,1,0.002,0.032002508640289314,0.17889249324798584
69,25,256,64,2,0.002,0.033465411514043815,0.18293550610542295
70,25,256,64,4,0.002,0.03736095130443573,0.1932898312807083
71,25,256,64,8,0.002,0.03410111740231514,0.18466487526893616
72,50,64,16,1,0.002,0.03405756875872612,0.18454690277576447
73,50,64,16,2,0.002,0.03029491007328033,0.17405442893505094
74,50,64,16,4,0.002,0.028699379414319992,0.16940884292125702
75,50,64,16,8,0.002,0.03090551123023033,0.1757996380329132
76,50,64,32,1,0.002,0.03382978588342666,0.1839287430047989
77,50,64,32,2,0.002,0.030641134828329086,0.17504608631134033
78,50,64,32,4,0.002,0.030243262648582462,0.17390593886375427
79,50,64,32,8,0.002,0.03167081996798515,0.17796294391155246
80,50,64,64,1,0.002,0.0312691405415535,0.17683091759681702
81,50,64,64,2,0.002,0.03098813258111477,0.17603446543216705
82,50,64,64,4,0.002,0.0301009938120842,0.17349638044834134
83,50,64,64,8,0.002,0.030276084318757057,0.17400026321411133
84,50,128,16,1,0.002,0.03754991292953491,0.1937779635190964
85,50,128,16,2,0.002,0.040267478674650185,0.20066753029823306
86,50,128,16,4,0.002,0.03469565138220787,0.1862677335739136
87,50,128,16,8,0.002,0.029383568093180656,0.17141635715961456
88,50,128,32,1,0.002,0.038654927164316184,0.19660858809947968
89,50,128,32,2,0.002,0.0362294539809227,0.19034036993980408
90,50,128,32,4,0.002,0.02963867038488388,0.17215891182422638
91,50,128,32,8,0.002,0.031254909932613366,0.17679056525230408
92,50,128,64,1,0.002,0.03722846135497093,0.19294680655002594
93,50,128,64,2,0.002,0.03667235001921654,0.1915002763271332
94,50,128,64,4,0.002,0.03597541153430939,0.18967188894748688
95,50,128,64,8,0.002,0.03762318566441536,0.19396695494651794
96,50,256,16,1,0.002,0.032490890473127365,0.18025220930576324
97,50,256,16,2,0.002,0.03449289873242378,0.18572263419628146
98,50,256,16,4,0.002,0.04461279883980751,0.21121741831302646
99,50,256,16,8,0.002,0.034054506570100784,0.1845385879278183
100,50,256,32,1,0.002,0.03420420736074448,0.1849437952041626
101,50,256,32,2,0.002,0.0403205007314682,0.2007996290922165
102,50,256,32,4,0.002,0.04572492092847824,0.21383391320705414
103,50,256,32,8,0.002,0.0302493330091238,0.17392343282699585
104,50,256,64,1,0.002,0.03536323830485344,0.18805108964443207
105,50,256,64,2,0.002,0.0446360781788826,0.21127259731292725
106,50,256,64,4,0.002,0.03901078552007675,0.19751155376434326
107,50,256,64,8,0.002,0.029707722365856167,0.17235925793647766
108,75,64,16,1,0.002,0.031155291944742206,0.17650863528251648
109,75,64,16,2,0.002,0.02955262921750545,0.17190882563591006
110,75,64,16,4,0.002,0.026986351236701008,0.1642751842737198
111,75,64,16,8,0.002,0.02847908064723015,0.16875743865966794
112,75,64,32,1,0.002,0.030487718060612682,0.1746073216199875
113,75,64,32,2,0.002,0.03594200685620308,0.18958374857902527
114,75,64,32,4,0.002,0.0275427158921957,0.16595996916294098
115,75,64,32,8,0.002,0.031101426109671593,0.17635592818260193
116,75,64,64,1,0.002,0.030178524553775787,0.1737196445465088
117,75,64,64,2,0.002,0.028327075764536858,0.16830645501613614
118,75,64,64,4,0.002,0.028797559440135963,0.16969844698905945
119,75,64,64,8,0.002,0.03400541469454765,0.184405580163002
120,75,128,16,1,0.002,0.034172799438238144,0.1848588734865189
121,75,128,16,2,0.002,0.03191626816987991,0.17865119874477384
122,75,128,16,4,0.002,0.0307344738394022,0.17531254887580872
123,75,128,16,8,0.002,0.03271286562085152,0.18086697161197665
124,75,128,32,1,0.002,0.0336679108440876,0.183488130569458
125,75,128,32,2,0.002,0.033073808997869485,0.18186205625534055
126,75,128,32,4,0.002,0.029564529657363888,0.17194336652755735
127,75,128,32,8,0.002,0.03135550394654274,0.1770748347043991
128,75,128,64,1,0.002,0.03139116242527962,0.1771755814552307
129,75,128,64,2,0.002,0.032786909490823746,0.18107154965400696
130,75,128,64,4,0.002,0.029640493914484974,0.1721641570329666
131,75,128,64,8,0.002,0.033081360161304474,0.18188275396823886
132,75,256,16,1,0.002,0.03223724290728569,0.17954730987548828
133,75,256,16,2,0.002,0.03347906470298767,0.1829728484153748
134,75,256,16,4,0.002,0.033619675785303116,0.1833566427230835
135,75,256,16,8,0.002,0.03453811630606651,0.185844361782074
136,75,256,32,1,0.002,0.033455073833465576,0.18290729820728305
137,75,256,32,2,0.002,0.036213163286447525,0.19029755890369413
138,75,256,32,4,0.002,0.034515321254730225,0.1857829988002777
139,75,256,32,8,0.002,0.03474709764122963,0.18640579283237454
140,75,256,64,1,0.002,0.0343998447060585,0.1854719966650009
141,75,256,64,2,0.002,0.03650914505124092,0.1910736709833145
142,75,256,64,4,0.002,0.035447392612695694,0.1882748156785965
143,75,256,64,8,0.002,0.03139428421854973,0.1771843284368515
144,100,64,16,1,0.002,0.02920483238995075,0.17089416086673734
145,100,64,16,2,0.002,0.02844743058085442,0.16866356134414673
146,100,64,16,4,0.002,0.027149362489581108,0.1647707223892212
147,100,64,16,8,0.002,0.031232425943017006,0.1767270267009735
148,100,64,32,1,0.002,0.02863497100770473,0.16921868920326233
149,100,64,32,2,0.002,0.029938176274299618,0.17302651703357694
150,100,64,32,4,0.002,0.036501772701740265,0.19105438888072968
151,100,64,32,8,0.002,0.030647234991192818,0.17506347596645355
152,100,64,64,1,0.002,0.028751565143466,0.1695629209280014
153,100,64,64,2,0.002,0.03546654433012009,0.18832559883594516
154,100,64,64,4,0.002,0.03006574511528015,0.17339478433132172
155,100,64,64,8,0.002,0.026922382414340973,0.1640804260969162
156,100,128,16,1,0.002,0.03375883400440216,0.18373581767082212
157,100,128,16,2,0.002,0.029585560783743862,0.17200462520122528
158,100,128,16,4,0.002,0.029119150713086125,0.17064331471920013
159,100,128,16,8,0.002,0.0293597374111414,0.17134681344032288
160,100,128,32,1,0.002,0.032326795160770416,0.1797965168952942
161,100,128,32,2,0.002,0.029216555878520005,0.17092853784561154
162,100,128,32,4,0.002,0.028137169778347012,0.1677413433790207
163,100,128,32,8,0.002,0.02678549662232399,0.16366277635097504
164,100,128,64,1,0.002,0.029130544513463974,0.17067669332027435
165,100,128,64,2,0.002,0.02788085676729679,0.16697567701339722
166,100,128,64,4,0.002,0.02869463711977005,0.16939495503902435
167,100,128,64,8,0.002,0.02667157351970673,0.1633143126964569
168,100,256,16,1,0.002,0.030959445983171463,0.17595292627811432
169,100,256,16,2,0.002,0.03230205550789833,0.1797277331352234
170,100,256,16,4,0.002,0.032478991895914085,0.1802192330360413
171,100,256,16,8,0.002,0.031289536505937576,0.17688846588134766
172,100,256,32,1,0.002,0.03199977055191994,0.17888478934764862
173,100,256,32,2,0.002,0.033759333193302155,0.1837371438741684
174,100,256,32,4,0.002,0.03121991828083992,0.17669157683849335
175,100,256,32,8,0.002,0.029536250978708267,0.1718611866235733
176,100,256,64,1,0.002,0.032947834581136703,0.1815154105424881
177,100,256,64,2,0.002,0.032935719937086105,0.18148201704025269
