,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0188820827752351,0.0586885176599025
1,10,64,16,2,0.002,0.0200156401842832,0.0559783428907394
2,10,64,16,4,0.002,0.0208739601075649,0.0564483478665351
3,10,64,16,8,0.002,0.0207782946527004,0.0571924671530723
4,10,64,32,1,0.002,0.0189466886222362,0.0584093816578388
5,10,64,32,2,0.002,0.0205863062292337,0.0562663190066814
6,10,64,32,4,0.002,0.0212275758385658,0.056032694876194
7,10,64,32,8,0.002,0.019779410213232,0.0550544410943985
8,10,64,64,1,0.002,0.0204650145024061,0.0590194165706634
9,10,64,64,2,0.002,0.0218835212290287,0.0554959364235401
10,10,64,64,4,0.002,0.0206688363105058,0.0550501383841037
11,10,64,64,8,0.002,0.020847262814641,0.0546262599527835
12,10,128,16,1,0.002,0.0191381517797708,0.0611344836652278
13,10,128,16,2,0.002,0.01881605386734,0.0621868781745433
14,10,128,16,4,0.002,0.0183682814240455,0.0632092505693435
15,10,128,16,8,0.002,0.0171302165836095,0.0716316923499107
16,10,128,32,1,0.002,0.0193417854607105,0.0628513172268867
17,10,128,32,2,0.002,0.0186139121651649,0.0608874671161174
18,10,128,32,4,0.002,0.0181362628936767,0.0629516690969467
19,10,128,32,8,0.002,0.0185455344617366,0.0694507509469986
20,10,128,64,1,0.002,0.0191836208105087,0.0610764510929584
21,10,128,64,2,0.002,0.0190149843692779,0.0568178258836269
22,10,128,64,4,0.002,0.0215733740478754,0.0583391152322292
23,10,128,64,8,0.002,0.0205781888216733,0.061134897172451
24,10,256,16,1,0.002,0.0204244926571846,0.0648309960961341
25,10,256,16,2,0.002,0.0183652583509683,0.0653869286179542
26,10,256,16,4,0.002,0.0175103060901165,0.0717063099145889
27,10,256,16,8,0.002,0.0170599482953548,0.0870445594191551
28,10,256,32,1,0.002,0.0194474142044782,0.065373919904232
29,10,256,32,2,0.002,0.0185873322188854,0.0642826110124588
30,10,256,32,4,0.002,0.0184293836355209,0.073331780731678
31,10,256,32,8,0.002,0.017386021092534,0.0765953883528709
32,10,256,64,1,0.002,0.0192446634173393,0.0648556128144264
33,10,256,64,2,0.002,0.0185602121055126,0.065127357840538
34,10,256,64,4,0.002,0.0185341499745845,0.0728469267487526
35,10,256,64,8,0.002,0.0186012964695692,0.0855624005198478
36,25,64,16,1,0.002,0.0213403329253196,0.0566490553319454
37,25,64,16,2,0.002,0.0215198006480932,0.0553010441362857
38,25,64,16,4,0.002,0.0212379079312086,0.0552110224962234
39,25,64,16,8,0.002,0.0208064038306474,0.0544902794063091
40,25,64,32,1,0.002,0.021252866834402,0.0555052161216735
41,25,64,32,2,0.002,0.0216608736664056,0.0559977665543556
42,25,64,32,4,0.002,0.0205994732677936,0.055488783866167
43,25,64,32,8,0.002,0.0221149809658527,0.0568223483860492
44,25,64,64,1,0.002,0.0216453298926353,0.0557668209075927
45,25,64,64,2,0.002,0.0213227253407239,0.0554810427129268
46,25,64,64,4,0.002,0.0214944239705801,0.0556572079658508
47,25,64,64,8,0.002,0.0220569372177124,0.0575625300407409
48,25,128,16,1,0.002,0.019516285508871,0.0580701157450675
49,25,128,16,2,0.002,0.0222271531820297,0.0558408796787261
50,25,128,16,4,0.002,0.0229670852422714,0.057850956916809
51,25,128,16,8,0.002,0.0214670728892087,0.0578842125833034
52,25,128,32,1,0.002,0.0208670273423194,0.0574485249817371
