,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.02001989632844925,0.14149168133735654
1,10,64,16,2,0.002,0.01965412311255932,0.1401931643486023
2,10,64,16,4,0.002,0.01955572515726089,0.13984178006649015
3,10,64,16,8,0.002,0.01945832371711731,0.13949307799339294
4,10,64,32,1,0.002,0.02003803849220276,0.1415557861328125
5,10,64,32,2,0.002,0.01968755200505257,0.1403123289346695
6,10,64,32,4,0.002,0.019995031878352162,0.14140379428863525
7,10,64,32,8,0.002,0.02228044718503952,0.14926636219024658
8,10,64,64,1,0.002,0.01958796568214893,0.1399570256471634
9,10,64,64,2,0.002,0.01990463025867939,0.14108377695083618
10,10,64,64,4,0.002,0.020676316693425182,0.14379262924194336
11,10,64,64,8,0.002,0.023424562066793442,0.15305083990097046
12,10,128,16,1,0.002,0.022465305402874947,0.14988429844379425
13,10,128,16,2,0.002,0.02024981938302517,0.14230185747146604
14,10,128,16,4,0.002,0.020336497575044632,0.14260609447956085
15,10,128,16,8,0.002,0.019226619973778725,0.13866008818149567
16,10,128,32,1,0.002,0.021103311330080032,0.14526978135108948
17,10,128,32,2,0.002,0.020044930279254917,0.14158011972904205
18,10,128,32,4,0.002,0.01942254602909088,0.1393647938966751
19,10,128,32,8,0.002,0.019629184156656262,0.14010420441627502
20,10,128,64,1,0.002,0.020656602457165718,0.14372402429580688
21,10,128,64,2,0.002,0.019533254206180573,0.13976141810417175
22,10,128,64,4,0.002,0.02058448828756809,0.14347295463085175
23,10,128,64,8,0.002,0.020509984344244003,0.14321309328079224
24,10,256,16,1,0.002,0.02932544983923435,0.17124676704406738
25,10,256,16,2,0.002,0.02621676400303841,0.16191591322422028
26,10,256,16,4,0.002,0.02566552348434925,0.16020461916923526
27,10,256,16,8,0.002,0.02592160739004612,0.16100189089775085
28,10,256,32,1,0.002,0.025854500010609627,0.16079334914684296
29,10,256,32,2,0.002,0.022566016763448715,0.1502198874950409
30,10,256,32,4,0.002,0.023424498736858368,0.15305064618587494
31,10,256,32,8,0.002,0.020629815757274628,0.14363083243370056
32,10,256,64,1,0.002,0.023637786507606503,0.1537458449602127
33,10,256,64,2,0.002,0.021615048870444298,0.1470205783843994
34,10,256,64,4,0.002,0.02116536721587181,0.14548321068286896
35,10,256,64,8,0.002,0.025667401030659683,0.1602105051279068
36,25,64,16,1,0.002,0.019910363480448726,0.1411040723323822
37,25,64,16,2,0.002,0.020352169871330258,0.14266103506088254
38,25,64,16,4,0.002,0.0208575539290905,0.14442142844200134
39,25,64,16,8,0.002,0.0212160125374794,0.14565718173980713
40,25,64,32,1,0.002,0.020124014467000958,0.14185912907123566
41,25,64,32,2,0.002,0.02039887011051178,0.14282462000846866
42,25,64,32,4,0.002,0.021154755726456642,0.14544673264026642
43,25,64,32,8,0.002,0.0208871029317379,0.1445237100124359
44,25,64,64,1,0.002,0.02010680735111237,0.1417984813451767
45,25,64,64,2,0.002,0.020811766386032104,0.14426283538341522
46,25,64,64,4,0.002,0.0210576131939888,0.14511239528656006
47,25,64,64,8,0.002,0.020764362066984177,0.1440984457731247
48,25,128,16,1,0.002,0.019964978098869324,0.14129747450351715
49,25,128,16,2,0.002,0.01993226632475853,0.14118167757987976
50,25,128,16,4,0.002,0.019632041454315186,0.14011436700820926
51,25,128,16,8,0.002,0.019880803301930428,0.14099928736686707
52,25,128,32,1,0.002,0.019780993461608887,0.14064492285251615
53,25,128,32,2,0.002,0.019931517541408542,0.14117904007434845
54,25,128,32,4,0.002,0.019873794168233868,0.14097443222999573
55,25,128,32,8,0.002,0.020960528403520584,0.14477750658988953
56,25,128,64,1,0.002,0.019627772271633148,0.1400991529226303
57,25,128,64,2,0.002,0.020137812942266464,0.14190775156021118
58,25,128,64,4,0.002,0.02017034590244293,0.14202234148979187
59,25,128,64,8,0.002,0.021436119452118874,0.14641079306602478
60,25,256,16,1,0.002,0.022428398951888084,0.1497611403465271
61,25,256,16,2,0.002,0.02104304358363152,0.145062193274498
62,25,256,16,4,0.002,0.02041635848581791,0.14288581907749176
63,25,256,16,8,0.002,0.019936887547373768,0.1411980241537094
64,25,256,32,1,0.002,0.021356869488954544,0.14613988995552066
65,25,256,32,2,0.002,0.02014204114675522,0.14192265272140506
66,25,256,32,4,0.002,0.019890597090125084,0.14103402197360992
67,25,256,32,8,0.002,0.02092551812529564,0.14465655386447904
68,25,256,64,1,0.002,0.020715638995170597,0.14392930269241333
69,25,256,64,2,0.002,0.019805071875452995,0.14073050022125244
70,25,256,64,4,0.002,0.020456820726394653,0.14302733540534973
71,25,256,64,8,0.002,0.021518552675843242,0.14669200778007507
72,50,64,16,1,0.002,0.020262090489268303,0.14234496653079987
73,50,64,16,2,0.002,0.0204454492777586,0.14298757910728455
74,50,64,16,4,0.002,0.02063686586916447,0.14365535974502566
75,50,64,16,8,0.002,0.020901968702673912,0.14457513391971588
76,50,64,32,1,0.002,0.020286232233047485,0.14242975413799286
77,50,64,32,2,0.002,0.02041071280837059,0.14286606013774872
78,50,64,32,4,0.002,0.020734451711177826,0.14399462938308716
79,50,64,32,8,0.002,0.020833995193243027,0.14433985948562622
80,50,64,64,1,0.002,0.020182687789201736,0.14206577837467196
81,50,64,64,2,0.002,0.02040598355233669,0.14284951984882355
82,50,64,64,4,0.002,0.02111944183707237,0.14532530307769775
83,50,64,64,8,0.002,0.020739011466503143,0.14401046931743622
84,50,128,16,1,0.002,0.019924184307456017,0.14115305244922638
85,50,128,16,2,0.002,0.020417783409357067,0.1428908109664917
86,50,128,16,4,0.002,0.020088309422135357,0.14173324406147006
87,50,128,16,8,0.002,0.01998372189700604,0.14136379957199094
88,50,128,32,1,0.002,0.020098049193620682,0.14176759123802185
89,50,128,32,2,0.002,0.020437177270650864,0.1429586559534073
90,50,128,32,4,0.002,0.02015504613518715,0.14196845889091492
91,50,128,32,8,0.002,0.019616411998867992,0.14005860686302185
92,50,128,64,1,0.002,0.020185021683573726,0.14207398891448975
