,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0189410280436277,0.0607464239001274
1,10,64,16,2,0.002,0.0185280479490757,0.0592884086072444
2,10,64,16,4,0.002,0.0208087489008903,0.0556568764150142
3,10,64,16,8,0.002,0.0209109410643577,0.0576137937605381
4,10,64,32,1,0.002,0.0190463196486234,0.0580011308193206
5,10,64,32,2,0.002,0.0211880970746278,0.0553450807929039
6,10,64,32,4,0.002,0.0213656555861234,0.0561385005712509
7,10,64,32,8,0.002,0.0199935175478458,0.0550289191305637
8,10,64,64,1,0.002,0.020778264850378,0.0584597960114479
9,10,64,64,2,0.002,0.0217097103595733,0.0558441989123821
10,10,64,64,4,0.002,0.020735140889883,0.055042240768671
11,10,64,64,8,0.002,0.0209185425192117,0.0545989610254764
12,10,128,16,1,0.002,0.0190922860056161,0.0650498569011688
13,10,128,16,2,0.002,0.0188254937529563,0.0626847371459007
14,10,128,16,4,0.002,0.0182034019380807,0.0664223656058311
15,10,128,16,8,0.002,0.0170912556350231,0.071810282766819
16,10,128,32,1,0.002,0.019238032400608,0.0631885305047035
17,10,128,32,2,0.002,0.018674973398447,0.0611834339797496
18,10,128,32,4,0.002,0.0183320809155702,0.06165362149477
19,10,128,32,8,0.002,0.0181732308119535,0.0686436519026756
20,10,128,64,1,0.002,0.0190878715366125,0.0625577196478843
21,10,128,64,2,0.002,0.0184330232441425,0.0602545142173767
22,10,128,64,4,0.002,0.0217920616269111,0.0578949153423309
23,10,128,64,8,0.002,0.0200816541910171,0.0587532706558704
24,10,256,16,1,0.002,0.019726051017642,0.0656962469220161
25,10,256,16,2,0.002,0.0183240212500095,0.0651299282908439
26,10,256,16,4,0.002,0.017884936183691,0.0698406249284744
27,10,256,16,8,0.002,0.0176541227847337,0.0847160890698432
28,10,256,32,1,0.002,0.0194732993841171,0.0646238848567009
29,10,256,32,2,0.002,0.0184964053332805,0.0651282891631126
30,10,256,32,4,0.002,0.0185085441917181,0.0690652132034301
31,10,256,32,8,0.002,0.0170389544218778,0.0789448469877243
32,10,256,64,1,0.002,0.0192227289080619,0.0639894604682922
33,10,256,64,2,0.002,0.0182976480573415,0.0652028322219848
34,10,256,64,4,0.002,0.0185278486460447,0.0689283236861229
35,10,256,64,8,0.002,0.0175925120711326,0.0802513882517814
36,25,64,16,1,0.002,0.0210760999470949,0.0558469928801059
37,25,64,16,2,0.002,0.0216073710471391,0.0561586245894432
38,25,64,16,4,0.002,0.0215144958347082,0.0557610318064689
39,25,64,16,8,0.002,0.0203803274780511,0.0550057291984558
40,25,64,32,1,0.002,0.0212861113250255,0.055803682655096
41,25,64,32,2,0.002,0.0217618867754936,0.0560537986457347
42,25,64,32,4,0.002,0.0205972623080015,0.055619828402996
43,25,64,32,8,0.002,0.0229138694703578,0.057545680552721
44,25,64,64,1,0.002,0.0216646622866392,0.0556350462138652
45,25,64,64,2,0.002,0.0212335493415594,0.0554219745099544
46,25,64,64,4,0.002,0.0208923798054456,0.0558144524693489
47,25,64,64,8,0.002,0.0198967419564723,0.0569900311529636
48,25,128,16,1,0.002,0.0194087661802768,0.058861743658781
49,25,128,16,2,0.002,0.0221326872706413,0.0558873862028121
50,25,128,16,4,0.002,0.0227688942104578,0.0582683607935905
51,25,128,16,8,0.002,0.0211937148123979,0.057732205837965
52,25,128,32,1,0.002,0.0207907389849424,0.0572918951511383
53,25,128,32,2,0.002,0.0232230555266141,0.0563577190041542
54,25,128,32,4,0.002,0.0217946283519268,0.0579937882721424
55,25,128,32,8,0.002,0.0199685171246528,0.0572026595473289
56,25,128,64,1,0.002,0.0224567204713821,0.0564892664551734
57,25,128,64,2,0.002,0.0217641741037368,0.0562931783497333
58,25,128,64,4,0.002,0.0206139758229255,0.0568848624825477
59,25,128,64,8,0.002,0.0198721066117286,0.0642803609371185
60,25,256,16,1,0.002,0.0191143378615379,0.0628521218895912
61,25,256,16,2,0.002,0.0190687924623489,0.0636283010244369
62,25,256,16,4,0.002,0.0195608679205179,0.0645890012383461
63,25,256,16,8,0.002,0.0210360679775476,0.0663408413529396
64,25,256,32,1,0.002,0.0188800934702157,0.0620564520359039
65,25,256,32,2,0.002,0.0192357245832681,0.0626651048660278
66,25,256,32,4,0.002,0.0224690828472375,0.0584139563143253
67,25,256,32,8,0.002,0.0203150268644094,0.0617694482207298
68,25,256,64,1,0.002,0.0191211141645908,0.0606728494167327
69,25,256,64,2,0.002,0.0203352440148592,0.0561704076826572
70,25,256,64,4,0.002,0.0236825458705425,0.0576809495687484
71,25,256,64,8,0.002,0.023560119792819,0.0580685287714004
72,50,64,16,1,0.002,0.0216208472847938,0.0553856678307056
73,50,64,16,2,0.002,0.0215009823441505,0.057272907346487
74,50,64,16,4,0.002,0.0209749117493629,0.0577665604650974
75,50,64,16,8,0.002,0.0214346405118703,0.0550927706062793
76,50,64,32,1,0.002,0.0212578773498535,0.0578612312674522
77,50,64,32,2,0.002,0.0209510046988725,0.057457473129034
78,50,64,32,4,0.002,0.0211203731596469,0.0576889812946319
79,50,64,32,8,0.002,0.0214406475424766,0.0553272105753421
80,50,64,64,1,0.002,0.0207708161324262,0.057681817561388
81,50,64,64,2,0.002,0.0207129195332527,0.058215569704771
82,50,64,64,4,0.002,0.021590793505311,0.0570538379251956
83,50,64,64,8,0.002,0.0213815178722143,0.0554605461657047
84,50,128,16,1,0.002,0.0211821999400854,0.0557649582624435
85,50,128,16,2,0.002,0.0216390956193208,0.0561996288597583
86,50,128,16,4,0.002,0.0219888854771852,0.0561071261763572
87,50,128,16,8,0.002,0.0212960261851549,0.0551332496106624
88,50,128,32,1,0.002,0.021302007138729,0.0554339028894901
89,50,128,32,2,0.002,0.0220220405608415,0.0561644993722438
90,50,128,32,4,0.002,0.0214510075747966,0.0558652617037296
91,50,128,32,8,0.002,0.0213360805064439,0.0558613166213035
92,50,128,64,1,0.002,0.0218067653477191,0.055804930627346
93,50,128,64,2,0.002,0.0221194066107273,0.0562250986695289
94,50,128,64,4,0.002,0.0219166669994592,0.0568642802536487
95,50,128,64,8,0.002,0.0206270441412925,0.0563419200479984
96,50,256,16,1,0.002,0.0196437910199165,0.0595318078994751
97,50,256,16,2,0.002,0.0211863275617361,0.0562962405383586
98,50,256,16,4,0.002,0.02198919467628,0.0571280047297477
99,50,256,16,8,0.002,0.0220761001110076,0.0611893087625503
100,50,256,32,1,0.002,0.0200621914118528,0.0590663775801658
101,50,256,32,2,0.002,0.02210333943367,0.0560909509658813
102,50,256,32,4,0.002,0.0216793529689311,0.0571557693183422
103,50,256,32,8,0.002,0.0205391198396682,0.05701694637537
104,50,256,64,1,0.002,0.0205417536199092,0.0593478642404079
105,50,256,64,2,0.002,0.0220800340175628,0.0570915527641773
106,50,256,64,4,0.002,0.0210498888045549,0.0562171638011932
107,50,256,64,8,0.002,0.022029411047697,0.0567803755402565
108,75,64,16,1,0.002,0.0213421359658241,0.0563078485429286
109,75,64,16,2,0.002,0.0213465876877307,0.0562287382781505
110,75,64,16,4,0.002,0.0218404587358236,0.0575127489864826
111,75,64,16,8,0.002,0.0216899421066045,0.0552702993154525
112,75,64,32,1,0.002,0.0210099872201681,0.0561612993478775
113,75,64,32,2,0.002,0.0212415382266044,0.0557038150727748
114,75,64,32,4,0.002,0.0221384912729263,0.0591977089643478
115,75,64,32,8,0.002,0.0211336724460124,0.0564679987728595
116,75,64,64,1,0.002,0.0211735162883996,0.056705430150032
117,75,64,64,2,0.002,0.0211846604943275,0.0569972246885299
118,75,64,64,4,0.002,0.0218622591346502,0.0584035813808441
119,75,64,64,8,0.002,0.0211043711751699,0.0574196092784404
120,75,128,16,1,0.002,0.0203643459826707,0.0573952160775661
121,75,128,16,2,0.002,0.0205601155757904,0.0564903207123279
122,75,128,16,4,0.002,0.0211557522416114,0.0552793741226196
123,75,128,16,8,0.002,0.0223868899047374,0.0540171302855014
124,75,128,32,1,0.002,0.0201868060976266,0.0565083436667919
125,75,128,32,2,0.002,0.0215172301977872,0.0545390844345092
126,75,128,32,4,0.002,0.0221381746232509,0.0548626333475112
127,75,128,32,8,0.002,0.0204068403691053,0.054806001484394
128,75,128,64,1,0.002,0.0203782375901937,0.0556688569486141
129,75,128,64,2,0.002,0.0218649450689554,0.0545169003307819
130,75,128,64,4,0.002,0.0227584913372993,0.0568939447402954
131,75,128,64,8,0.002,0.0207272768020629,0.054454430937767
132,75,256,16,1,0.002,0.0205923542380332,0.0583777204155921
133,75,256,16,2,0.002,0.0206271726638078,0.059654951095581
134,75,256,16,4,0.002,0.0208696592599153,0.0565451793372631
135,75,256,16,8,0.002,0.019052617251873,0.0554111450910568
136,75,256,32,1,0.002,0.0212893057614564,0.0565041080117225
