,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0190457385033369,0.0597618706524372
1,10,64,16,2,0.002,0.0191735960543155,0.0567376464605331
2,10,64,16,4,0.002,0.0207413733005523,0.0582392327487468
3,10,64,16,8,0.002,0.0195564739406108,0.0563086904585361
4,10,64,32,1,0.002,0.0189182087779045,0.0582721605896949
5,10,64,32,2,0.002,0.0210636928677558,0.0556567646563053
6,10,64,32,4,0.002,0.0211412589997053,0.0563971884548664
7,10,64,32,8,0.002,0.0200644694268703,0.0553093068301677
8,10,64,64,1,0.002,0.0203746017068624,0.0595073848962783
9,10,64,64,2,0.002,0.021631808951497,0.0560276918113231
10,10,64,64,4,0.002,0.0206392295658588,0.0549578666687011
11,10,64,64,8,0.002,0.0207598078995943,0.0546470545232296
12,10,128,16,1,0.002,0.0193294379860162,0.0619483888149261
13,10,128,16,2,0.002,0.0185998100787401,0.064143568277359
14,10,128,16,4,0.002,0.0181081853806972,0.0664494857192039
15,10,128,16,8,0.002,0.0171378515660762,0.0751760229468345
16,10,128,32,1,0.002,0.0193584319204092,0.0623462535440921
17,10,128,32,2,0.002,0.0187335573136806,0.0603629499673843
18,10,128,32,4,0.002,0.0183853227645158,0.0614758618175983
19,10,128,32,8,0.002,0.0191351287066936,0.0669027119874954
20,10,128,64,1,0.002,0.0191634465008974,0.0613424964249134
21,10,128,64,2,0.002,0.0196058899164199,0.0559125058352947
22,10,128,64,4,0.002,0.0217001102864742,0.0578986778855323
23,10,128,64,8,0.002,0.020857635885477,0.0602237246930599
24,10,256,16,1,0.002,0.0197948832064867,0.0639519095420837
25,10,256,16,2,0.002,0.0183753296732902,0.0667876377701759
26,10,256,16,4,0.002,0.0181173998862504,0.0696763694286346
27,10,256,16,8,0.002,0.0165264755487442,0.084006443619728
28,10,256,32,1,0.002,0.0196003019809722,0.0645448267459869
29,10,256,32,2,0.002,0.0184613317251205,0.0650564879179
30,10,256,32,4,0.002,0.0185989663004875,0.0688800737261772
31,10,256,32,8,0.002,0.0167829208076,0.0803808197379112
32,10,256,64,1,0.002,0.0193056594580411,0.0643402561545372
33,10,256,64,2,0.002,0.0183015670627355,0.0647288113832473
34,10,256,64,4,0.002,0.0182569306343793,0.0709727779030799
35,10,256,64,8,0.002,0.0173722002655267,0.0790939107537269
36,25,64,16,1,0.002,0.0211826264858245,0.0552871786057949
37,25,64,16,2,0.002,0.0215739421546459,0.0551239773631095
38,25,64,16,4,0.002,0.021188473328948,0.0557450577616691
39,25,64,16,8,0.002,0.02034811116755,0.0549686141312122
40,25,64,32,1,0.002,0.0212633367627859,0.0558573678135871
41,25,64,32,2,0.002,0.0216348599642515,0.0555463247001171
42,25,64,32,4,0.002,0.0205531325191259,0.0557597614824771
43,25,64,32,8,0.002,0.0231554210186004,0.0577770732343196
44,25,64,64,1,0.002,0.0215208977460861,0.055743683129549
45,25,64,64,2,0.002,0.0213618036359548,0.0556456223130226
46,25,64,64,4,0.002,0.0208554212003946,0.0555631965398788
47,25,64,64,8,0.002,0.0202986318618059,0.0567153133451938
48,25,128,16,1,0.002,0.0194989014416933,0.0578249655663967
49,25,128,16,2,0.002,0.0212298315018415,0.0570859983563423
50,25,128,16,4,0.002,0.0232737194746732,0.0586218796670436
