,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.0189106706529855,0.0631135702133178
1,1,10,64,16,2,0.002,0.0181383434683084,0.0651982948184013
2,2,10,64,16,4,0.002,0.0185455530881881,0.0705294162034988
3,3,10,64,16,8,0.002,0.0195934735238552,0.0692698135972023
4,4,10,64,32,1,0.002,0.018431993201375,0.0625602975487709
5,5,10,64,32,2,0.002,0.019381383433938,0.0645949319005012
6,6,10,64,32,4,0.002,0.0196696035563945,0.0711371600627899
7,7,10,64,32,8,0.002,0.0181898195296525,0.065531700849533
8,8,10,64,64,1,0.002,0.0207547415047884,0.0717557072639465
9,9,10,64,64,2,0.002,0.0212687756866216,0.0696325227618217
10,10,10,64,64,4,0.002,0.0231736302375793,0.0719931870698928
11,11,10,64,64,8,0.002,0.022448431700468,0.0659790113568306
12,12,10,128,16,1,0.002,0.0186991412192583,0.0662265941500663
13,13,10,128,16,2,0.002,0.0186079200357198,0.0704669654369354
14,14,10,128,16,4,0.002,0.0178889613598585,0.0734933912754058
15,15,10,128,16,8,0.002,0.0174608621746301,0.0780333876609802
16,16,10,128,32,1,0.002,0.0191026106476783,0.0667198076844215
17,17,10,128,32,2,0.002,0.0188925918191671,0.0697405487298965
18,18,10,128,32,4,0.002,0.0178230348974466,0.0721886083483696
19,19,10,128,32,8,0.002,0.0169187914580106,0.0774373635649681
20,20,10,128,64,1,0.002,0.0191670469939708,0.065476469695568
21,21,10,128,64,2,0.002,0.0184752196073532,0.0694629251956939
22,22,10,128,64,4,0.002,0.017549218609929,0.0715227723121643
23,23,10,128,64,8,0.002,0.0175740867853164,0.0729915350675582
24,24,10,256,16,1,0.002,0.0198430623859167,0.0698873400688171
25,25,10,256,16,2,0.002,0.0183568764477968,0.0694884285330772
26,26,10,256,16,4,0.002,0.0184442121535539,0.0745052844285965
27,27,10,256,16,8,0.002,0.0207475610077381,0.1063805893063545
28,28,10,256,32,1,0.002,0.0192017648369073,0.0677632093429565
29,29,10,256,32,2,0.002,0.0189110785722732,0.0701350942254066
30,30,10,256,32,4,0.002,0.0184879042208194,0.0845912247896194
31,31,10,256,32,8,0.002,0.0180091094225645,0.0897555351257324
32,32,10,256,64,1,0.002,0.0195082388818264,0.0676782131195068
33,33,10,256,64,2,0.002,0.0192815195769071,0.0799215957522392
34,34,10,256,64,4,0.002,0.0180908255279064,0.0797949358820915
35,35,10,256,64,8,0.002,0.0162662789225578,0.0825773328542709
36,36,25,64,16,1,0.002,0.0205924678593873,0.0564582757651805
37,37,25,64,16,2,0.002,0.0210483875125646,0.0555847100913524
38,38,25,64,16,4,0.002,0.0213229339569807,0.0575133524835109
39,39,25,64,16,8,0.002,0.0213189460337162,0.0563541091978549
40,40,25,64,32,1,0.002,0.0209329649806022,0.0560242161154747
41,41,25,64,32,2,0.002,0.0216185841709375,0.0564154461026191
42,42,25,64,32,4,0.002,0.0205901935696601,0.0567382201552391
43,43,25,64,32,8,0.002,0.02366778627038,0.0571632012724876
44,44,25,64,64,1,0.002,0.0213954653590917,0.0564167760312557
45,45,25,64,64,2,0.002,0.0208016652613878,0.0566582009196281
46,46,25,64,64,4,0.002,0.0202452111989259,0.0565623007714748
47,47,25,64,64,8,0.002,0.0228374991565942,0.0557802282273769
48,48,25,128,16,1,0.002,0.019369151443243,0.0625583231449127
49,49,25,128,16,2,0.002,0.0205326322466135,0.0620593950152397
50,50,25,128,16,4,0.002,0.0220665428787469,0.0668196156620979
51,51,25,128,16,8,0.002,0.019447086378932,0.0655191391706466
52,52,25,128,32,1,0.002,0.0207666158676147,0.0603860504925251
53,53,25,128,32,2,0.002,0.0211536455899477,0.0592103563249111
54,54,25,128,32,4,0.002,0.0214053448289632,0.0634343475103378
55,55,25,128,32,8,0.002,0.0219985228031873,0.0588820278644561
56,56,25,128,64,1,0.002,0.022242359817028,0.0626512095332145
57,57,25,128,64,2,0.002,0.0199308507144451,0.0557525791227817
58,58,25,128,64,4,0.002,0.0197269301861524,0.0584460161626338
59,59,25,128,64,8,0.002,0.0219612810760736,0.0638209283351898
60,60,25,256,16,1,0.002,0.0189753025770187,0.0669076293706893
61,61,25,256,16,2,0.002,0.0189640540629625,0.0680268555879592
62,62,25,256,16,4,0.002,0.0191727150231599,0.0726613029837608
63,63,25,256,16,8,0.002,0.0185676086694002,0.0778936520218849
64,64,25,256,32,1,0.002,0.0191347505897283,0.0659438744187355
65,65,25,256,32,2,0.002,0.0191936306655406,0.0666320845484733
66,66,25,256,32,4,0.002,0.0192315615713596,0.0713242068886756
67,67,25,256,32,8,0.002,0.0211422592401504,0.0731531456112861
68,68,25,256,64,1,0.002,0.0193183235824108,0.0643004700541496
69,69,25,256,64,2,0.002,0.0195349007844924,0.0646549984812736
70,70,25,256,64,4,0.002,0.0211935266852378,0.0687401965260505
71,71,25,256,64,8,0.002,0.0240978263318538,0.0818046927452087
72,72,50,64,16,1,0.002,0.0218523293733596,0.0571802407503128
73,73,50,64,16,2,0.002,0.0218947436660528,0.0564151518046855
74,74,50,64,16,4,0.002,0.0213082525879144,0.0558621771633625
75,75,50,64,16,8,0.002,0.0210438035428524,0.0539607927203178
76,76,50,64,32,1,0.002,0.0217457730323076,0.0578365921974182
77,77,50,64,32,2,0.002,0.0215422827750444,0.057739995419979
78,78,50,64,32,4,0.002,0.0213826745748519,0.0565859600901603
79,79,50,64,32,8,0.002,0.0212760772556066,0.0538507252931594
80,80,50,64,64,1,0.002,0.0209122188389301,0.0578120574355125
81,81,50,64,64,2,0.002,0.0207799077033996,0.0582638718187809
82,82,50,64,64,4,0.002,0.0219204314053058,0.0548285916447639
83,83,50,64,64,8,0.002,0.0220604315400123,0.0539580397307872
84,84,50,128,16,1,0.002,0.0199243500828742,0.0568918474018573
85,85,50,128,16,2,0.002,0.0208764374256134,0.0556395798921585
86,86,50,128,16,4,0.002,0.0217841640114784,0.0572572536766529
87,87,50,128,16,8,0.002,0.0233296062797307,0.0631190612912178
88,88,50,128,32,1,0.002,0.0201953426003456,0.0561201497912406
89,89,50,128,32,2,0.002,0.0217900369316339,0.0566493608057498
90,90,50,128,32,4,0.002,0.0219320245087146,0.0577195473015308
91,91,50,128,32,8,0.002,0.0216622315347194,0.054721750319004
92,92,50,128,64,1,0.002,0.0215604100376367,0.056886937469244
93,93,50,128,64,2,0.002,0.021630385890603,0.0564579293131828
94,94,50,128,64,4,0.002,0.0219583511352539,0.0556562207639217
95,95,50,128,64,8,0.002,0.0215352326631546,0.0564920902252197
96,96,50,256,16,1,0.002,0.0197310503572225,0.0624067187309265
97,97,50,256,16,2,0.002,0.0198283437639474,0.0649286657571792
98,98,50,256,16,4,0.002,0.0206277258694171,0.0706012472510337
99,99,50,256,16,8,0.002,0.0206374563276767,0.0697232186794281
100,100,50,256,32,1,0.002,0.0201970804482698,0.0624434314668178
101,101,50,256,32,2,0.002,0.0207902919501066,0.0636774003505706
102,102,50,256,32,4,0.002,0.0205185804516077,0.0666567832231521
103,103,50,256,32,8,0.002,0.0199834592640399,0.0673874840140342
104,104,50,256,64,1,0.002,0.0209450609982013,0.0604715906083583
105,105,50,256,64,2,0.002,0.0205289181321859,0.0588654391467571
106,106,50,256,64,4,0.002,0.0207119900733232,0.0576870068907737
107,107,50,256,64,8,0.002,0.0224021542817354,0.0592317767441272
108,108,75,64,16,1,0.002,0.0219601020216941,0.0567069537937641
109,109,75,64,16,2,0.002,0.0220060851424932,0.0560464486479759
110,110,75,64,16,4,0.002,0.0218833796679973,0.0551036223769187
111,111,75,64,16,8,0.002,0.0215697307139635,0.053734291344881
112,112,75,64,32,1,0.002,0.0212364755570888,0.0562058873474597
113,113,75,64,32,2,0.002,0.0217376071959733,0.0559023730456829
114,114,75,64,32,4,0.002,0.0214181002229452,0.0564194284379482
115,115,75,64,32,8,0.002,0.0217411983758211,0.0547532700002193
116,116,75,64,64,1,0.002,0.0216703377664089,0.0571318119764328
117,117,75,64,64,2,0.002,0.0212663356214761,0.0559906922280788
118,118,75,64,64,4,0.002,0.0216321777552366,0.0561094991862773
119,119,75,64,64,8,0.002,0.0213554091751575,0.0562535375356674
120,120,75,128,16,1,0.002,0.0207022577524185,0.0559045858681201
121,121,75,128,16,2,0.002,0.020487455651164,0.0555235184729099
122,122,75,128,16,4,0.002,0.021026199683547,0.054277379065752
123,123,75,128,16,8,0.002,0.0223298966884613,0.0549447461962699
124,124,75,128,32,1,0.002,0.0203010570257902,0.0566955842077732
125,125,75,128,32,2,0.002,0.0210632607340812,0.0553736574947834
126,126,75,128,32,4,0.002,0.022675234824419,0.0549427717924118
127,127,75,128,32,8,0.002,0.021047331392765,0.0543671809136867
128,128,75,128,64,1,0.002,0.0209962781518697,0.0553861744701862
129,129,75,128,64,2,0.002,0.0222042817622423,0.0554940663278102
130,130,75,128,64,4,0.002,0.0228766407817602,0.0548479706048965
131,131,75,128,64,8,0.002,0.0205578375607728,0.0542688630521297
132,132,75,256,16,1,0.002,0.020340409129858,0.0593752451241016
133,133,75,256,16,2,0.002,0.0206895135343074,0.0628275126218795
