,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0188820790499448,0.0586885176599025
1,10,64,16,2,0.002,0.0200156401842832,0.0559783428907394
2,10,64,16,4,0.002,0.0208739601075649,0.0564483478665351
3,10,64,16,8,0.002,0.0207782983779907,0.0571924671530723
4,10,64,32,1,0.002,0.0189466886222362,0.0584093816578388
5,10,64,32,2,0.002,0.0205863062292337,0.0562663152813911
6,10,64,32,4,0.002,0.0212275739759206,0.0560326986014843
7,10,64,32,8,0.002,0.0197794083505868,0.0550544373691082
8,10,64,64,1,0.002,0.0204650145024061,0.0590194091200828
9,10,64,64,2,0.002,0.0218835212290287,0.0554959438741207
10,10,64,64,4,0.002,0.020668838173151,0.0550501346588134
11,10,64,64,8,0.002,0.020847262814641,0.0546262599527835
12,10,128,16,1,0.002,0.019138153642416,0.0611344836652278
13,10,128,16,2,0.002,0.01881605386734,0.0621868781745433
14,10,128,16,4,0.002,0.0183682814240455,0.0632092431187629
15,10,128,16,8,0.002,0.0171302165836095,0.0716316923499107
16,10,128,32,1,0.002,0.0193417854607105,0.0628513172268867
17,10,128,32,2,0.002,0.0186139121651649,0.0608874671161174
18,10,128,32,4,0.002,0.0181362628936767,0.0629516690969467
19,10,128,32,8,0.002,0.018545527011156,0.0694507583975792
20,10,128,64,1,0.002,0.0191836208105087,0.0610764548182487
21,10,128,64,2,0.002,0.0190149843692779,0.0568178258836269
22,10,128,64,4,0.002,0.0215733759105205,0.0583391189575195
23,10,128,64,8,0.002,0.0205781832337379,0.0611348748207092
24,10,256,16,1,0.002,0.0204244926571846,0.0648310035467147
25,10,256,16,2,0.002,0.0183652583509683,0.0653869286179542
26,10,256,16,4,0.002,0.0175103042274713,0.0717063024640083
27,10,256,16,8,0.002,0.0170599501579999,0.0870445594191551
28,10,256,32,1,0.002,0.0194474142044782,0.065373919904232
29,10,256,32,2,0.002,0.0185873322188854,0.0642826110124588
30,10,256,32,4,0.002,0.0184293836355209,0.0733317881822586
31,10,256,32,8,0.002,0.0173860229551792,0.0765953883528709
32,10,256,64,1,0.002,0.0192446634173393,0.0648556128144264
33,10,256,64,2,0.002,0.0185602121055126,0.0651273503899574
34,10,256,64,4,0.002,0.0185341481119394,0.0728469267487526
35,10,256,64,8,0.002,0.0186012964695692,0.0855623707175254
36,25,64,16,1,0.002,0.0213403329253196,0.0566490516066551
37,25,64,16,2,0.002,0.0215198006480932,0.055301047861576
38,25,64,16,4,0.002,0.0212379079312086,0.0552110187709331
39,25,64,16,8,0.002,0.020806398242712,0.0544902756810188
40,25,64,32,1,0.002,0.021252866834402,0.0555052161216735
41,25,64,32,2,0.002,0.0216608718037605,0.0559977665543556
42,25,64,32,4,0.002,0.0205994732677936,0.055488783866167
43,25,64,32,8,0.002,0.0221149828284978,0.0568223521113395
44,25,64,64,1,0.002,0.0216453298926353,0.0557668209075927
45,25,64,64,2,0.002,0.0213227253407239,0.0554810389876365
46,25,64,64,4,0.002,0.0214944276958704,0.0556572116911411
47,25,64,64,8,0.002,0.0220569334924221,0.0575625039637088
48,25,128,16,1,0.002,0.019516285508871,0.0580701157450675
