,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.0186965093016624,0.0626057609915733
1,1,10,64,16,2,0.002,0.0181203205138444,0.0661662220954895
2,2,10,64,16,4,0.002,0.0183412302285432,0.0713674798607826
3,3,10,64,16,8,0.002,0.0191795527935028,0.0703599154949188
4,4,10,64,32,1,0.002,0.0183869693428277,0.0623953379690647
5,5,10,64,32,2,0.002,0.0199045427143573,0.0619344487786293
6,6,10,64,32,4,0.002,0.0193804427981376,0.0664038360118866
7,7,10,64,32,8,0.002,0.0186342094093561,0.0641467198729515
8,8,10,64,64,1,0.002,0.0198362078517675,0.0623822771012783
9,9,10,64,64,2,0.002,0.0204812716692686,0.0661772191524505
10,10,10,64,64,4,0.002,0.0196568425744771,0.0614353865385055
11,11,10,64,64,8,0.002,0.0185994338244199,0.0602646395564079
12,12,10,128,16,1,0.002,0.0188984386622905,0.0665914714336395
13,13,10,128,16,2,0.002,0.0186528079211711,0.0696282833814621
14,14,10,128,16,4,0.002,0.0180040262639522,0.073615126311779
15,15,10,128,16,8,0.002,0.0175250526517629,0.0783165693283081
16,16,10,128,32,1,0.002,0.0191524233669042,0.0678155273199081
17,17,10,128,32,2,0.002,0.018907455727458,0.0695774182677269
18,18,10,128,32,4,0.002,0.0179047770798206,0.0724181830883026
19,19,10,128,32,8,0.002,0.0167878158390522,0.0765408352017402
20,20,10,128,64,1,0.002,0.0192496366798877,0.0655857995152473
21,21,10,128,64,2,0.002,0.0186449568718671,0.0678277462720871
22,22,10,128,64,4,0.002,0.0175750777125358,0.0729081705212593
23,23,10,128,64,8,0.002,0.0164235420525074,0.0778140872716903
24,24,10,256,16,1,0.002,0.0202768463641405,0.068967118859291
25,25,10,256,16,2,0.002,0.0189332496374845,0.0709275528788566
26,26,10,256,16,4,0.002,0.0187330357730388,0.0751213878393173
27,27,10,256,16,8,0.002,0.021668879315257,0.0988820269703865
28,28,10,256,32,1,0.002,0.01914251036942,0.0674926340579986
29,29,10,256,32,2,0.002,0.0190500169992446,0.069648303091526
30,30,10,256,32,4,0.002,0.0178703628480434,0.077435977756977
31,31,10,256,32,8,0.002,0.0180216431617736,0.0873353332281112
32,32,10,256,64,1,0.002,0.0193943493068218,0.0674548745155334
33,33,10,256,64,2,0.002,0.0192064959555864,0.077079027891159
34,34,10,256,64,4,0.002,0.0181747209280729,0.0790263339877128
35,35,10,256,64,8,0.002,0.0163737032562494,0.084962323307991
36,36,25,64,16,1,0.002,0.0203831475228071,0.0567809157073497
37,37,25,64,16,2,0.002,0.0212093386799097,0.0560939498245716
38,38,25,64,16,4,0.002,0.021761042997241,0.0572084300220012
39,39,25,64,16,8,0.002,0.0215083807706832,0.0559994727373123
40,40,25,64,32,1,0.002,0.0209951661527156,0.0567986145615577
41,41,25,64,32,2,0.002,0.0214284341782331,0.0560089014470577
42,42,25,64,32,4,0.002,0.0203839503228664,0.056131649762392
43,43,25,64,32,8,0.002,0.0237053520977497,0.05710931122303
44,44,25,64,64,1,0.002,0.0214561093598604,0.0562282912433147
45,45,25,64,64,2,0.002,0.0209027994424104,0.0565376207232475
46,46,25,64,64,4,0.002,0.0201407447457313,0.0570386834442615
47,47,25,64,64,8,0.002,0.0221190582960844,0.0551085174083709
48,48,25,128,16,1,0.002,0.0194765385240316,0.0608564615249633
49,49,25,128,16,2,0.002,0.0203822236508131,0.0628594756126403
50,50,25,128,16,4,0.002,0.0213653016835451,0.0663997381925582
51,51,25,128,16,8,0.002,0.0212201606482267,0.0734689235687255
52,52,25,128,32,1,0.002,0.0209040492773056,0.0593294315040111
53,53,25,128,32,2,0.002,0.0216102208942174,0.0609263479709625
54,54,25,128,32,4,0.002,0.0207917094230651,0.0633519142866134
55,55,25,128,32,8,0.002,0.0233691073954105,0.0659141466021537
56,56,25,128,64,1,0.002,0.02203437872231,0.0604121722280979
57,57,25,128,64,2,0.002,0.0202821213752031,0.0587933212518692
58,58,25,128,64,4,0.002,0.0197889525443315,0.0581692345440387
59,59,25,128,64,8,0.002,0.022324277088046,0.0636388882994651
60,60,25,256,16,1,0.002,0.0190374329686164,0.0674737468361854
61,61,25,256,16,2,0.002,0.0188941955566406,0.0673816576600074
62,62,25,256,16,4,0.002,0.0190238151699304,0.0720642507076263
63,63,25,256,16,8,0.002,0.0187782626599073,0.0781348571181297
