,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0189410280436277,0.0607464239001274
1,10,64,16,2,0.002,0.0185280479490757,0.0592884048819541
2,10,64,16,4,0.002,0.0208087470382452,0.0556568764150142
3,10,64,16,8,0.002,0.0209109429270029,0.0576137937605381
4,10,64,32,1,0.002,0.0190463196486234,0.0580011345446109
5,10,64,32,2,0.002,0.0211880970746278,0.0553450770676136
6,10,64,32,4,0.002,0.0213656555861234,0.0561385005712509
7,10,64,32,8,0.002,0.0199935175478458,0.0550289191305637
8,10,64,64,1,0.002,0.0207782667130231,0.0584598034620285
9,10,64,64,2,0.002,0.0217097103595733,0.0558441989123821
10,10,64,64,4,0.002,0.020735140889883,0.055042240768671
11,10,64,64,8,0.002,0.0209185425192117,0.0545989610254764
12,10,128,16,1,0.002,0.0190922860056161,0.0650498569011688
13,10,128,16,2,0.002,0.0188254937529563,0.0626847371459007
14,10,128,16,4,0.002,0.0182034019380807,0.0664223656058311
15,10,128,16,8,0.002,0.0170912556350231,0.0718102753162384
16,10,128,32,1,0.002,0.019238032400608,0.0631885305047035
17,10,128,32,2,0.002,0.018674973398447,0.0611834339797496
18,10,128,32,4,0.002,0.0183320809155702,0.06165362149477
19,10,128,32,8,0.002,0.0181732270866632,0.068643644452095
20,10,128,64,1,0.002,0.0190878696739673,0.0625577196478843
21,10,128,64,2,0.002,0.0184330232441425,0.0602545142173767
22,10,128,64,4,0.002,0.0217920616269111,0.0578949227929115
23,10,128,64,8,0.002,0.020081652328372,0.0587532743811607
24,10,256,16,1,0.002,0.019726051017642,0.0656962469220161
25,10,256,16,2,0.002,0.0183240212500095,0.0651299282908439
26,10,256,16,4,0.002,0.017884936183691,0.0698406249284744
27,10,256,16,8,0.002,0.0176541227847337,0.0847160890698432
28,10,256,32,1,0.002,0.0194732993841171,0.0646238923072815
29,10,256,32,2,0.002,0.0184964034706354,0.0651282891631126
30,10,256,32,4,0.002,0.0185085441917181,0.0690652132034301
31,10,256,32,8,0.002,0.0170389544218778,0.0789448469877243
32,10,256,64,1,0.002,0.0192227289080619,0.0639894604682922
33,10,256,64,2,0.002,0.0182976480573415,0.0652028396725654
34,10,256,64,4,0.002,0.0185278486460447,0.0689283236861229
35,10,256,64,8,0.002,0.0175925157964229,0.080251395702362
36,25,64,16,1,0.002,0.0210760999470949,0.0558469891548156
37,25,64,16,2,0.002,0.0216073673218488,0.0561586171388626
38,25,64,16,4,0.002,0.0215144995599985,0.0557610318064689
39,25,64,16,8,0.002,0.020380325615406,0.0550057254731655
40,25,64,32,1,0.002,0.0212861113250255,0.055803682655096
41,25,64,32,2,0.002,0.0217618867754936,0.0560537986457347
42,25,64,32,4,0.002,0.0205972604453563,0.055619828402996
