,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.0187756232917308,0.0630235001444816
1,1,10,64,16,2,0.002,0.0182340573519468,0.0651595890522003
2,2,10,64,16,4,0.002,0.0190976820886135,0.0700339302420616
3,3,10,64,16,8,0.002,0.0185889657586812,0.0718757808208465
4,4,10,64,32,1,0.002,0.0185910165309906,0.0606833100318908
5,5,10,64,32,2,0.002,0.0187742542475461,0.062208417803049
6,6,10,64,32,4,0.002,0.0194572638720273,0.0652530044317245
7,7,10,64,32,8,0.002,0.0189623925834894,0.0650142952799797
8,8,10,64,64,1,0.002,0.0195372067391872,0.0638089999556541
9,9,10,64,64,2,0.002,0.0198068786412477,0.0614600591361522
10,10,10,64,64,4,0.002,0.0223935600370168,0.0674025192856788
11,11,10,64,64,8,0.002,0.021572757512331,0.0676883310079574
12,12,10,128,16,1,0.002,0.0184585433453321,0.0670579299330711
13,13,10,128,16,2,0.002,0.0186736825853586,0.0696710124611854
14,14,10,128,16,4,0.002,0.0180591791868209,0.0736154988408088
15,15,10,128,16,8,0.002,0.0176660381257534,0.0779876410961151
16,16,10,128,32,1,0.002,0.0189786739647388,0.0671235769987106
17,17,10,128,32,2,0.002,0.0188519600778818,0.0693643540143966
18,18,10,128,32,4,0.002,0.0178400576114654,0.072319395840168
19,19,10,128,32,8,0.002,0.0168250370770692,0.0768872797489166
20,20,10,128,64,1,0.002,0.0190932136029005,0.0658826753497123
21,21,10,128,64,2,0.002,0.0187585782259702,0.0691556483507156
22,22,10,128,64,4,0.002,0.0175769906491041,0.0712293088436126
23,23,10,128,64,8,0.002,0.0170765724033117,0.0743516460061073
24,24,10,256,16,1,0.002,0.019340818747878,0.0692850649356842
25,25,10,256,16,2,0.002,0.0186033397912979,0.069935031235218
26,26,10,256,16,4,0.002,0.0189005304127931,0.0741445794701576
27,27,10,256,16,8,0.002,0.0193054676055908,0.0863417088985443
28,28,10,256,32,1,0.002,0.0193709339946508,0.0682431235909462
29,29,10,256,32,2,0.002,0.0189895890653133,0.0698264315724372
30,30,10,256,32,4,0.002,0.0180781725794076,0.0743167251348495
31,31,10,256,32,8,0.002,0.0181275326758623,0.0931018739938736
32,32,10,256,64,1,0.002,0.0194324776530265,0.0676392167806625
33,33,10,256,64,2,0.002,0.0191395170986652,0.0792473778128624
34,34,10,256,64,4,0.002,0.0189182981848716,0.0858856663107872
35,35,10,256,64,8,0.002,0.0159084405750036,0.0812126770615577
36,36,25,64,16,1,0.002,0.0206054225564003,0.0568052716553211
37,37,25,64,16,2,0.002,0.0209551975131034,0.0559962205588817
38,38,25,64,16,4,0.002,0.021398527547717,0.0575775206089019
39,39,25,64,16,8,0.002,0.0214709024876356,0.0547227002680301
40,40,25,64,32,1,0.002,0.020865699276328,0.0559646636247634
41,41,25,64,32,2,0.002,0.0216363985091447,0.0564409270882606
42,42,25,64,32,4,0.002,0.0205123219639062,0.0562248267233371
43,43,25,64,32,8,0.002,0.0231532417237758,0.0562408901751041
44,44,25,64,64,1,0.002,0.0214343816041946,0.0560209676623344
45,45,25,64,64,2,0.002,0.020787838846445,0.0561388358473777
46,46,25,64,64,4,0.002,0.0203876178711652,0.0564200952649116
47,47,25,64,64,8,0.002,0.0226203296333551,0.0555720292031765
48,48,25,128,16,1,0.002,0.0191995855420827,0.0614091753959655
49,49,25,128,16,2,0.002,0.0206771157681942,0.0604391396045684
50,50,25,128,16,4,0.002,0.0207375194877386,0.0640723630785942
51,51,25,128,16,8,0.002,0.0200909432023763,0.0709099695086479
52,52,25,128,32,1,0.002,0.0209868550300598,0.0592525526881217
53,53,25,128,32,2,0.002,0.0209150854498147,0.0605880320072174
54,54,25,128,32,4,0.002,0.0200570542365312,0.0597196780145168
55,55,25,128,32,8,0.002,0.0225718095898628,0.0624211467802524
56,56,25,128,64,1,0.002,0.0224612224847078,0.0649707689881324
57,57,25,128,64,2,0.002,0.019757816568017,0.0557794272899627
58,58,25,128,64,4,0.002,0.019841581583023,0.0587344653904438
59,59,25,128,64,8,0.002,0.0230495147407054,0.0660020560026168
60,60,25,256,16,1,0.002,0.0190491825342178,0.0664408132433891
61,61,25,256,16,2,0.002,0.0191492848098278,0.0678114593029022
62,62,25,256,16,4,0.002,0.0187143851071596,0.0727022662758827
63,63,25,256,16,8,0.002,0.0190338306128978,0.077646791934967
64,64,25,256,32,1,0.002,0.0191963817924261,0.066069446504116
65,65,25,256,32,2,0.002,0.0190794989466667,0.0668838694691658
66,66,25,256,32,4,0.002,0.0192233119159936,0.0715181082487106
67,67,25,256,32,8,0.002,0.0202194992452859,0.0743186324834823
68,68,25,256,64,1,0.002,0.0192756913602352,0.0653205811977386
69,69,25,256,64,2,0.002,0.0194689035415649,0.0646394565701484
70,70,25,256,64,4,0.002,0.0213494412600994,0.0677235573530197
71,71,25,256,64,8,0.002,0.0220302641391754,0.0735879763960838
72,72,50,64,16,1,0.002,0.0220107119530439,0.0566692687571048
73,73,50,64,16,2,0.002,0.0220536943525075,0.0568880066275596
74,74,50,64,16,4,0.002,0.021327530965209,0.0561812818050384
75,75,50,64,16,8,0.002,0.0209741704165935,0.0547874458134174
76,76,50,64,32,1,0.002,0.0219506882131099,0.057488165795803
77,77,50,64,32,2,0.002,0.0212862286716699,0.0575873367488384
78,78,50,64,32,4,0.002,0.0210657864809036,0.0553480461239814
79,79,50,64,32,8,0.002,0.0213221423327922,0.0541110523045063
80,80,50,64,64,1,0.002,0.0207302160561084,0.0576047785580158
81,81,50,64,64,2,0.002,0.0207467004656791,0.0578176490962505
82,82,50,64,64,4,0.002,0.021858736872673,0.0551215521991252
83,83,50,64,64,8,0.002,0.0218736492097377,0.0542946830391883
84,84,50,128,16,1,0.002,0.0199906509369611,0.0563292726874351
85,85,50,128,16,2,0.002,0.0207280404865741,0.0559297353029251
86,86,50,128,16,4,0.002,0.0213144719600677,0.0564429685473442
87,87,50,128,16,8,0.002,0.0229788459837436,0.0622620247304439
88,88,50,128,32,1,0.002,0.0203333925455808,0.0563233941793441
89,89,50,128,32,2,0.002,0.0219459850341081,0.0566747933626174
90,90,50,128,32,4,0.002,0.0216213706880807,0.0562051311135292
91,91,50,128,32,8,0.002,0.0217997580766677,0.054260279983282
92,92,50,128,64,1,0.002,0.0215875804424285,0.0565916411578655
93,93,50,128,64,2,0.002,0.0216499660164117,0.0565694086253643
94,94,50,128,64,4,0.002,0.0220791101455688,0.0553242899477481
95,95,50,128,64,8,0.002,0.0210343934595584,0.0550202466547489
96,96,50,256,16,1,0.002,0.0197871290147304,0.0613298043608665
97,97,50,256,16,2,0.002,0.0198834370821714,0.0643825903534889
98,98,50,256,16,4,0.002,0.0209963507950305,0.069654144346714
99,99,50,256,16,8,0.002,0.0209163203835487,0.0730979219079017
100,100,50,256,32,1,0.002,0.0202545225620269,0.0619037225842475
101,101,50,256,32,2,0.002,0.0210388712584972,0.0615479983389377
102,102,50,256,32,4,0.002,0.0203150026500225,0.0645396262407302
103,103,50,256,32,8,0.002,0.0199604276567697,0.0668747499585151
104,104,50,256,64,1,0.002,0.0208330657333135,0.0611797757446765
105,105,50,256,64,2,0.002,0.0204102266579866,0.0578523762524127
106,106,50,256,64,4,0.002,0.0210031326860189,0.0582113154232502
107,107,50,256,64,8,0.002,0.0196578372269868,0.0565347671508789
108,108,75,64,16,1,0.002,0.0216538365930318,0.0569160357117652
109,109,75,64,16,2,0.002,0.0221432596445083,0.0555053055286407
110,110,75,64,16,4,0.002,0.0219056569039821,0.0550970658659935
111,111,75,64,16,8,0.002,0.0216273386031389,0.0536529459059238
112,112,75,64,32,1,0.002,0.0213757138699293,0.0560611560940742
113,113,75,64,32,2,0.002,0.0217415243387222,0.0558352470397949
114,114,75,64,32,4,0.002,0.0215047746896743,0.0565254092216491
115,115,75,64,32,8,0.002,0.0220433287322521,0.0550078339874744
116,116,75,64,64,1,0.002,0.0218374170362949,0.0565581023693084
117,117,75,64,64,2,0.002,0.0218624137341976,0.0552873536944389
118,118,75,64,64,4,0.002,0.021893948316574,0.055539671331644
119,119,75,64,64,8,0.002,0.0213790256530046,0.0553305931389331
120,120,75,128,16,1,0.002,0.0211688708513975,0.0577099993824958
121,121,75,128,16,2,0.002,0.0203621871769428,0.0557318776845932
122,122,75,128,16,4,0.002,0.0217529963701963,0.0548289641737937
123,123,75,128,16,8,0.002,0.0217741355299949,0.0546112321317195
124,124,75,128,32,1,0.002,0.0201657284051179,0.0562644451856613
125,125,75,128,32,2,0.002,0.0211020968854427,0.0550971031188964
126,126,75,128,32,4,0.002,0.0224726311862468,0.055138986557722
127,127,75,128,32,8,0.002,0.0213364046066999,0.0546530820429325
128,128,75,128,64,1,0.002,0.0209518577903509,0.0553598515689373
129,129,75,128,64,2,0.002,0.0231505930423736,0.0553070120513439
130,130,75,128,64,4,0.002,0.0226601734757423,0.0547001510858535
131,131,75,128,64,8,0.002,0.0203926116228103,0.054368533194065
132,132,75,256,16,1,0.002,0.0205342657864093,0.0593433007597923
133,133,75,256,16,2,0.002,0.0206904746592044,0.06376663595438
134,134,75,256,16,4,0.002,0.0222210716456174,0.0662165805697441
135,135,75,256,16,8,0.002,0.02256147749722,0.0762828513979911
136,136,75,256,32,1,0.002,0.0212159771472215,0.0612902007997036
137,137,75,256,32,2,0.002,0.0210063382983207,0.0593301430344581
138,138,75,256,32,4,0.002,0.0192143600434064,0.0635751485824585
139,139,75,256,32,8,0.002,0.0209011677652597,0.0791308730840683
140,140,75,256,64,1,0.002,0.0211621075868606,0.0589331984519958
141,141,75,256,64,2,0.002,0.0198841840028762,0.0556306056678295
142,142,75,256,64,4,0.002,0.0198310799896717,0.0562505349516868
143,143,75,256,64,8,0.002,0.0183411110192537,0.0553488731384277
144,144,100,64,16,1,0.002,0.0218366421759128,0.0556400269269943
145,145,100,64,16,2,0.002,0.0217838175594806,0.0547867640852928
146,146,100,64,16,4,0.002,0.0218244306743145,0.0541175231337547
147,147,100,64,16,8,0.002,0.0211918056011199,0.0533822886645793
148,148,100,64,32,1,0.002,0.0223022755235433,0.0549852475523948
149,149,100,64,32,2,0.002,0.0221541784703731,0.0536294057965278
150,150,100,64,32,4,0.002,0.0214852634817361,0.0544907003641128
151,151,100,64,32,8,0.002,0.0208015851676464,0.0537181347608566
152,152,100,64,64,1,0.002,0.0221940651535987,0.0545393712818622
153,153,100,64,64,2,0.002,0.0218317955732345,0.0545224845409393
154,154,100,64,64,4,0.002,0.0214556492865085,0.0572639852762222
155,155,100,64,64,8,0.002,0.0205215364694595,0.054087083786726
156,156,100,128,16,1,0.002,0.0210898369550704,0.0554090552031993
