,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.04004056751728058,0.2001013904809952
1,10,64,16,2,0.002,0.04097146913409233,0.2024141103029251
2,10,64,16,4,0.002,0.0415593646466732,0.20386114716529846
3,10,64,16,8,0.002,0.042297549545764916,0.20566366612911224
4,10,64,32,1,0.002,0.04066212102770805,0.2016485035419464
5,10,64,32,2,0.002,0.041242029517889016,0.2030813544988632
6,10,64,32,4,0.002,0.04252225905656815,0.20620927214622495
7,10,64,32,8,0.002,0.043788865208625787,0.20925788581371307
8,10,64,64,1,0.002,0.04033300280570984,0.20083078742027285
9,10,64,64,2,0.002,0.041144151240587234,0.2028402239084244
10,10,64,64,4,0.002,0.043772313743829734,0.2092183381319046
11,10,64,64,8,0.002,0.04631214588880539,0.21520258486270905
12,10,128,16,1,0.002,0.037530165165662766,0.193727046251297
13,10,128,16,2,0.002,0.03925452008843422,0.19812752306461331
14,10,128,16,4,0.002,0.04103328287601471,0.2025667428970337
15,10,128,16,8,0.002,0.03944502398371697,0.19860771298408508
16,10,128,32,1,0.002,0.038357924669981,0.19585181772708893
17,10,128,32,2,0.002,0.04073179140686989,0.2018211930990219
18,10,128,32,4,0.002,0.042999546974897385,0.2073633372783661
19,10,128,32,8,0.002,0.0415305458009243,0.20379044115543365
20,10,128,64,1,0.002,0.03936963900923729,0.19841784238815308
21,10,128,64,2,0.002,0.0422830693423748,0.2056284546852112
22,10,128,64,4,0.002,0.04335169866681099,0.20821070671081546
23,10,128,64,8,0.002,0.042796365916728966,0.2068728357553482
24,10,256,16,1,0.002,0.028231393545866013,0.168022021651268
25,10,256,16,2,0.002,0.04057475179433823,0.2014317512512207
26,10,256,16,4,0.002,0.03928868845105171,0.19821375608444214
27,10,256,16,8,0.002,0.0359162911772728,0.18951593339443207
28,10,256,32,1,0.002,0.03853324055671692,0.19629886746406555
29,10,256,32,2,0.002,0.03940259665250778,0.1985008716583252
30,10,256,32,4,0.002,0.03970881178975105,0.19927069544792173
31,10,256,32,8,0.002,0.0401817299425602,0.20045383274555206
32,10,256,64,1,0.002,0.03670622035861015,0.19158868491649628
33,10,256,64,2,0.002,0.04053565859794617,0.2013347148895264
34,10,256,64,4,0.002,0.04080861061811447,0.20201142132282254
35,10,256,64,8,0.002,0.04333391040563584,0.20816797018051147
36,25,64,16,1,0.002,0.04139609262347221,0.20346032083034515
37,25,64,16,2,0.002,0.04241577535867691,0.20595090091228485
38,25,64,16,4,0.002,0.043435335159301765,0.20841145515441892
39,25,64,16,8,0.002,0.04297581687569618,0.20730610191822046
40,25,64,32,1,0.002,0.04201334342360497,0.2049715518951416
41,25,64,32,2,0.002,0.04338764026761055,0.2082969844341278
42,25,64,32,4,0.002,0.04404378309845925,0.20986610651016235
43,25,64,32,8,0.002,0.04472136497497559,0.2114742696285248
44,25,64,64,1,0.002,0.04250776395201683,0.2061741054058075
45,25,64,64,2,0.002,0.04357687011361122,0.20875073969364166
46,25,64,64,4,0.002,0.04517585039138794,0.21254611015319824
47,25,64,64,8,0.002,0.04383433610200882,0.20936650037765506
48,25,128,16,1,0.002,0.04057902842760086,0.2014423906803131
49,25,128,16,2,0.002,0.04139367863535881,0.2034543603658676
50,25,128,16,4,0.002,0.04133730009198189,0.20331576466560364
51,25,128,16,8,0.002,0.042536720633506775,0.2062443196773529
52,25,128,32,1,0.002,0.04102804139256477,0.20255379378795624
53,25,128,32,2,0.002,0.04170811548829079,0.2042256593704224
54,25,128,32,4,0.002,0.04190719872713089,0.20471248030662534
55,25,128,32,8,0.002,0.045238815248012536,0.2126941680908203
56,25,128,64,1,0.002,0.04136046022176743,0.20337271690368647
57,25,128,64,2,0.002,0.04184320569038391,0.20455612242221832
58,25,128,64,4,0.002,0.044169601052999496,0.21016564965248108
59,25,128,64,8,0.002,0.045271757990121834,0.21277160942554474
60,25,256,16,1,0.002,0.039221204817295074,0.1980434358119965
61,25,256,16,2,0.002,0.041373271495103836,0.2034042328596115
62,25,256,16,4,0.002,0.04202806949615479,0.2050074934959412
63,25,256,16,8,0.002,0.04245347529649735,0.20604240894317627
64,25,256,32,1,0.002,0.03980400785803795,0.1995094120502472
65,25,256,32,2,0.002,0.041959717869758606,0.2048407196998596
66,25,256,32,4,0.002,0.04293251410126686,0.2072016149759293
67,25,256,32,8,0.002,0.04234108328819275,0.20576949417591092
68,25,256,64,1,0.002,0.040403962135314934,0.20100736618041992
69,25,256,64,2,0.002,0.041944026947021484,0.20480242371559146
70,25,256,64,4,0.002,0.04334116354584694,0.20818540453910828
71,25,256,64,8,0.002,0.04334847256541252,0.20820295810699466
72,50,64,16,1,0.002,0.04119813069701195,0.20297320187091827
73,50,64,16,2,0.002,0.04259344935417175,0.20638179779052732
74,50,64,16,4,0.002,0.04207409918308258,0.20511971414089206
75,50,64,16,8,0.002,0.042350176721811295,0.20579157769680026
76,50,64,32,1,0.002,0.04198070615530014,0.20489194989204407
77,50,64,32,2,0.002,0.042654089629650116,0.2065286636352539
78,50,64,32,4,0.002,0.04159016162157059,0.20393666625022888
79,50,64,32,8,0.002,0.04125601053237915,0.2031157612800598
80,50,64,64,1,0.002,0.04255713894963265,0.20629382133483887
81,50,64,64,2,0.002,0.04186490550637245,0.20460915565490725
82,50,64,64,4,0.002,0.04154734313488007,0.20383165776729584
