,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.032468345016241074,0.18018974363803866
1,1,10,64,16,2,0.002,0.031165121123194695,0.1765364557504654
2,2,10,64,16,4,0.002,0.0321689136326313,0.17935696244239807
3,3,10,64,16,8,0.002,0.03361091390252113,0.1833328008651733
4,4,10,64,32,1,0.002,0.032966408878564835,0.1815665364265442
5,5,10,64,32,2,0.002,0.03441147133708,0.185503289103508
6,6,10,64,32,4,0.002,0.034658383578062064,0.1861676275730133
7,7,10,64,32,8,0.002,0.03494128957390785,0.18692588806152344
8,8,10,64,64,1,0.002,0.032453518360853195,0.1801486015319824
9,9,10,64,64,2,0.002,0.034498047083616264,0.1857365220785141
10,10,10,64,64,4,0.002,0.033632226288318634,0.1833909302949905
11,11,10,64,64,8,0.002,0.03475436568260193,0.18642522394657132
12,12,10,128,16,1,0.002,0.0300630871206522,0.1733870953321457
13,13,10,128,16,2,0.002,0.031262170523405075,0.1768111139535904
14,14,10,128,16,4,0.002,0.032019097357988364,0.17893880605697632
15,15,10,128,16,8,0.002,0.026307107880711555,0.16219468414783478
16,16,10,128,32,1,0.002,0.03171990066766739,0.1781008094549179
17,17,10,128,32,2,0.002,0.03331322968006134,0.18251913785934448
18,18,10,128,32,4,0.002,0.031348779797554016,0.17705586552619934
19,19,10,128,32,8,0.002,0.031231218948960308,0.17672356963157654
20,20,10,128,64,1,0.002,0.032019007951021194,0.17893855273723602
21,21,10,128,64,2,0.002,0.03313504159450531,0.1820303350687027
22,22,10,128,64,4,0.002,0.03330131247639656,0.1824864745140076
23,23,10,128,64,8,0.002,0.032052189111709595,0.17903125286102295
24,24,10,256,16,1,0.002,0.02726280502974987,0.16511452198028564
25,25,10,256,16,2,0.002,0.030648959800601006,0.1750684529542923
26,26,10,256,16,4,0.002,0.02672094665467739,0.1634654402732849
27,27,10,256,16,8,0.002,0.026729108765721318,0.1634904444217682
28,28,10,256,32,1,0.002,0.03101854771375656,0.1761208325624466
29,29,10,256,32,2,0.002,0.03132344037294388,0.17698431015014648
30,30,10,256,32,4,0.002,0.03127134218811989,0.17683705687522888
31,31,10,256,32,8,0.002,0.02632887475192547,0.1622617393732071
32,32,10,256,64,1,0.002,0.0305069200694561,0.1746623069047928
33,33,10,256,64,2,0.002,0.03204621002078056,0.17901454865932465
34,34,10,256,64,4,0.002,0.032824542373418815,0.18117544054985046
35,35,10,256,64,8,0.002,0.031844504177570336,0.17845028638839722
36,36,25,64,16,1,0.002,0.03366972878575325,0.18349313735961914
37,37,25,64,16,2,0.002,0.034989360719919205,0.1870544254779816
38,38,25,64,16,4,0.002,0.03775593265891075,0.1943088471889496
39,39,25,64,16,8,0.002,0.0386347621679306,0.19655726850032806
40,40,25,64,32,1,0.002,0.03666872903704643,0.19149082899093628
41,41,25,64,32,2,0.002,0.0372011661529541,0.1928760409355164
42,42,25,64,32,4,0.002,0.038558479398489,0.19636313617229464
43,43,25,64,32,8,0.002,0.03869672492146492,0.1967148333787918
44,44,25,64,64,1,0.002,0.036502350121736526,0.19105587899684906
45,45,25,64,64,2,0.002,0.03843758255243301,0.19605503976345065
46,46,25,64,64,4,0.002,0.03766264393925667,0.19406867027282715
47,47,25,64,64,8,0.002,0.03814371302723885,0.19530415534973145
48,48,25,128,16,1,0.002,0.03299131616950035,0.18163511157035828
49,49,25,128,16,2,0.002,0.034117061644792564,0.18470804393291476
50,50,25,128,16,4,0.002,0.03641393408179283,0.19082435965538025
