,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.028880177065730095,0.16994163393974304
1,10,64,16,2,0.002,0.028577715158462524,0.16904941201210022
2,10,64,16,4,0.002,0.02789532206952572,0.16701893508434296
3,10,64,16,8,0.002,0.02751617692410946,0.165880024433136
4,10,64,32,1,0.002,0.028377451002597812,0.1684560924768448
5,10,64,32,2,0.002,0.027784015983343124,0.16668541729450226
6,10,64,32,4,0.002,0.027847588062286373,0.1668759286403656
7,10,64,32,8,0.002,0.027013443410396576,0.16435767710208893
8,10,64,64,1,0.002,0.028204681351780888,0.16794249415397644
9,10,64,64,2,0.002,0.027029655873775482,0.16440695524215698
10,10,64,64,4,0.002,0.027301959693431854,0.16523300111293793
11,10,64,64,8,0.002,0.02727983705699444,0.16516609489917755
12,10,128,16,1,0.002,0.02954017743468285,0.17187254130840302
13,10,128,16,2,0.002,0.029867831617593762,0.17282308638095856
14,10,128,16,4,0.002,0.028891215100884438,0.16997414827346802
15,10,128,16,8,0.002,0.02827513962984085,0.16815213859081268
16,10,128,32,1,0.002,0.029789648950099945,0.1725967824459076
17,10,128,32,2,0.002,0.02910871803760529,0.17061276733875275
18,10,128,32,4,0.002,0.02883365750312805,0.16980475187301636
19,10,128,32,8,0.002,0.027249010279774662,0.1650727093219757
20,10,128,64,1,0.002,0.02887427806854248,0.16992433369159698
21,10,128,64,2,0.002,0.02891770377755165,0.17005206644535065
22,10,128,64,4,0.002,0.028733661398291588,0.16951005160808566
23,10,128,64,8,0.002,0.028353035449981686,0.16838359832763672
24,10,256,16,1,0.002,0.026363151147961617,0.1623673290014267
25,10,256,16,2,0.002,0.028568647801876068,0.16902266442775726
26,10,256,16,4,0.002,0.030447134748101238,0.17449107766151428
27,10,256,16,8,0.002,0.02864574827253818,0.16925056278705594
28,10,256,32,1,0.002,0.02770155668258667,0.16643783450126648
29,10,256,32,2,0.002,0.028977317735552788,0.17022724449634552
