,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.0324387401342392,0.18010757863521576
1,10,64,16,2,0.002,0.033274475485086434,0.18241292238235474
2,10,64,16,4,0.002,0.03267977759242058,0.1807754933834076
3,10,64,16,8,0.002,0.032745584845542915,0.18095743656158447
4,10,64,32,1,0.002,0.032791756093502045,0.18108493089675906
5,10,64,32,2,0.002,0.03334088996052742,0.18259489536285398
6,10,64,32,4,0.002,0.03305057808756828,0.1817982047796249
7,10,64,32,8,0.002,0.03529861941933632,0.1878792643547058
8,10,64,64,1,0.002,0.033183708786964417,0.18216396868228912
9,10,64,64,2,0.002,0.03226212412118912,0.17961661517620087
10,10,64,64,4,0.002,0.03563683107495308,0.18877719342708588
11,10,64,64,8,0.002,0.03460054099559784,0.18601220846176147
12,10,128,16,1,0.002,0.03129754215478897,0.1769111156463623
13,10,128,16,2,0.002,0.03326624631881714,0.18239036202430725
14,10,128,16,4,0.002,0.033891402184963226,0.18409617245197296
15,10,128,16,8,0.002,0.032759033143520355,0.18099455535411835
16,10,128,32,1,0.002,0.03275342285633087,0.18097907304763794
17,10,128,32,2,0.002,0.03361427038908005,0.1833419501781464
18,10,128,32,4,0.002,0.0344243198633194,0.1855379045009613
19,10,128,32,8,0.002,0.032952930778265,0.18152941763401031
20,10,128,64,1,0.002,0.033053025603294366,0.18180491030216214
21,10,128,64,2,0.002,0.03395330160856247,0.184264212846756
22,10,128,64,4,0.002,0.03223245218396187,0.1795339733362198
23,10,128,64,8,0.002,0.03332257270812988,0.18254470825195312
24,10,256,16,1,0.002,0.029512608423829082,0.17179232835769653
25,10,256,16,2,0.002,0.03089928813278675,0.1757819503545761
26,10,256,16,4,0.002,0.03250453248620033,0.1802901327610016
27,10,256,16,8,0.002,0.031485460698604584,0.17744141817092896
28,10,256,32,1,0.002,0.031514987349510186,0.1775246113538742
29,10,256,32,2,0.002,0.03298942372202873,0.1816299259662628
30,10,256,32,4,0.002,0.033495035022497184,0.18301647901535034
31,10,256,32,8,0.002,0.03497743606567383,0.18702255189418796
32,10,256,64,1,0.002,0.032293595373630524,0.1797041893005371
33,10,256,64,2,0.002,0.03332781419157982,0.182559072971344
34,10,256,64,4,0.002,0.03373758867383003,0.18367794156074524
