,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.03210263326764107,0.17917200922966006
1,1,10,64,16,2,0.002,0.03263884037733078,0.180662214756012
2,2,10,64,16,4,0.002,0.0301884301006794,0.1737481653690338
3,3,10,64,16,8,0.002,0.02906236983835697,0.17047692835330966
4,4,10,64,32,1,0.002,0.032447826117277145,0.18013280630111694
5,5,10,64,32,2,0.002,0.03508999198675156,0.18732327222824094
6,6,10,64,32,4,0.002,0.035123296082019806,0.18741212785243988
7,7,10,64,32,8,0.002,0.030707823112607,0.1752365380525589
8,8,10,64,64,1,0.002,0.03382999077439308,0.18392935395240784
9,9,10,64,64,2,0.002,0.037117917090654366,0.1926601231098175
10,10,10,64,64,4,0.002,0.03639208897948265,0.1907671093940735
11,11,10,64,64,8,0.002,0.032940838485956185,0.18149608373641968
12,12,10,128,16,1,0.002,0.029426060616970062,0.17154017090797424
13,13,10,128,16,2,0.002,0.031208641827106483,0.17665964365005493
14,14,10,128,16,4,0.002,0.029939699918031693,0.17303095757961273
15,15,10,128,16,8,0.002,0.02561608143150806,0.16005033254623413
16,16,10,128,32,1,0.002,0.031202755868434906,0.1766429841518402
17,17,10,128,32,2,0.002,0.0321357287466526,0.17926442623138428
18,18,10,128,32,4,0.002,0.032775823026895516,0.1810409128665924
19,19,10,128,32,8,0.002,0.025334401056170464,0.15916776657104492
20,20,10,128,64,1,0.002,0.03142707794904709,0.17727679014205933
21,21,10,128,64,2,0.002,0.03403976559638977,0.18449877202510834
22,22,10,128,64,4,0.002,0.03790667653083801,0.19469630718231198
23,23,10,128,64,8,0.002,0.029617603868246082,0.17209766805171967
24,24,10,256,16,1,0.002,0.02785197645425796,0.16688910126686096
25,25,10,256,16,2,0.002,0.028354121372103688,0.16838683187961578
26,26,10,256,16,4,0.002,0.02679501473903656,0.1636918932199478
27,27,10,256,16,8,0.002,0.027658967301249504,0.16630993783473969
28,28,10,256,32,1,0.002,0.027173470705747604,0.16484379768371582
29,29,10,256,32,2,0.002,0.029363067820668217,0.17135654389858246
30,30,10,256,32,4,0.002,0.030332187190651894,0.17416135966777802
31,31,10,256,32,8,0.002,0.0262712836265564,0.16208423674106598
32,32,10,256,64,1,0.002,0.02920103631913662,0.17088304460048676
33,33,10,256,64,2,0.002,0.030124777927994725,0.1735648661851883
34,34,10,256,64,4,0.002,0.030516348779201508,0.17468932271003726
35,35,10,256,64,8,0.002,0.025965770706534386,0.16113901138305664
36,36,25,64,16,1,0.002,0.03493775054812431,0.18691642582416532
37,37,25,64,16,2,0.002,0.0363834984600544,0.1907445937395096
38,38,25,64,16,4,0.002,0.03615634888410568,0.19014814496040344
39,39,25,64,16,8,0.002,0.0339701883494854,0.18431003391742706
40,40,25,64,32,1,0.002,0.03464887663722038,0.18614205718040466
41,41,25,64,32,2,0.002,0.036389045417308814,0.1907591223716736
42,42,25,64,32,4,0.002,0.035964619368314736,0.18964341282844546
43,43,25,64,32,8,0.002,0.03269901126623154,0.18082863092422485
44,44,25,64,64,1,0.002,0.037232350558042526,0.1929568648338318
45,45,25,64,64,2,0.002,0.039101559668779366,0.19774112105369568
46,46,25,64,64,4,0.002,0.038346931338310235,0.19582369923591614
47,47,25,64,64,8,0.002,0.0347016341984272,0.18628378212451932
48,48,25,128,16,1,0.002,0.03460880368947983,0.18603438138961792
49,49,25,128,16,2,0.002,0.03429098427295685,0.1851782649755478
50,50,25,128,16,4,0.002,0.03358519822359085,0.1832626760005951
51,51,25,128,16,8,0.002,0.029526587575674057,0.17183302342891693
52,52,25,128,32,1,0.002,0.03400760889053345,0.18441155552864075
53,53,25,128,32,2,0.002,0.036186087876558304,0.19022640585899356
54,54,25,128,32,4,0.002,0.03521256148815155,0.18765008449554446
55,55,25,128,32,8,0.002,0.030582943931221962,0.1748797446489334
56,56,25,128,64,1,0.002,0.03488745167851448,0.18678180873394007
57,57,25,128,64,2,0.002,0.038308143615722656,0.19572463631629944
58,58,25,128,64,4,0.002,0.03836353123188019,0.19586613774299624
59,59,25,128,64,8,0.002,0.0330691821873188,0.18184933066368106
60,60,25,256,16,1,0.002,0.027911016717553142,0.16706593334674835
61,61,25,256,16,2,0.002,0.031484439969062805,0.17743848264217374
62,62,25,256,16,4,0.002,0.03331486135721207,0.18252356350421906
63,63,25,256,16,8,0.002,0.02600705437362194,0.16126711666584015
64,64,25,256,32,1,0.002,0.03169868886470795,0.1780412495136261
65,65,25,256,32,2,0.002,0.03258378431200981,0.1805097758769989
66,66,25,256,32,4,0.002,0.032630544155836105,0.18063925206661224
67,67,25,256,32,8,0.002,0.02572585828602314,0.16039279103279114
68,68,25,256,64,1,0.002,0.03147600218653679,0.17741481959819794
69,69,25,256,64,2,0.002,0.0332707017660141,0.1824026256799698
70,70,25,256,64,4,0.002,0.03604615479707718,0.18985824286937714
71,71,25,256,64,8,0.002,0.028609879314899445,0.16914448142051694
72,72,50,64,16,1,0.002,0.03299940004944801,0.18165738880634308
73,73,50,64,16,2,0.002,0.031930238008499146,0.1786903440952301
74,74,50,64,16,4,0.002,0.0298774391412735,0.17285090684890747
75,75,50,64,16,8,0.002,0.030762331560254094,0.17539195716381073
76,76,50,64,32,1,0.002,0.030967248603701588,0.17597511410713196
77,77,50,64,32,2,0.002,0.030590027570724487,0.17490006983280182
78,78,50,64,32,4,0.002,0.03129969537258148,0.1769171953201294
79,79,50,64,32,8,0.002,0.031628262251615524,0.1778433471918106
80,80,50,64,64,1,0.002,0.031077342107892036,0.17628763616085052
81,81,50,64,64,2,0.002,0.03084433637559414,0.17562560737133026
82,82,50,64,64,4,0.002,0.029414923861622814,0.1715077906847
83,83,50,64,64,8,0.002,0.03282764181494713,0.18118390440940854
84,84,50,128,16,1,0.002,0.03658904507756233,0.19128267467021945
85,85,50,128,16,2,0.002,0.0372382216155529,0.1929720789194107
86,86,50,128,16,4,0.002,0.033154387027025216,0.1820834130048752
87,87,50,128,16,8,0.002,0.02966000884771347,0.17222073674201965
88,88,50,128,32,1,0.002,0.038607418537139886,0.1964877396821976
89,89,50,128,32,2,0.002,0.03770597279071808,0.19418029487133026
90,90,50,128,32,4,0.002,0.032709576189517975,0.180857926607132
91,91,50,128,32,8,0.002,0.03008156456053257,0.17344045639038086
92,92,50,128,64,1,0.002,0.03834278509020805,0.1958131045103073
93,93,50,128,64,2,0.002,0.040117193013429635,0.20029275119304654
94,94,50,128,64,4,0.002,0.031449027359485626,0.17733876407146454
95,95,50,128,64,8,0.002,0.03087023459374905,0.17569929361343384
96,96,50,256,16,1,0.002,0.03245048224925995,0.1801401674747467
97,97,50,256,16,2,0.002,0.03510509431362152,0.18736353516578674
98,98,50,256,16,4,0.002,0.031374141573905945,0.17712752521038055
99,99,50,256,16,8,0.002,0.029935300350189212,0.17301815748214722
100,100,50,256,32,1,0.002,0.03532267361879349,0.18794330954551694
101,101,50,256,32,2,0.002,0.03846879675984383,0.19613464176654816
102,102,50,256,32,4,0.002,0.037516538053750985,0.19369181990623474
103,103,50,256,32,8,0.002,0.029868256300687786,0.17282436788082126
104,104,50,256,64,1,0.002,0.03615453466773033,0.19014345109462735
105,105,50,256,64,2,0.002,0.04307012632489205,0.20753343403339386
106,106,50,256,64,4,0.002,0.041929941624403,0.2047680616378784
107,107,50,256,64,8,0.002,0.02991557493805885,0.1729612648487091
108,108,75,64,16,1,0.002,0.030801629647612568,0.17550386488437653
109,109,75,64,16,2,0.002,0.030914880335330963,0.175826296210289
110,110,75,64,16,4,0.002,0.03401990607380867,0.18444488942623136
111,111,75,64,16,8,0.002,0.031057635322213176,0.1762317270040512
112,112,75,64,32,1,0.002,0.03166748955845833,0.17795364558696747
113,113,75,64,32,2,0.002,0.030931584537029263,0.1758737862110138
114,114,75,64,32,4,0.002,0.031595662236213684,0.17775167524814606
115,115,75,64,32,8,0.002,0.03109179437160492,0.17632870376110074
116,116,75,64,64,1,0.002,0.032126910984516144,0.17923985421657562
117,117,75,64,64,2,0.002,0.02922501228749752,0.17095325887203214
118,118,75,64,64,4,0.002,0.02865833416581154,0.16928774118423462
119,119,75,64,64,8,0.002,0.02894853428006172,0.17014260590076447
120,120,75,128,16,1,0.002,0.03361814096570015,0.1833525598049164
121,121,75,128,16,2,0.002,0.030699694529175762,0.1752132922410965
122,122,75,128,16,4,0.002,0.03266877681016922,0.18074500560760495
123,123,75,128,16,8,0.002,0.03146946057677269,0.17739634215831754
124,124,75,128,32,1,0.002,0.030499955639243126,0.1746423840522766
125,125,75,128,32,2,0.002,0.03325452283024788,0.1823582351207733
126,126,75,128,32,4,0.002,0.030745381489396095,0.17534366250038147
127,127,75,128,32,8,0.002,0.03156750276684761,0.17767246067523956
128,128,75,128,64,1,0.002,0.033084988594055176,0.18189279735088348
129,129,75,128,64,2,0.002,0.032114505767822266,0.17920522391796112
130,130,75,128,64,4,0.002,0.030850913375616074,0.17564424872398374
131,131,75,128,64,8,0.002,0.0336373969912529,0.1834049224853516
132,132,75,256,16,1,0.002,0.03329212963581085,0.1824613064527512
133,133,75,256,16,2,0.002,0.03519851714372635,0.18761268258094788
134,134,75,256,16,4,0.002,0.03351755067706108,0.18307800590991974
135,135,75,256,16,8,0.002,0.030560063198208812,0.1748143434524536
136,136,75,256,32,1,0.002,0.03427668660879135,0.18513961136341092
137,137,75,256,32,2,0.002,0.03546902909874916,0.1883322894573212
138,138,75,256,32,4,0.002,0.03436899185180664,0.18538875877857208
139,139,75,256,32,8,0.002,0.032350167632102966,0.17986156046390533
140,140,75,256,64,1,0.002,0.03479643166065216,0.1865379810333252
141,141,75,256,64,2,0.002,0.03608914092183113,0.189971387386322
142,142,75,256,64,4,0.002,0.03475552052259445,0.1864282786846161
143,143,75,256,64,8,0.002,0.03400631248950958,0.18440797924995425
144,144,100,64,16,1,0.002,0.02946530096232891,0.17165455222129822
145,145,100,64,16,2,0.002,0.029708562418818474,0.17236165702342987
146,146,100,64,16,4,0.002,0.032893430441617966,0.1813654750585556
147,147,100,64,16,8,0.002,0.030735336244106293,0.17531496286392212
148,148,100,64,32,1,0.002,0.03054574690759182,0.17477336525917053
149,149,100,64,32,2,0.002,0.03164884075522423,0.1779012382030487
150,150,100,64,32,4,0.002,0.029773661866784092,0.1725504845380783
151,151,100,64,32,8,0.002,0.02925962395966053,0.17105445265769958
152,152,100,64,64,1,0.002,0.030335955321788788,0.17417223751544952
153,153,100,64,64,2,0.002,0.029877888038754463,0.1728523075580597
154,154,100,64,64,4,0.002,0.031116755679249763,0.17639940977096558
155,155,100,64,64,8,0.002,0.031331319361925125,0.1770065724849701
156,156,100,128,16,1,0.002,0.0331757478415966,0.18214207887649536
157,157,100,128,16,2,0.002,0.0304100438952446,0.17438480257987976
158,158,100,128,16,4,0.002,0.029606591910123825,0.17206569015979767
159,159,100,128,16,8,0.002,0.02740916982293129,0.1655571609735489
160,160,100,128,32,1,0.002,0.030514815822243687,0.17468491196632385
161,161,100,128,32,2,0.002,0.033664751797914505,0.18347957730293274
162,162,100,128,32,4,0.002,0.029184946790337563,0.17083598673343658
163,163,100,128,32,8,0.002,0.03159596025943756,0.1777525097131729
164,164,100,128,64,1,0.002,0.030256809666752812,0.1739448606967926
165,165,100,128,64,2,0.002,0.030189050361514088,0.17374996840953827
166,166,100,128,64,4,0.002,0.03190132603049278,0.17860949039459229
167,167,100,128,64,8,0.002,0.02754372730851173,0.16596302390098572
168,168,100,256,16,1,0.002,0.031711623072624213,0.1780775487422943
169,169,100,256,16,2,0.002,0.03312869369983673,0.1820129007101059
170,170,100,256,16,4,0.002,0.029805488884449005,0.17264263331890106
171,171,100,256,16,8,0.002,0.029358670115470886,0.17134369909763336
172,172,100,256,32,1,0.002,0.03256899118423462,0.1804688572883606
173,173,100,256,32,2,0.002,0.033531226217746735,0.1831154227256775
174,174,100,256,32,4,0.002,0.03168417140841484,0.17800046503543854
175,175,100,256,32,8,0.002,0.03086446225643158,0.17568285763263702
176,176,100,256,64,1,0.002,0.032286804169416435,0.1796853095293045
177,177,100,256,64,2,0.002,0.03313861414790153,0.18204011023044586
178,178,100,256,64,4,0.002,0.03092560730874538,0.17585672438144684
179,179,100,256,64,8,0.002,0.03010592795908451,0.1735106110572815
0,0,10,64,16,1,0.001,0.02862949296832085,0.1692025065422058
1,1,10,64,16,2,0.001,0.031902395188808434,0.1786123663187027
2,2,10,64,16,4,0.001,0.030275855213403705,0.17399951815605166
3,3,10,64,16,8,0.001,0.028584135696291924,0.16906839609146118
4,4,10,64,32,1,0.001,0.030884908512234688,0.17574097216129306
5,5,10,64,32,2,0.001,0.03232376649975777,0.17978806793689728
6,6,10,64,32,4,0.001,0.034473396837711334,0.18567012250423431
7,7,10,64,32,8,0.001,0.029150482267141342,0.17073507606983185
8,8,10,64,64,1,0.001,0.03167469054460525,0.17797383666038513
9,9,10,64,64,2,0.001,0.033902179449796684,0.18412543833255768
10,10,10,64,64,4,0.001,0.0363435335457325,0.19063979387283325
11,11,10,64,64,8,0.001,0.03110919892787933,0.17637796700000766
12,12,10,128,16,1,0.001,0.02763521671295166,0.1662384420633316
13,13,10,128,16,2,0.001,0.0287025086581707,0.16941820085048676
14,14,10,128,16,4,0.001,0.026702653616666797,0.16340944170951846
15,15,10,128,16,8,0.001,0.026757065206766132,0.1635758876800537
16,16,10,128,32,1,0.001,0.028566574677824974,0.16901645064353946
17,17,10,128,32,2,0.001,0.029973268508911133,0.17312783002853396
18,18,10,128,32,4,0.001,0.02998274751007557,0.173155277967453
19,19,10,128,32,8,0.001,0.025923462584614757,0.1610075831413269
20,20,10,128,64,1,0.001,0.028966575860977176,0.17019568383693695
21,21,10,128,64,2,0.001,0.030540052801370617,0.17475703358650208
22,22,10,128,64,4,0.001,0.03086550161242485,0.1756858378648758
23,23,10,128,64,8,0.001,0.026166722178459167,0.16176123917102814
24,24,10,256,16,1,0.001,0.02970737032592297,0.17235828936100006
25,25,10,256,16,2,0.001,0.030243096873164173,0.17390544712543488
26,26,10,256,16,4,0.001,0.0307492483407259,0.17535462975502014
27,27,10,256,16,8,0.001,0.030713651329278942,0.17525316774845126
28,28,10,256,32,1,0.001,0.028814194723963737,0.16974730789661407
29,29,10,256,32,2,0.001,0.02862418256700039,0.16918684542179108
30,30,10,256,32,4,0.001,0.028779931366443638,0.16964656114578247
31,31,10,256,32,8,0.001,0.028973352164030075,0.17021560668945312
32,32,10,256,64,1,0.001,0.027960648760199547,0.16721437871456146
33,33,10,256,64,2,0.001,0.02930575422942638,0.17118923366069794
34,34,10,256,64,4,0.001,0.030522329732775688,0.17470644414424896
35,35,10,256,64,8,0.001,0.0272030346095562,0.16493341326713562
36,36,25,64,16,1,0.001,0.03266815096139908,0.1807432919740677
37,37,25,64,16,2,0.001,0.0345025360584259,0.18574856221675876
38,38,25,64,16,4,0.001,0.03570931404829025,0.18896907567977905
39,39,25,64,16,8,0.001,0.030315453186631206,0.17411336302757266
40,40,25,64,32,1,0.001,0.03373558446764946,0.18367250263690948
41,41,25,64,32,2,0.001,0.035056859254837036,0.1872347742319107
42,42,25,64,32,4,0.001,0.03732044622302056,0.1931850016117096
43,43,25,64,32,8,0.001,0.032485418021678925,0.18023712933063507
44,44,25,64,64,1,0.001,0.03450394794344902,0.1857523322105408
45,45,25,64,64,2,0.001,0.03669935464859009,0.19157074391841888
46,46,25,64,64,4,0.001,0.0381123311817646,0.19522379338741305
47,47,25,64,64,8,0.001,0.03382579237222672,0.1839178502559662
