,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.018897190690040592,0.13746705651283264
1,10,64,16,2,0.002,0.019382240250706676,0.13922010362148285
2,10,64,16,4,0.002,0.020312832668423653,0.14252309501171112
3,10,64,16,8,0.002,0.020982403308153152,0.14485304057598114
4,10,64,32,1,0.002,0.019161643460392952,0.13842558860778809
5,10,64,32,2,0.002,0.02002392895519733,0.14150592684745789
6,10,64,32,4,0.002,0.020341627299785614,0.14262406527996066
7,10,64,32,8,0.002,0.021352948620915413,0.14612646400928495
8,10,64,64,1,0.002,0.01942292042076588,0.13936612010002136
9,10,64,64,2,0.002,0.02014182321727276,0.14192189276218414
10,10,64,64,4,0.002,0.02057522535324097,0.14344067871570587
11,10,64,64,8,0.002,0.023572586476802826,0.15353365242481232
12,10,128,16,1,0.002,0.019180767238140103,0.13849464058876038
13,10,128,16,2,0.002,0.018450915813446045,0.13583415746688846
14,10,128,16,4,0.002,0.019272351637482643,0.13882489502429962
15,10,128,16,8,0.002,0.019244639202952385,0.13872504234313965
16,10,128,32,1,0.002,0.01888787373900413,0.13743315637111664
17,10,128,32,2,0.002,0.018747508525848392,0.13692155480384827
18,10,128,32,4,0.002,0.020094163715839386,0.14175386726856232
19,10,128,32,8,0.002,0.020487789064645767,0.14313556253910065
20,10,128,64,1,0.002,0.01867653802037239,0.13666212558746338
21,10,128,64,2,0.002,0.019651705399155617,0.14018453657627106
22,10,128,64,4,0.002,0.020632175728678703,0.14363905787467954
23,10,128,64,8,0.002,0.020399879664182663,0.14282815158367154
24,10,256,16,1,0.002,0.02274381369352341,0.15081052482128146
25,10,256,16,2,0.002,0.019920134916901592,0.1411387175321579
26,10,256,16,4,0.002,0.01895097829401493,0.13766254484653473
27,10,256,16,8,0.002,0.02050409466028213,0.14319249987602234
28,10,256,32,1,0.002,0.020456474274396896,0.14302614331245422
29,10,256,32,2,0.002,0.0187786016613245,0.13703502714633942
30,10,256,32,4,0.002,0.019761495292186737,0.1405755877494812
31,10,256,32,8,0.002,0.02035186067223549,0.14265994727611542
32,10,256,64,1,0.002,0.01971663162112236,0.14041592180728912
33,10,256,64,2,0.002,0.01941272243857384,0.13932955265045166
34,10,256,64,4,0.002,0.01866604760289192,0.13662375509738922
35,10,256,64,8,0.002,0.02268155850470066,0.1506039798259735
36,25,64,16,1,0.002,0.01999016106128693,0.14138655364513394
37,25,64,16,2,0.002,0.020275838673114777,0.14239324629306793
38,25,64,16,4,0.002,0.02073889970779419,0.14401008188724518
39,25,64,16,8,0.002,0.02146651037037373,0.14651454985141754
40,25,64,32,1,0.002,0.020095787942409515,0.14175960421562195
41,25,64,32,2,0.002,0.02047402411699295,0.1430874764919281
42,25,64,32,4,0.002,0.02156371809542179,0.14684589207172394
43,25,64,32,8,0.002,0.021119600161910057,0.14532585442066193
44,25,64,64,1,0.002,0.0203131902962923,0.1425243467092514
45,25,64,64,2,0.002,0.020934948697686195,0.14468914270401
46,25,64,64,4,0.002,0.02135879546403885,0.1461464911699295
47,25,64,64,8,0.002,0.02133151888847351,0.14605313539505005
48,25,128,16,1,0.002,0.019072338938713074,0.13810263574123385
49,25,128,16,2,0.002,0.01977657154202461,0.14062920212745667
50,25,128,16,4,0.002,0.01970139518380165,0.14036165177822113
51,25,128,16,8,0.002,0.02083942852914333,0.14435867965221405
52,25,128,32,1,0.002,0.019553259015083316,0.1398329734802246
53,25,128,32,2,0.002,0.019738869741559032,0.14049507677555084
