,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
0,0,10,64,16,1,0.002,0.01983199268579483,0.14082610607147214
1,1,10,64,16,2,0.002,0.0198565162718296,0.14091314375400546
2,2,10,64,16,4,0.002,0.02075328677892685,0.14405998587608335
3,3,10,64,16,8,0.002,0.024607129395008087,0.15686659514904022
4,4,10,64,32,1,0.002,0.01994526945054531,0.14122772216796875
5,5,10,64,32,2,0.002,0.020535599440336227,0.14330248534679413
6,6,10,64,32,4,0.002,0.021441666409373283,0.14642973244190216
7,7,10,64,32,8,0.002,0.024049656465649605,0.15507952868938446
8,8,10,64,64,1,0.002,0.01989114098250866,0.14103592932224274
9,9,10,64,64,2,0.002,0.0207122266292572,0.14391742646694186
10,10,10,64,64,4,0.002,0.022367063909769055,0.1495562344789505
11,11,10,64,64,8,0.002,0.026283089071512226,0.16212061047554016
12,12,10,128,16,1,0.002,0.02207501232624054,0.14857661724090576
13,13,10,128,16,2,0.002,0.021824339404702187,0.14773063361644745
14,14,10,128,16,4,0.002,0.021586336195468903,0.14692288637161255
15,15,10,128,16,8,0.002,0.021031497046351436,0.1450224071741104
16,16,10,128,32,1,0.002,0.019718356430530548,0.14042207598686218
17,17,10,128,32,2,0.002,0.01988859847187996,0.14102694392204285
18,18,10,128,32,4,0.002,0.019810091704130173,0.14074832201004028
19,19,10,128,32,8,0.002,0.018434008583426482,0.13577190041542053
20,20,10,128,64,1,0.002,0.01933575607836246,0.139053076505661
21,21,10,128,64,2,0.002,0.019506074488162998,0.1396641582250595
22,22,10,128,64,4,0.002,0.020773742347955704,0.14413098990917206
23,23,10,128,64,8,0.002,0.020293958485126492,0.14245687425136566
24,24,10,256,16,1,0.002,0.0189691074192524,0.13772837817668915
25,25,10,256,16,2,0.002,0.02299308218061924,0.15163469314575195
26,26,10,256,16,4,0.002,0.021767502650618557,0.14753814041614532
27,27,10,256,16,8,0.002,0.026671798899769783,0.1633150279521942
28,28,10,256,32,1,0.002,0.025118790566921238,0.15848909318447113
29,29,10,256,32,2,0.002,0.02211100235581398,0.14869767427444458
30,30,10,256,32,4,0.002,0.024770032614469528,0.1573849767446518
31,31,10,256,32,8,0.002,0.02121458761394024,0.14565226435661316
32,32,10,256,64,1,0.002,0.019150787964463237,0.13838636875152588
33,33,10,256,64,2,0.002,0.01886546798050404,0.1373516023159027
34,34,10,256,64,4,0.002,0.020929696038365364,0.1446709930896759
35,35,10,256,64,8,0.002,0.02079295739531517,0.14419762790203094
36,36,25,64,16,1,0.002,0.02142568863928318,0.1463751643896103
37,37,25,64,16,2,0.002,0.022283293306827545,0.14927589893341064
38,38,25,64,16,4,0.002,0.02325382083654404,0.15249204635620114
39,39,25,64,16,8,0.002,0.022163832560181614,0.14887522161006927
40,40,25,64,32,1,0.002,0.0213376060128212,0.14607396721839905
41,41,25,64,32,2,0.002,0.02268834039568901,0.15062648057937622
42,42,25,64,32,4,0.002,0.023197907954454425,0.1523085981607437
43,43,25,64,32,8,0.002,0.023631656542420387,0.15372592210769653
44,44,25,64,64,1,0.002,0.02194900624454021,0.1481519490480423
45,45,25,64,64,2,0.002,0.023382173851132396,0.15291231870651245
46,46,25,64,64,4,0.002,0.02371138520538807,0.15398502349853516
47,47,25,64,64,8,0.002,0.02423533424735069,0.15567702054977414
48,48,25,128,16,1,0.002,0.019927680492401127,0.14116543531417847
49,49,25,128,16,2,0.002,0.021772833541035645,0.14755620062351227
50,50,25,128,16,4,0.002,0.021709036082029343,0.1473398655653
51,51,25,128,16,8,0.002,0.020996056497097012,0.1449001431465149
52,52,25,128,32,1,0.002,0.02041400782763958,0.14287760853767395
53,53,25,128,32,2,0.002,0.022535504773259163,0.15011829137802124
54,54,25,128,32,4,0.002,0.021993780508637432,0.14830300211906433
55,55,25,128,32,8,0.002,0.02287771552801132,0.15125378966331482
56,56,25,128,64,1,0.002,0.021583529189229008,0.1469133496284485
57,57,25,128,64,2,0.002,0.02283419296145439,0.15110985934734344
58,58,25,128,64,4,0.002,0.023101374506950382,0.1519913524389267
59,59,25,128,64,8,0.002,0.022545700892806053,0.15015225112438202
60,60,25,256,16,1,0.002,0.02037946693599224,0.1427566558122635
61,61,25,256,16,2,0.002,0.02264051884412765,0.1504676640033722
