,epochs,batch,nodos,layer,learning rate,mse,rmse
0,10,64,16,1,0.002,0.03731043636798858,0.1931591033935547
1,10,64,16,2,0.002,0.04785773903131485,0.21876411139965055
2,10,64,16,4,0.002,0.051843009889125824,0.22769059240818024
3,10,64,16,8,0.002,0.03603456541895866,0.18982771039009091
4,10,64,32,1,0.002,0.05288543924689293,0.2299683541059494
5,10,64,32,2,0.002,0.05556962639093399,0.2357321083545685
6,10,64,32,4,0.002,0.04639268293976784,0.21538960933685306
7,10,64,32,8,0.002,0.04471741244196892,0.21146491169929504
8,10,64,64,1,0.002,0.05268684402108192,0.22953614592552185
9,10,64,64,2,0.002,0.05804775655269623,0.2409310340881348
10,10,64,64,4,0.002,0.06975671648979187,0.26411497592926025
11,10,64,64,8,0.002,0.06039409339427947,0.24575209617614746
12,10,128,16,1,0.002,0.022065192461013797,0.1485435664653778
13,10,128,16,2,0.002,0.02878522500395775,0.16966207325458527
14,10,128,16,4,0.002,0.0376269593834877,0.19397670030593872
15,10,128,16,8,0.002,0.020272321999073032,0.14238090813159945
16,10,128,32,1,0.002,0.042847782373428345,0.20699705183506006
17,10,128,32,2,0.002,0.038536131381988525,0.1963062435388565
18,10,128,32,4,0.002,0.035025600343942635,0.1871512830257416
19,10,128,32,8,0.002,0.024546962231397632,0.15667468309402466
20,10,128,64,1,0.002,0.0309407152235508,0.17589972913265228
21,10,128,64,2,0.002,0.036014638841152184,0.1897752434015274
22,10,128,64,4,0.002,0.038146749138832085,0.19531190395355225
23,10,128,64,8,0.002,0.01803096756339073,0.13427944481372833
24,10,256,16,1,0.002,0.01920120231807232,0.13856841623783112
25,10,256,16,2,0.002,0.017445532605051994,0.1320815533399582
26,10,256,16,4,0.002,0.018836721777915955,0.13724693655967712
27,10,256,16,8,0.002,0.020404817536473274,0.14284542202949524
28,10,256,32,1,0.002,0.01840817555785179,0.13567672669887546
29,10,256,32,2,0.002,0.02124444954097271,0.14575476944446564
30,10,256,32,4,0.002,0.021345136687159542,0.1460997611284256
31,10,256,32,8,0.002,0.01739610731601715,0.1318943053483963
32,10,256,64,1,0.002,0.020290059968829155,0.14244316518306732
33,10,256,64,2,0.002,0.02453732863068581,0.15664394199848175
34,10,256,64,4,0.002,0.021191921085119247,0.14557446539402008
35,10,256,64,8,0.002,0.02096954919397831,0.14480866491794586
36,25,64,16,1,0.002,0.05622424557805061,0.2371165305376053
37,25,64,16,2,0.002,0.08051244914531708,0.2837471663951874
38,25,64,16,4,0.002,0.06607618182897568,0.2570528984069824
39,25,64,16,8,0.002,0.06663176417350769,0.2581312656402588
40,25,64,32,1,0.002,0.08173759281635284,0.2858978807926178
41,25,64,32,2,0.002,0.09304796904325484,0.3050376772880554
42,25,64,32,4,0.002,0.10091011971235277,0.3176635205745697
43,25,64,32,8,0.002,0.08447661250829698,0.29064860939979553
44,25,64,64,1,0.002,0.08674231916666031,0.2945205271244049
45,25,64,64,2,0.002,0.09081003814935684,0.3013470768928528
46,25,64,64,4,0.002,0.10418254882097244,0.3227732181549072
47,25,64,64,8,0.002,0.06762858480215073,0.2600549757480621
48,25,128,16,1,0.002,0.03507345169782638,0.18727907538414
49,25,128,16,2,0.002,0.0576777309179306,0.24016188085079196
50,25,128,16,4,0.002,0.06507736444473268,0.25510266423225403
51,25,128,16,8,0.002,0.03944340348243714,0.1986036449670792
52,25,128,32,1,0.002,0.05244715139269829,0.2290134131908417
53,25,128,32,2,0.002,0.06241707131266594,0.2498340904712677
54,25,128,32,4,0.002,0.0648636594414711,0.2546834647655487
55,25,128,32,8,0.002,0.05540377274155617,0.23538003861904144
56,25,128,64,1,0.002,0.06521356850862503,0.25536948442459106
