,week,weekday,hour,CellID,countrycode,smsin,smsout,callin,callout,internet,idx
5458,44,3,23,5459,4057,99.04014531754919,88.60866812699639,57.33559883825917,72.99984286966267,2811.5809293239204,7487
5569,44,3,23,5570,1947,55.89167965888626,49.00024505979362,27.565240335008056,15.880869760221232,2185.472826579278,7487
5643,44,3,23,5644,1639,36.09732670023592,35.860310383310974,7.123461552547258,14.539812860176127,1212.8840464980246,7487
6371,44,3,23,6372,4598,88.77788152733854,61.50280826149064,47.10311832971837,47.090185903254806,2539.0150078071715,7487
6376,44,3,23,6377,1172,48.488744860380244,26.052511566927947,14.356214158141613,18.36274129874748,1170.8914470385853,7487
6560,44,3,23,6561,438,36.21714289559123,26.57007427712813,28.334416374775284,25.733408524845572,1581.1483619854769,7487
15458,44,4,0,5459,1632,41.902542316643384,52.71667857934947,22.569757444312835,34.78719951925463,2268.1931579024485,7488
15569,44,4,0,5570,2704,39.28694999116455,76.1506641050828,9.247595118658928,17.500550646005006,1936.7040425846371,7488
15643,44,4,0,5644,1096,16.107239926318833,9.93616098387237,7.323176450810685,9.382069683252709,925.8571161880253,7488
16371,44,4,0,6372,4760,60.614952972626405,30.234164169212082,11.131905855393043,27.629342427160566,2224.506178757364,7488
16376,44,4,0,6377,2086,13.693891302808233,5.48292862570027,4.317103109103342,5.904477647340015,729.6456295968958,7488
16560,44,4,0,6561,312,25.015745988182033,7.752601595935548,15.377144321762183,15.31182869113271,1606.9207496141335,7488
25458,44,4,1,5459,558,16.067632542143215,31.56099059741363,13.207279789278566,14.770417753269538,1163.179701325495,7489
25569,44,4,1,5570,459,26.437330328387958,15.660552236082037,3.518128038221714,10.301388793442095,1394.0303688045744,7489
25643,44,4,1,5644,714,9.61813704337592,6.459652090058653,5.476943482374438,2.9765524850237886,865.366066674258,7489
26371,44,4,1,6372,6173,18.920893639695667,18.240107171309074,9.829615570853607,8.818225948121805,1737.48272626187,7489
26376,44,4,1,6377,790,5.558457670448747,6.692319630596871,2.160406781669633,3.263977821530855,669.3634761752093,7489
26560,44,4,1,6561,348,14.229483662327327,8.821791220794676,6.923355405140188,2.645292413584695,970.4747260603451,7489
35458,44,4,2,5459,679,15.231176840441842,34.10919239400044,7.245600562826491,6.6262765784182305,1051.3336209416022,7490
35569,44,4,2,5570,886,12.609678868281822,11.450665974565192,4.0584440170498155,3.6032951445348442,1293.4080699100696,7490
35643,44,4,2,5644,1526,8.621656456102386,6.925147855108597,3.4924505382919087,5.734926125625073,796.91572968558,7490
36371,44,4,2,6372,2665,12.827928679683804,8.016400495877209,7.878511735313549,9.92110087798252,1320.4752084291545,7490
36376,44,4,2,6377,329,4.360470408719721,3.3722396722039676,2.134526803595267,1.1348129795684723,587.3739623812802,7490
36560,44,4,2,6561,279,14.363941352176331,5.069335478986543,4.366707546786635,4.00420924571281,853.5352627297663,7490
45458,44,4,3,5459,848,8.902360548761264,30.179052976217655,7.436392957460904,4.089925543812197,951.364366069028,7491
45569,44,4,3,5570,1578,13.02807446509317,19.119232013038207,5.868602791564186,5.252824410126095,1128.858906683716,7491
45643,44,4,3,5644,1065,18.373852602614374,9.64402874028758,4.458759264571762,7.368916207823053,780.61140518449,7491
46371,44,4,3,6372,3119,23.250245628901535,7.651893940580509,5.525549173617391,11.002125904890788,2362.656842779131,7491
46376,44,4,3,6377,417,2.8179048015992945,2.6484100510078203,0.8215752151526237,1.643150430305247,550.5492295766599,7491
46560,44,4,3,6561,280,3.3963154116404985,5.812315909101894,4.233816650736103,2.36710684814688,867.6781418908308,7491
55458,44,4,4,5459,299,7.036309424935832,25.62063150405627,2.827979904288622,5.721837401233056,903.9186491527695,7492
55569,44,4,4,5570,734,22.308862325115413,14.48977870743844,5.2260326565430075,8.136032398749226,1124.4904519677887,7492
55643,44,4,4,5644,1136,4.420305289592737,3.7319266704797958,4.733128327643776,11.582067557439514,781.3344248895667,7492
56371,44,4,4,6372,2445,11.637504539607654,2.152965470234223,2.6985721805681404,10.757202839536715,1309.6483938738531,7492
56376,44,4,4,6377,452,2.094155146156367,1.1921157367864794,1.725570655115603,1.5865802059016105,503.19784145576455,7492
56560,44,4,4,6561,235,7.06853625375403,26.174899260451735,16.161463520098454,5.193538786947489,865.3869383283528,7492
65458,44,4,5,5459,3656,19.959360716788023,31.134568482544005,3.809827377105706,3.8491487279849936,920.6186852338903,7493
65569,44,4,5,5570,1296,15.665710974423927,21.60967382489997,5.84850839173732,7.385126335375768,1170.1073186728988,7493
65643,44,4,5,5644,1438,10.834686923341433,3.697269563397746,3.35266399483121,7.0803555539803,802.9123701274052,7493
66371,44,4,5,6372,4034,16.355480902331035,7.437078634228369,7.811420626790408,16.521442288449293,1253.683913976578,7493
66376,44,4,5,6377,1263,7.169531700312573,1.6615928838258207,2.867586938732033,1.5108262232416996,535.4427998247234,7493
66560,44,4,5,6561,2199,7.7039551555418875,4.3812711608015205,9.737523237012358,9.185105012445035,805.0681118018149,7493
75458,44,4,6,5459,3016,28.249769342936734,38.753051580532635,8.102683182621725,10.365207351078764,1038.0207063756611,7494
75569,44,4,6,5570,1623,26.09213583085702,58.95937125557356,7.599306817360633,20.207598447625315,1451.0151633718845,7494
75643,44,4,6,5644,3524,30.74816207080439,33.52794862891869,14.697117052758784,21.300337302861024,913.0422412183882,7494
76371,44,4,6,6372,5401,45.71041028845239,42.92798131754159,16.704653446018256,27.396769424697684,1603.644288013171,7494
76376,44,4,6,6377,2585,8.418985486628177,3.6547971443600558,4.523566435514237,6.344220675135556,635.4922005961623,7494
76560,44,4,6,6561,4687,14.768670697109698,14.080031576598442,17.32808748803096,15.937681043975857,901.301439792765,7494
