,week,weekday,hour,minute,CellID,smsin,smsout,callin,callout,internet,idx,relativeHumidity,precipitation,temperature,windSpeed
13000,46,5,0,0,6377,2.3978823848294692,1.5208379107132957,0.0,0.0,142.6719622699224,47088.0,,,8.6,
13006,46,5,0,10,6377,2.471622107272732,1.5494957641603062,0.3484452501756879,0.29427719864899465,126.44529325181713,47089.0,,,8.55,
13012,46,5,0,20,6377,1.7761618902356229,0.5128063371390958,0.8483866206691626,0.4783554393602572,167.64298197882331,47090.0,,,8.5,
13018,46,5,0,30,6377,0.8243007834027292,0.3277848239836257,0.12412898985477587,0.1092616079945419,130.18521535970527,47091.0,,,8.45,
13024,46,5,0,40,6377,1.2575743537667337,1.3496127916456193,0.5128063371390958,0.0,131.83762970174521,47092.0,,,8.4,
13030,46,5,0,50,6377,0.6575839081838991,0.2185291384901012,0.0,0.3484452501756879,110.47158310740272,47093.0,,,8.350000000000001,
13036,46,5,1,0,6377,0.29427719864899465,0.0,0.41840618850377054,0.0,119.06982341208747,47094.0,,,8.3,
13042,46,5,1,10,6377,0.0,0.0,0.41840618850377054,0.29427719864899465,109.45637118467752,47095.0,,,8.3,
13048,46,5,1,20,6377,1.416286514276107,0.12991611168558667,0.12412898985477587,0.12991611168558667,116.96207307232788,47096.0,,,8.3,
13054,46,5,1,30,6377,0.4577068581702298,0.0,0.29427719864899465,0.29427719864899465,117.77137755735936,47097.0,,,8.3,
13060,46,5,1,40,6377,1.2254838017908436,0.5885543972979893,0.1092616079945419,0.0,112.5907742665271,47098.0,,,8.3,
13066,46,5,1,50,6377,0.7519840568192244,0.4370582769802024,0.12412898985477587,0.2185291384901012,105.61223025170383,47099.0,,,8.3,
13072,46,5,2,0,6377,0.5885543972979893,0.0,0.12412898985477587,0.2391777196801285,107.22656763290621,47100.0,,,8.3,
13078,46,5,2,10,6377,0.192649160415735,0.0,0.3690938313657153,0.0,102.85978223063564,47101.0,,,8.200000000000001,
13084,46,5,2,20,6377,0.3277907464846431,0.0,0.0,0.0,91.85645248444142,47102.0,,,8.100000000000001,
13090,46,5,2,30,6377,1.0069605858017598,0.12991611168558667,0.0,0.0,100.56070846386116,47103.0,,,8.0,
13096,46,5,2,40,6377,0.582397495472495,0.718470508983576,0.0,0.0,100.15938908214108,47104.0,,,7.9,
13102,46,5,2,50,6377,0.192649160415735,0.0,0.4519197363394191,0.2185291384901012,87.68648409959177,47105.0,,,7.800000000000001,
13108,46,5,3,0,6377,0.12991611168558667,0.12412898985477587,0.0,0.2185291384901012,99.0786901388496,47106.0,,,7.7,
13114,46,5,3,10,6377,0.12991611168558667,0.0,0.0,0.0,94.48267333892258,47107.0,,,7.583333333333334,
13120,46,5,3,20,6377,0.0,0.2185291384901012,0.0,0.0,91.30843145929838,47108.0,,,7.466666666666667,
13126,46,5,3,30,6377,0.41840618850377054,0.12412898985477587,0.2185291384901012,0.2391777196801285,99.81366142773294,47109.0,,,7.35,
13132,46,5,3,40,6377,0.2598322233711733,0.0,0.3484452501756879,0.12412898985477587,86.7669496824959,47110.0,,,7.233333333333333,
13138,46,5,3,50,6377,0.12991611168558667,0.12412898985477587,0.0,0.12991611168558667,86.64715635312386,47111.0,,,7.116666666666667,
13144,46,5,4,0,6377,0.12991611168558667,0.0,0.0,0.0,88.6729486565526,47112.0,,,7.0,
13150,46,5,4,10,6377,0.12412898985477587,0.2185291384901012,0.0,0.12412898985477587,83.79178684533572,47113.0,,,6.883333333333333,
13156,46,5,4,20,6377,0.12991611168558667,0.0,0.0,0.12991611168558667,79.68217773992538,47114.0,,,6.766666666666667,
13162,46,5,4,30,6377,0.7208322197400154,0.3426581283448771,0.0,0.12991611168558667,79.14039213010909,47115.0,,,6.65,
