,week,weekday,hour,minute,CellID,smsin,smsout,callin,callout,internet,idx,relativeHumidity,precipitation,temperature,windSpeed,CO,NO2,NO,Benzene
74,48,6,1,0,5644,4.2127752505341425,1.9557089771750769,0.3886091943993912,0.9539723358959046,135.02920892860158,49254.0,99.0,0.0,-0.2,0.3666666666666667,1.2,57.9,124.5,0.07166
80,48,6,1,10,5644,1.7993188663154758,0.6054934990140327,0.8986704709063211,0.2991333761154695,107.49337135210949,49255.0,99.0,0.0,-0.2833333333333333,0.40555555555555556,1.2166666666666666,58.86666666666667,124.68333333333334,0.07548855072463768
86,48,6,1,20,5644,1.9903774799039942,0.3544640809110572,0.3314252488719073,0.12926590019654488,116.36153292014048,49256.0,99.0,0.0,-0.3666666666666667,0.4444444444444445,1.2333333333333334,59.833333333333336,124.86666666666666,0.07931710144927537
92,48,6,1,30,5644,0.2405894531544637,0.11895396949244495,0.9670230406823196,0.07072950084294227,127.89293221323184,49257.0,99.0,0.0,-0.45,0.48333333333333334,1.25,60.8,125.05,0.08314565217391305
98,48,6,1,40,5644,2.5537848042441333,0.3371225376770707,1.6101319226597308,0.0,110.75529882457596,49258.0,99.0,0.0,-0.5333333333333333,0.5222222222222223,1.2666666666666666,61.766666666666666,125.23333333333333,0.08697420289855073
104,48,6,1,50,5644,1.0195660014881924,0.03279683279614394,0.010291800602704348,0.0,118.7730388181807,49259.0,99.0,0.0,-0.6166666666666667,0.5611111111111111,1.2833333333333334,62.733333333333334,125.41666666666666,0.0908027536231884
110,48,6,2,0,5644,1.6911532241053775,1.6152677579103856,1.0583361427306706,0.010291800602704348,131.31846950978695,49260.0,99.0,0.0,-0.7,0.6,1.3,63.7,125.6,0.09463130434782609
116,48,6,2,10,5644,0.9436528815844016,0.010291800602704348,0.041167202410817394,0.9796917723519678,107.76686503381836,49261.0,99.0,0.0,-0.7166666666666667,0.5888888888888889,1.2833333333333334,64.01666666666667,122.91666666666666,0.09845985507246377
122,48,6,2,20,5644,0.1994787442584492,0.8214643777279376,0.9567312400796152,0.09971112537182317,102.39435480688114,49262.0,99.0,0.0,-0.7333333333333333,0.5777777777777777,1.2666666666666666,64.33333333333333,120.23333333333333,0.10228840579710145
128,48,6,2,30,5644,0.13438160534580368,0.03793266804679834,0.0,0.0,112.32865830201729,49263.0,99.0,0.0,-0.75,0.5666666666666667,1.25,64.65,117.55,0.10611695652173914
134,48,6,2,40,5644,1.0564423654514383,0.0,0.09971112537182317,0.0,106.1537231034827,49264.0,99.0,0.0,-0.7666666666666667,0.5555555555555556,1.2333333333333334,64.96666666666667,114.86666666666666,0.10994550724637682
140,48,6,2,50,5644,0.08102130144564662,0.18588839216951966,0.09971112537182317,0.07586533609359668,100.97073840539021,49265.0,99.0,0.0,-0.7833333333333333,0.5444444444444444,1.2166666666666666,65.28333333333333,112.18333333333334,0.1137740579710145
146,48,6,3,0,5644,0.9998198734784636,0.8214643777279376,0.1994222507436464,0.2373549187904447,112.3176325934998,49266.0,99.0,0.0,-0.8,0.5333333333333333,1.2,65.6,109.5,0.11760260869565217
