,sensorID,streetName,sensorCoordinates,sensorType,unitMeasure,cellId
0,6651,Milano - P.zza  Zavattari,<shapely.coords.CoordinateSequence object at 0x7f7271358f50>,Particolato Totale Sospeso,µg/m³,5644
0,20005,Milano - via Senato,<shapely.coords.CoordinateSequence object at 0x7f7271358e50>,BlackCarbon,µg/m³,5362
0,6328,Milano - viale Marche,<shapely.coords.CoordinateSequence object at 0x7f724d6eae10>,Ossidi di Azoto,µg/m³,6660
0,10282,Milano - Pascal Città Studi,<shapely.coords.CoordinateSequence object at 0x7f7271361290>,Ozono,µg/m³,5775
0,5542,Milano - viale Liguria,<shapely.coords.CoordinateSequence object at 0x7f7271361050>,Biossido di Azoto,µg/m³,4153
0,5518,Pero,<shapely.coords.CoordinateSequence object at 0x7f7271361f90>,Biossido di Azoto,µg/m³,7227
0,5832,Rho - via Statuto,<shapely.coords.CoordinateSequence object at 0x7f7271371d50>,Monossido di Carbonio,mg/m³,7811
0,5638,Rho - via Statuto,<shapely.coords.CoordinateSequence object at 0x7f7271371f50>,Biossido di Zolfo,µg/m³,7811
0,5710,Cormano,<shapely.coords.CoordinateSequence object at 0x7f7271371dd0>,Ozono,µg/m³,9151
0,5628,Milano - viale Liguria,<shapely.coords.CoordinateSequence object at 0x7f7271371f10>,Biossido di Zolfo,µg/m³,4153
0,6298,Cinisello Balsamo,<shapely.coords.CoordinateSequence object at 0x7f7271371f90>,Ossidi di Azoto,µg/m³,9272
0,6354,Milano - via Senato,<shapely.coords.CoordinateSequence object at 0x7f7271371c50>,Ossidi di Azoto,µg/m³,5362
0,12641,Milano - via Senato,<shapely.coords.CoordinateSequence object at 0x7f72712f83d0>,Benzo(a)pirene,ng/m³,5362
0,17126,Milano - Pascal Città Studi,<shapely.coords.CoordinateSequence object at 0x7f7271371c10>,Benzene,µg/m³,5775
0,5831,Pero,<shapely.coords.CoordinateSequence object at 0x7f72712f8190>,Monossido di Carbonio,mg/m³,7227
0,5815,Arese,<shapely.coords.CoordinateSequence object at 0x7f72712f8290>,Monossido di Carbonio,mg/m³,8823
0,5643,Settimo Milanese,<shapely.coords.CoordinateSequence object at 0x7f72712f85d0>,Biossido di Zolfo,µg/m³,5816
